Date,DBI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6927944144438991,-1.5601374570446735,-0.10287459771995854,-1.0243277150493646,-1.0745104456444663,0.0
2018-09-25,1.0,-0.7019530608895453,-1.560752776410088,-0.11286175392526943,-1.0244542918102741,-1.070791618797527,0.0
2018-09-26,1.0,-0.7022813064172001,-1.56124514470157,-0.11373707533234859,-1.0241807538705618,-1.0692598063351386,0.0
2018-09-27,1.0,-0.7212228230879595,-1.5535261008718686,-0.12189603796490453,-1.0395651694073502,-1.0819445977265203,0.0
2018-09-28,1.0,-0.7203310344827587,-1.5534896551724138,-0.12259310344827587,-1.0391724137931033,-1.081655172413793,0.0
2018-10-01,1.0,-0.7227651703384683,-1.552426702004307,-0.12268786925073161,-1.041245651813815,-1.0824360885649604,0.0
2018-10-02,1.0,-0.7237800839037315,-1.5418414661073085,-0.12684919408257894,-1.0430006623978805,-1.0844557297416648,0.0
2018-10-03,1.0,-0.7333630587448445,-1.573068777170884,-0.1322595028424925,-1.0496042804592576,-1.0852747742726563,0.0
2018-10-04,1.0,-0.733188235950667,-1.5768737094703946,-0.1332663653105642,-1.049221496735309,-1.088174563312685,0.0
2018-10-05,1.0,-0.715554075800455,-1.5687808667665502,-0.1128128294767216,-1.0547694356583985,-1.0971644192886076,0.0
2018-10-08,1.0,-0.7132967824112532,-1.5652101678019603,-0.11042808882981668,-1.0540510605305422,-1.095087777593177,0.0
2018-10-09,1.0,-0.7107451763140387,-1.568363273453094,-0.10135284985584388,-1.0604901308494123,-1.1035151918385453,0.0
2018-10-10,1.0,-0.714119278779473,-1.5673231622746187,-0.10441054091539528,-1.0630790568654647,-1.0989181692094314,0.0
2018-10-11,1.0,-0.7023848774590614,-1.5513792724475217,-0.10039564787339268,-1.0498406418287725,-1.09110891306737,0.0
2018-10-12,1.0,-0.704454535625473,-1.5382203481457455,-0.08833387393231701,-1.018272245648178,-1.0567088333873933,0.0
2018-10-15,1.0,-0.6848488115129628,-1.5686411901040263,-0.05896620492642699,-1.0170322858836847,-1.0604753948148549,0.0
2018-10-16,1.0,-0.6817641977974521,-1.5879399697689487,-0.04642625782768301,-1.0197581515871303,-1.0624595119844527,0.0
2018-10-17,1.0,-0.6553300031884366,-1.5309278350515465,-0.012913168243171432,-1.025082367945584,-1.089860771601658,0.0
2018-10-18,1.0,-0.6673645783003168,-1.5563429430396736,-0.006818059805658454,-1.03392924249745,-1.1040425189241425,0.0
2018-10-19,1.0,-0.6477532571124701,-1.542462111140654,-0.0,-1.0292475405477266,-1.098324913586812,0.0
2018-10-22,1.0,-0.6532076684159795,-1.5665095855199744,-0.004176930491592588,-1.0308450251686838,-1.10029988218914,0.0
2018-10-23,1.0,-0.6602072038219979,-1.5694347522679692,-0.015191368296741638,-1.025068441676955,-1.0980192173492942,0.0
2018-10-24,1.0,-0.6631765463917526,-1.5669029209621996,-0.0020940721649484535,-1.0310889175257734,-1.1062070446735397,0.0
2018-10-25,1.0,-0.5994601328903655,-1.4921615448504981,-0.0,-1.0443833056478404,-1.0550768272425248,0.0
2018-10-26,1.0,-0.5727882106124955,-1.4657422094867727,-0.0,-1.0423681113442154,-1.0359719592693035,0.0
2018-10-29,1.0,-0.5513400803539643,-1.4703249758429537,-0.0,-1.0289375985353202,-1.0350404312668464,0.0
2018-10-30,1.0,-0.5186683738796415,-1.4837387964148527,-0.0,-1.0428681177976953,-1.0763124199743919,0.0
2018-10-31,1.0,-0.51976856316297,-1.4570369994417094,-0.0,-1.0337004517078616,-1.0648632187991676,0.0
2018-11-01,1.0,-0.4785294868521828,-1.5058973704365588,-0.0,-1.044013275465918,-1.0774572376818996,0.0
2018-11-02,1.0,-0.48086573065031174,-1.4758984236403265,-0.0,-1.0442495818338486,-1.0676668863094936,0.0
2018-11-05,1.0,-0.47593230644507495,-1.4894102148358328,-0.0,-1.044791244426429,-1.0566984191325497,0.0
2018-11-06,1.0,-0.4791329011345219,-1.4911365478119936,-0.0,-1.041987439222042,-1.05262358184765,0.0
2018-11-07,1.0,-0.47768218623481784,-1.4913461538461539,-0.0,-1.0398279352226723,-1.0518724696356276,0.0
2018-11-08,1.0,-0.4312800963081862,-1.4968900481540932,-0.0,-1.0254815409309792,-1.0623996789727126,0.0
2018-11-09,1.0,-0.4301776930027105,-1.4978415821704647,-0.0,-1.0285111936552553,-1.0630458789278183,0.0
