Date,IWF,IWM,MKL,MTUM,SPY,VLUE,VXX
2018-09-24,-0.21979291964433123,-0.4210948371423855,1.0,-0.03398665062855256,-0.3706455340927853,-0.3130026651571971,0.0
2018-09-25,-0.21882386309917745,-0.4240332797579654,1.0,-0.03127068166776969,-0.37319183133213574,-0.3162995178216885,0.0
2018-09-26,-0.2191023186556052,-0.4243541563260772,1.0,-0.03193174029166371,-0.3729702900092179,-0.31520480276064194,0.0
2018-09-27,-0.21868716735659374,-0.42644589000591365,1.0,-0.03148432879952691,-0.37329390892962744,-0.3155765819041987,0.0
2018-09-28,-0.21718247208025743,-0.42797652848760176,1.0,-0.031894756766988455,-0.3732727616884346,-0.315753359833428,0.0
2018-10-01,-0.21762896355892097,-0.4274727875059158,1.0,-0.0318977756743966,-0.37352106010411734,-0.31575958353052536,0.0
2018-10-02,-0.21754161634818023,-0.43164973597594186,1.0,-0.030925149771494874,-0.3728067059742843,-0.3150292439203428,0.0
2018-10-03,-0.21744276887384295,-0.4299140645344571,1.0,-0.03082313392201889,-0.3732392699036481,-0.3159489595416775,0.0
2018-10-04,-0.22097759674134418,-0.4249988158954199,1.0,-0.031260360915076016,-0.37801354615639654,-0.3129588405247951,0.0
2018-10-05,-0.20941182037571573,-0.41977002791842144,1.0,-0.018833104623101313,-0.39081058060852697,-0.3271423839492737,0.0
2018-10-08,-0.2084288110368288,-0.4180387895395809,1.0,-0.017150551605206586,-0.3920767286385864,-0.32666367437575294,0.0
2018-10-09,-0.20723956241287242,-0.41849585331852657,1.0,-0.01391678283675543,-0.3939701816978948,-0.3291590860761288,0.0
2018-10-10,-0.20906705746094026,-0.41742501240929397,1.0,-0.015765712529841398,-0.395301014016593,-0.3260926087881438,0.0
2018-10-11,-0.19370217912044468,-0.4132421684225214,1.0,-0.0,-0.39145096397590645,-0.3272634247308077,0.0
2018-10-12,-0.19119214196358247,-0.41180558773108467,1.0,-0.0,-0.38982069221146276,-0.323819672890701,0.0
2018-10-15,-0.17614424410540916,-0.4250115580212668,1.0,-0.0,-0.3867776236708276,-0.32367082755432275,0.0
2018-10-16,-0.18311558721834173,-0.41865268140997375,1.0,-0.0,-0.3909915763581092,-0.32780265936463,0.0
2018-10-17,-0.17437616216340304,-0.4019880168040219,1.0,-0.0,-0.3885815293496476,-0.33066274878905444,0.0
2018-10-18,-0.17427233495546782,-0.40189147002111836,1.0,-0.0,-0.38866954365990264,-0.33063997796345607,0.0
2018-10-19,-0.16441728980485137,-0.39369414554076243,1.0,-0.0,-0.3911635965712202,-0.3304988145175998,0.0
2018-10-22,-0.16458466308014955,-0.3921081426096471,1.0,-0.0,-0.39172061639463845,-0.3311525485547552,0.0
2018-10-23,-0.1595525193709596,-0.39603869607078995,1.0,-0.0,-0.39991288799229746,-0.3369171518958324,0.0
