Date,IWF,IWM,MTUM,SPY,TECK,VLUE,VXX
2018-09-24,-0.45788261870628605,-0.9504756939919198,-0.1617359572527043,-0.8596811329771059,1.0,-0.914418523828142,0.0
2018-09-25,-0.4569319472350834,-0.9617366995719402,-0.15449462741329606,-0.8691360181706996,1.0,-0.9256573774788154,0.0
2018-09-26,-0.4574561020354678,-0.962348213505722,-0.15571765528085962,-0.8687865816371101,1.0,-0.9236481174106753,0.0
2018-09-27,-0.45681281176161725,-0.9688894723024416,-0.1545900061258423,-0.8702196552025904,1.0,-0.9250896998337271,0.0
2018-09-28,-0.4545096494682946,-0.9711172377576474,-0.15539801321605182,-0.8700275699094131,1.0,-0.9250798652137762,0.0
2018-10-01,-0.4543504901960784,-0.971638655462185,-0.15585609243697482,-0.8697916666666666,1.0,-0.9251137955182074,0.0
2018-10-02,-0.46529676338301434,-0.9353117558867624,-0.17188464591233796,-0.8909074874327542,1.0,-0.9462033689037833,0.0
2018-10-03,-0.4664665106627224,-0.9416309770850809,-0.17298776987946488,-0.8901496754823613,1.0,-0.9439710362488409,0.0
2018-10-04,-0.4708919980579953,-0.9341042503420577,-0.1738976916626208,-0.8955731120624973,1.0,-0.9391358079180827,0.0
2018-10-05,-0.4646397884996695,-0.9330248953513989,-0.1652786957479621,-0.8995373430270984,1.0,-0.9438202247191011,0.0
2018-10-08,-0.46526856030439784,-0.9350942394478365,-0.15503052827183436,-0.918060348641713,1.0,-0.9509777895761437,0.0
2018-10-09,-0.4649146093266083,-0.935315458808955,-0.1541898946995841,-0.9185027873639501,1.0,-0.951508716042828,0.0
2018-10-10,-0.4654577620521893,-0.9340999557717824,-0.15497567448031846,-0.9188854489164087,1.0,-0.9494029190623617,0.0
2018-10-11,-0.41549265434492266,-0.9234845547369782,-0.09473956313816724,-0.9078023350997372,1.0,-0.9667399078023351,0.0
2018-10-12,-0.468681655148281,-0.9588399965007436,-0.08874989064823725,-0.9045577814714374,1.0,-0.9532849269530225,0.0
2018-10-15,-0.4417901288682388,-1.0157797843429472,-0.04558604365740335,-0.9120277022880687,1.0,-0.9681336021741036,0.0
2018-10-16,-0.438556338028169,-1.04568661971831,-0.026848591549295774,-0.9179577464788732,1.0,-0.9724031690140844,0.0
2018-10-17,-0.4188522461698261,-1.0001298364061282,-0.009607894053492601,-0.9150437115900633,1.0,-0.9842465160564356,0.0
2018-10-18,-0.4214678978627477,-1.0056357567087182,-0.007109723847921273,-0.9147700177743097,1.0,-0.986214072050982,0.0
2018-10-19,-0.40234089246525234,-0.9907052799173802,-0.0,-0.9205215370713025,1.0,-0.9895004087955591,0.0
