Date,FTV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.34244608367588264,-0.43707415958105744,-0.1589053437693564,-0.4923982206205304,-0.38465003660115993,0.0
2018-09-25,1.0,-0.3419629274888726,-0.43810918925009856,-0.15778353710068171,-0.4932953969237703,-0.38590906529945346,0.0
2018-09-26,1.0,-0.34163660955816055,-0.43789449954914345,-0.1566444995491434,-0.4938852569882778,-0.3878212353471596,0.0
2018-09-27,1.0,-0.3410334517966943,-0.44090934732329207,-0.15597675861679922,-0.49430247644835557,-0.3883341795001974,0.0
2018-09-28,1.0,-0.3386860077891291,-0.4436699215442795,-0.15645989727380483,-0.49449681097251225,-0.38880736016255574,0.0
2018-10-01,1.0,-0.3399683776610763,-0.44279744762550116,-0.15622000112936923,-0.4954260545485346,-0.38901123722401043,0.0
2018-10-02,1.0,-0.34040991474225063,-0.43811755406244707,-0.15800914685788495,-0.49630173338603134,-0.39023770538083674,0.0
2018-10-03,1.0,-0.3408005875872199,-0.4408881606825051,-0.15847905308059548,-0.4957202180852566,-0.3890505381507952,0.0
2018-10-04,1.0,-0.3423222454396566,-0.43784943807533744,-0.15886372620997344,-0.4975715818602812,-0.38713503134353644,0.0
2018-10-05,1.0,-0.33181280621726644,-0.4308160162189559,-0.14833586754519343,-0.5073210564847666,-0.397505209213268,0.0
2018-10-08,1.0,-0.3305120490397323,-0.4283103225262211,-0.14526333548913195,-0.5105306076540225,-0.3972949413716503,0.0
2018-10-09,1.0,-0.3306995838488359,-0.42829827915869984,-0.14562478911258575,-0.510347542458666,-0.39686199527612187,0.0
2018-10-10,1.0,-0.3300507900677201,-0.4335496613995486,-0.1424097065462754,-0.5122178329571107,-0.4034706546275395,0.0
2018-10-11,1.0,-0.3036547970938424,-0.4288792508080334,-0.10674328020111054,-0.5092682118290561,-0.41396171164949314,0.0
2018-10-12,1.0,-0.3062253397632617,-0.42319706269180185,-0.10453200350723367,-0.5023838228846997,-0.40368807540552387,0.0
2018-10-15,1.0,-0.29685961264908634,-0.4382317540212277,-0.09106576211839369,-0.5032005689900427,-0.4061439982492614,0.0
2018-10-16,1.0,-0.29619498317695653,-0.4407910933610526,-0.08917580764285908,-0.503214158711054,-0.4060781792816697,0.0
2018-10-17,1.0,-0.28620465971133574,-0.41645494351046003,-0.07835558678847505,-0.5051894697010649,-0.4166171144386183,0.0
2018-10-18,1.0,-0.2850616349480969,-0.4146842560553633,-0.07934147923875433,-0.5072448096885813,-0.41692798442906576,0.0
2018-10-19,1.0,-0.2769685568395593,-0.40577801666218766,-0.07116366568126847,-0.5140284869658694,-0.4195108841709218,0.0
