Date,IWF,IWM,MTUM,SPY,TIF,VLUE,VXX
2018-09-24,-0.6826393961529097,-1.2255661066471877,-0.15812028244460677,-0.9744338933528123,1.0,-0.8289262235208181,0.0
2018-09-25,-0.6829909453801968,-1.2244669457696427,-0.15923473858436377,-0.9735663518644728,1.0,-0.8277675007302113,0.0
2018-09-26,-0.6837390457643623,-1.2254138266796493,-0.16075949367088607,-0.9732229795520935,1.0,-0.8254138266796495,0.0
2018-09-27,-0.6964032297528749,-1.2158062148275017,-0.1668705652067531,-0.9819427452899437,1.0,-0.8325422069977979,0.0
2018-09-28,-0.6937426556991775,-1.219104974539757,-0.1677927927927928,-0.9822267920094008,1.0,-0.8332843713278496,0.0
2018-10-01,-0.69390452876377,-1.2186046511627908,-0.168078335373317,-0.9821787025703795,1.0,-0.8331946144430845,0.0
2018-10-02,-0.6941113123500906,-1.2151842968329336,-0.16975867639140438,-0.982231142004014,1.0,-0.8336678251505213,0.0
2018-10-03,-0.6956116695268448,-1.2216229468006865,-0.1714145623927433,-0.9821034567295907,1.0,-0.8324099043883305,0.0
2018-10-04,-0.7015452538631346,-1.2134903115035565,-0.1727250429237184,-0.9898454746136864,1.0,-0.8279617365710081,0.0
2018-10-05,-0.6931795974203635,-1.2095466093414111,-0.16044557357826852,-0.9928669142075436,1.0,-0.8296365057650967,0.0
2018-10-08,-0.6920895668328932,-1.208125550014667,-0.1528307421531241,-1.0035689840617972,1.0,-0.8325022000586682,0.0
2018-10-09,-0.6910139825950914,-1.2086144519409407,-0.14975066001760048,-1.0051334702258727,1.0,-0.83450669795639,0.0
2018-10-10,-0.6939783789072054,-1.2074548745291787,-0.15247272905150908,-1.0073863914298293,1.0,-0.8303086631120677,0.0
2018-10-11,-0.6729205753595998,-1.1945927743301101,-0.12791648626545438,-0.9936979843171212,1.0,-0.8215711742916245,0.0
2018-10-12,-0.696607740086001,-1.1970855231724795,-0.12040133779264213,-0.9730052556139512,1.0,-0.7907310081223125,0.0
2018-10-15,-0.6792929292929293,-1.2250333523918429,-0.0934819897084048,-0.9731751477034495,1.0,-0.7936439870402134,0.0
2018-10-16,-0.6779725609756098,-1.2291349085365855,-0.09027248475609757,-0.9729897103658536,1.0,-0.7933498475609756,0.0
