Date,AIMC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2921256228691319,-0.8190401258851299,-0.0,-0.5862509834775768,-0.5808418568056649,0.0
2018-09-25,1.0,-0.29455331978763843,-0.8179851871272202,-0.0,-0.5855345087500818,-0.5791439994756504,0.0
2018-09-26,1.0,-0.29275419416264487,-0.8178206769756065,-0.0,-0.5872812633376013,-0.5852129091565711,0.0
2018-09-27,1.0,-0.29410413727484497,-0.8145608451720856,-0.0,-0.5872567997637718,-0.5850257554381705,0.0
2018-09-28,1.0,-0.29210569505990486,-0.8172328902018711,-0.0,-0.5875923190546529,-0.5855571967831938,0.0
2018-10-01,1.0,-0.2931153353688565,-0.8162447880757739,-0.0,-0.5881677008437571,-0.5855740503627826,0.0
2018-10-02,1.0,-0.29807091918893164,-0.8003549245785271,-0.0,-0.5952545269315456,-0.5926583193663939,0.0
2018-10-03,1.0,-0.2982791586998088,-0.7863783213555746,-0.0,-0.6048987934331114,-0.6070416034812421,0.0
2018-10-04,1.0,-0.2991793823946215,-0.7847938569027454,-0.0,-0.6055762449329335,-0.6061365059486538,0.0
2018-10-05,1.0,-0.2880838205347172,-0.7804966169611772,-0.0,-0.6070419759574328,-0.6088812980358668,0.0
2018-10-08,1.0,-0.2869990481504579,-0.7796960645944793,-0.0,-0.6071158958873535,-0.6084287918075295,0.0
2018-10-09,1.0,-0.27925672113864,-0.7825843437005798,-0.0,-0.614127569847127,-0.6187401159725883,0.0
2018-10-10,1.0,-0.2781880522220757,-0.7839575365950152,-0.0,-0.6141698536199394,-0.6204998021891073,0.0
2018-10-11,1.0,-0.2332924783898852,-0.7741581731389499,-0.0,-0.5969874854857439,-0.6209521352083602,0.0
2018-10-12,1.0,-0.23198773633111905,-0.7692897291773122,-0.0,-0.5847917731221257,-0.6076264690853347,0.0
2018-10-15,1.0,-0.2135232450689864,-0.7847560781314724,-0.0,-0.5806965554599625,-0.6074945033935569,0.0
2018-10-16,1.0,-0.2082390077479833,-0.7943436533494882,-0.0,-0.5795682810955584,-0.6062876638076715,0.0
2018-10-17,1.0,-0.18952563578636322,-0.7617176448398353,-0.0,-0.5768130520889,-0.6155417937191537,0.0
