Date,GCO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5255470934155981,-1.3562132459269256,-0.09302998168321605,-0.863877373951605,-0.9814904077894533,0.0
2018-09-25,1.0,-0.5248586751703146,-1.3615016669082476,-0.08943325119582549,-0.8685799874377931,-0.9872445281924918,0.0
2018-09-26,1.0,-0.5259266418595661,-1.3628763349925095,-0.09157686174068526,-0.8681679795099793,-0.9840525781665298,0.0
2018-09-27,1.0,-0.5386519143980201,-1.350269325957199,-0.09778230698306402,-0.8760130052894648,-0.9900033969039647,0.0
2018-09-28,1.0,-0.5382114610121792,-1.3501382890969964,-0.09840361007326896,-0.8757339026638847,-0.9897132320830706,0.0
2018-10-01,1.0,-0.5410918981931222,-1.3490382747231395,-0.09826112298426268,-0.8782300369147076,-0.9905770351661162,0.0
2018-10-02,1.0,-0.5413160838480618,-1.3604883030980983,-0.09595836778366812,-0.8770001459073004,-0.9888137736491416,0.0
2018-10-03,1.0,-0.5492639842983317,-1.3904808635917567,-0.10024533856722276,-0.8806182531894012,-0.9861629048086359,0.0
2018-10-04,1.0,-0.5490918016691213,-1.3918507609229258,-0.1009327442317133,-0.8800196367206677,-0.9872852233676976,0.0
2018-10-05,1.0,-0.5311262164409017,-1.385691231845078,-0.08117756369504621,-0.8902146804244706,-1.002004988018974,0.0
2018-10-08,1.0,-0.5281803542673108,-1.3813009320255696,-0.0762211486849168,-0.8931830381105744,-1.0008295515541892,0.0
2018-10-09,1.0,-0.5318608287724785,-1.3834538702111023,-0.08229085222830337,-0.8916145426114153,-0.9973612197028929,0.0
2018-10-10,1.0,-0.5327276279796795,-1.3821316920672135,-0.08333333333333333,-0.8919499804611176,-0.9945291129347401,0.0
2018-10-11,1.0,-0.46912586419168484,-1.3804337531963253,-0.0009944123496543234,-0.8716734539255611,-1.0131167724216308,0.0
2018-10-12,1.0,-0.48545420420420415,-1.381006006006006,-0.0,-0.8435153903903905,-0.9822635135135135,0.0
2018-10-15,1.0,-0.4624994151499555,-1.3989145183175034,-0.0,-0.8365227155757264,-0.9808637065456417,0.0
2018-10-16,1.0,-0.45539686256146106,-1.4125497541559353,-0.0,-0.835261062982908,-0.9794895808944042,0.0
2018-10-17,1.0,-0.4244653943435272,-1.359300988733042,-0.0,-0.8260749597608646,-0.9889169924120488,0.0
2018-10-18,1.0,-0.4248711814501288,-1.36105999263894,-0.0,-0.8254508649245491,-0.9892804563857196,0.0
2018-10-19,1.0,-0.40374172940908054,-1.349304129591604,-0.0,-0.8228154232261008,-0.9872689938398357,0.0
2018-10-22,1.0,-0.4055263758849052,-1.3533683489381136,-0.0,-0.8220598310116465,-0.986298241607673,0.0
2018-10-23,1.0,-0.41670482644930856,-1.3579998168330434,-0.0,-0.818573129407455,-0.9858961443355618,0.0
2018-10-24,1.0,-0.4139556165637154,-1.353191489361702,-0.0,-0.8191260581102723,-0.9892930679478381,0.0
2018-10-25,1.0,-0.35783046617345576,-1.2959265531687316,-0.0,-0.8487387467688743,-0.9542294322132098,0.0
2018-10-26,1.0,-0.3299797017032919,-1.2784396787573913,-0.0,-0.8611773012090725,-0.9430765157532434,0.0
