Date,AEP,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.018630136986301372,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.19452054794520549,-0.02250958904109589,-0.9560986301369864,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.023271203264585864,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1830594463438844,-0.03564574831807654,-0.9638248593801699,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.026278628480649574,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18253828162923083,-0.030779753761969904,-0.9668372975596841,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.004379084967320261,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16468409586056645,-0.04869281045751633,-0.9608932461873638,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00381130760519209,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16403867932746755,-0.04871940064465546,-0.9612988936318494,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0025214650581458537,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16452559504401693,-0.04519074013694163,-0.9614172372568199,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0017391682427878867,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16559055631644165,-0.04495749907606687,-0.9616513402465271,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.004010724328094688,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16197658957647623,-0.048782614381934306,-0.9649715543736512,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.004796476769790918,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16105260862929777,-0.048444415374888264,-0.9659014106002136,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.17393662017656117,-0.06839034336160338,-0.9267292800902328,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0014835500479972075,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.17820054105942928,-0.06837420368269483,-0.9336111353521249,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002291075714597425,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.17628191141173905,-0.06951778311149902,-0.9338861008073315,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.17624487660242436,-0.06928577657626232,-0.9343551059562223,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16914469817358557,-0.07007423210048545,-0.9376755121144176,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16315743681211117,-0.07064862748510028,-0.9413146561099752,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1561088919763807,-0.07732719694338312,-0.9374565821465787,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0009981555820765976,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.14019746121297602,-0.08506021482044049,-0.9436476076814582,-0.0,-0.0
