Date,IWF,IWM,MTUM,RVLV,SPY,VLUE,VXX
2020-02-05,-1.0630936227951153,-2.328900949796472,-3.848439620081411,1.0,-3.541791044776119,-1.7864314789687923,0.0
2020-02-06,-1.099406528189911,-2.3015915834906933,-3.890612355004046,1.0,-3.4948745616401404,-1.7013757755597518,0.0
2020-02-07,-1.1074179164977704,-2.2959059586542354,-3.9016349142007836,1.0,-3.5034454803404946,-1.7032833400891771,0.0
2020-02-10,-1.113939393939394,-2.244040404040404,-3.906936026936027,1.0,-3.508013468013468,-1.694949494949495,0.0
2020-02-11,-1.0799034723153236,-2.242659873977745,-3.8711623542029763,1.0,-3.4940340528220943,-1.7188631183804797,0.0
2020-02-12,-1.078583880917259,-2.244736489204774,-3.871798310312458,1.0,-3.4932278396137857,-1.721872066514684,0.0
2020-02-13,-1.0596815201391676,-2.241937642178509,-3.8790311789107457,1.0,-3.4884249966546226,-1.712431419777867,0.0
2020-02-14,-1.0736319742489269,-2.227601931330472,-3.86024678111588,1.0,-3.5160944206008584,-1.7344420600858368,0.0
2020-02-18,-1.0844312987362192,-2.224657165904813,-3.8869319709599353,1.0,-3.5306534014520032,-1.7178004840010754,0.0
2020-02-19,-1.101373182552504,-2.236806677436726,-3.897684437264405,1.0,-3.5328486806677435,-1.6938610662358642,0.0
2020-02-20,-1.0992458928090492,-2.2372744411527066,-3.900215459197414,1.0,-3.5359547535685425,-1.6933746296795043,0.0
2020-02-21,-1.0663436953303729,-2.2712959224868796,-3.902301170771094,1.0,-3.525501278428206,-1.6914278024491993,0.0
2020-02-24,-0.9092998107596647,-2.3017031630170313,-4.0051365233846985,1.0,-3.5797512841308463,-1.7214111922141118,0.0
2020-02-25,-0.8262051915945612,-2.2595797280593324,-3.7105067985166875,1.0,-3.0211372064276882,-1.5436341161928306,0.0
2020-02-26,-0.8833127317676143,-2.1483312731767614,-3.829542645241038,1.0,-3.103831891223733,-1.3959208899876392,0.0
2020-02-27,-0.8610658307210031,-2.195987460815047,-3.90846394984326,1.0,-3.1350470219435738,-1.4386206896551723,0.0
2020-02-28,-0.6798691040397201,-2.3331076506431954,-3.381742270367863,1.0,-2.5897088693297223,-1.2998194538478898,0.0
2020-03-02,-0.847915712322492,-2.1943426477324786,-3.38135593220339,1.0,-2.696518552450756,-1.3318827301878151,0.0
2020-03-03,-0.723404255319149,-2.5802911534154536,-3.0281075027995517,1.0,-2.5709966405375138,-1.2954087346024636,0.0
2020-03-04,-0.5519403307750513,-2.6513890390228085,-3.0563182358663927,1.0,-2.418008863906605,-1.1318776348502866,0.0
2020-03-05,-0.458941605839416,-2.8516828872668287,-2.653994322789943,1.0,-2.170214922952149,-1.0029399837793997,0.0
2020-03-06,-0.4017944216890969,-2.7769650867953968,-2.622878876535986,1.0,-2.021942656524283,-0.9287107470255509,0.0
2020-03-09,-0.3909847165796092,-2.73669955503966,-2.6378409750435288,1.0,-2.0066744051073706,-0.9007544979686593,0.0
2020-03-10,-1.0162235964982733,-1.6195486306320779,-2.180065858164003,1.0,-1.6198698899686774,-0.5958557545578669,0.0
2020-03-11,-0.7758781473422444,-1.9386073981970782,-2.2210910786447005,1.0,-1.424230649673609,-0.41133043207957726,0.0
2020-03-12,-0.8057354974889002,-1.6585632142077296,-2.0375573185821385,1.0,-1.3919499235752237,-0.3847441589635344,0.0
2020-03-13,-0.9020488525195347,-1.1985479603765459,-1.6002584138312925,1.0,-1.1683381529563772,-0.28351688918968804,0.0
