Date,AME,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2393604755438264,-0.416254579927746,-0.1339772989315637,-0.3952445617361449,-0.37736042429987954,0.0
2018-09-25,1.0,-0.23822480043122257,-0.4190815986036603,-0.1311121948715316,-0.397725814317616,-0.380656587694756,0.0
2018-09-26,1.0,-0.23776259694899582,-0.41884534388001443,-0.1293851764343315,-0.39863372540962555,-0.38358415943294466,0.0
2018-09-27,1.0,-0.2376120629864625,-0.41958437154820316,-0.1292609622646356,-0.39870019779598753,-0.38367284029900584,0.0
2018-09-28,1.0,-0.23529714168208923,-0.42237302076907257,-0.1297038864898211,-0.3989564055110014,-0.3840993214065392,0.0
2018-10-01,1.0,-0.23523816868460962,-0.42253412508675864,-0.12984242050332895,-0.3988586411660368,-0.3841289427007018,0.0
2018-10-02,1.0,-0.2367189508871175,-0.41115968115196705,-0.13389046027256363,-0.40197994343018767,-0.38758035484700437,0.0
2018-10-03,1.0,-0.23647953937898417,-0.40710466790047295,-0.13335389677154022,-0.40337754472547804,-0.39011412708204807,0.0
2018-10-04,1.0,-0.23783339328845263,-0.4045942751426075,-0.1336656559946554,-0.40495400585847163,-0.38848347808212136,0.0
2018-10-05,1.0,-0.23147460362183347,-0.40034835173279376,-0.12809610409569427,-0.40859609128864527,-0.39286903511692833,0.0
2018-10-08,1.0,-0.23075742067553737,-0.3991299897645855,-0.12697031729785055,-0.4094165813715456,-0.39257932446264077,0.0
2018-10-09,1.0,-0.23257540840886975,-0.3994981307932606,-0.13074204946996468,-0.40781994161929636,-0.38989604137860395,0.0
2018-10-10,1.0,-0.23175833483048022,-0.4030490465313247,-0.1282755434643123,-0.40877242512126893,-0.39470779970741476,0.0
2018-10-11,1.0,-0.21639277846707008,-0.39976704732484236,-0.1102220646696883,-0.4060466411769174,-0.39966576355303474,0.0
2018-10-12,1.0,-0.21446093927821755,-0.3999898839179586,-0.10707872840848741,-0.40724817278268133,-0.40021749576389065,0.0
2018-10-15,1.0,-0.21091322470632815,-0.4044966527725149,-0.10243779209296452,-0.40740179360869017,-0.4009852216748769,0.0
2018-10-16,1.0,-0.2112377150653091,-0.403451150804679,-0.10330714231575756,-0.40741770041181374,-0.4010510093226548,0.0
2018-10-17,1.0,-0.20420931454741112,-0.386646312470282,-0.09674916789709452,-0.40771791085863013,-0.4072424234840712,0.0
2018-10-18,1.0,-0.20401881787698317,-0.3863670486962615,-0.09681697612732097,-0.40793754066363047,-0.40723687503127975,0.0
2018-10-19,1.0,-0.20345984378129378,-0.38801822551572196,-0.09465752052874024,-0.40917284197877024,-0.4081964750650911,0.0
2018-10-22,1.0,-0.20319583239411926,-0.38968617727352417,-0.09655120595086032,-0.407944498710146,-0.40721817316602804,0.0
2018-10-23,1.0,-0.20363090021284588,-0.38940778765493933,-0.09770877676223864,-0.4068110679854764,-0.4065356203831226,0.0
2018-10-24,1.0,-0.20337309124059866,-0.4056066246296437,-0.1031932943351313,-0.4117602370280331,-0.4084428575046215,0.0
