Date,IWF,IWM,MTUM,ROIC,SPY,VLUE,VXX
2018-09-24,-0.2979066462614779,-0.6095048097944906,-0.0,1.0,-0.4418998688237866,-0.38355378224748576,0.0
2018-09-25,-0.29511887113600177,-0.6149179157744469,-0.0,1.0,-0.44605501564816347,-0.3892274748805798,0.0
2018-09-26,-0.2982157094548154,-0.6184807412091387,-0.0,1.0,-0.4470073955956342,-0.38561570395623124,0.0
2018-09-27,-0.297553188561363,-0.6212809291828365,-0.0,1.0,-0.4473894255910605,-0.3861228084661327,0.0
2018-09-28,-0.29789693900022024,-0.6210911693459591,-0.0,1.0,-0.44747852895837925,-0.3862310063862585,0.0
2018-10-01,-0.29832783339341673,-0.6317073847092427,-0.0,1.0,-0.4513463298300102,-0.39169740162502426,0.0
2018-10-02,-0.2969553732795774,-0.6450715973863478,-0.0,1.0,-0.44913109968024467,-0.3893229528708466,0.0
2018-10-03,-0.2965731914065757,-0.6414774464300602,-0.0,1.0,-0.44998749339929406,-0.39117867763541864,0.0
2018-10-04,-0.30134052731115807,-0.6356101902325064,-0.0,1.0,-0.45641895650239184,-0.3878073200578485,0.0
2018-10-05,-0.2913678030407931,-0.6304522418233681,-0.0,1.0,-0.4577806087125093,-0.3897643246835969,0.0
2018-10-08,-0.28852659014029836,-0.6285421172295237,-0.0,1.0,-0.46478677979260247,-0.3908390173570676,0.0
2018-10-09,-0.28008049414460995,-0.6344783252746024,-0.0,1.0,-0.47530674417954666,-0.4050979624919646,0.0
2018-10-10,-0.27941957670478373,-0.6352224117203009,-0.0,1.0,-0.47527050074090643,-0.4059608018564599,0.0
2018-10-11,-0.2274148383764239,-0.6259413315933992,-0.0,1.0,-0.45605306799336653,-0.4092379631895169,0.0
2018-10-12,-0.2243468383188186,-0.6250338075404338,-0.0,1.0,-0.45180397035754855,-0.40341861848866767,0.0
2018-10-15,-0.1995352732971279,-0.649941909162141,-0.0,1.0,-0.44775877441841616,-0.40463645943098,0.0
2018-10-16,-0.19468930831215187,-0.6588340273646639,-0.0,1.0,-0.44683900275809857,-0.40365583256719484,0.0
2018-10-17,-0.18364568316514496,-0.6378343744994394,-0.0,1.0,-0.44246889849965293,-0.4057077259864381,0.0
2018-10-18,-0.18362388872573882,-0.6380649811784179,-0.0,1.0,-0.44234722481779104,-0.40569185999946605,0.0
