Date,DKNG,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-03-23,1.0,-0.41119749291870067,-0.3931175797022841,-0.5596938468028687,-0.5399264750195866,-0.10941360814801424,0.0
2020-03-24,1.0,-0.4180970990530588,-0.4005711709003457,-0.539305576431685,-0.531549676837517,-0.1166691718021945,0.0
2020-03-25,1.0,-0.4213399218570444,-0.3949379452999311,-0.44282923465869917,-0.5249367961388186,-0.08888761204320846,0.0
2020-03-26,1.0,-0.41010071522405483,-0.40067143482703255,-0.4758137498175448,-0.5398627937527368,-0.09286235586045831,0.0
2020-03-27,1.0,-0.41117552519802547,-0.38896223166111815,-0.44839857651245546,-0.5444552864194696,-0.07694294570083801,0.0
2020-03-30,1.0,-0.40738620097337536,-0.3868021757801317,-0.4538505582593759,-0.5472659604924134,-0.06756369882622387,0.0
2020-03-31,1.0,-0.39291243763977296,-0.41255232524800733,-0.4519467859395608,-0.5383622914157922,-0.07136303687138024,0.0
2020-04-01,1.0,-0.3984408586741567,-0.42905047146828695,-0.4307701126364965,-0.5416009859276031,-0.06620618497606832,0.0
2020-04-02,1.0,-0.4062695212675337,-0.400533817934011,-0.4270827417797717,-0.5495769208927254,-0.055994093929240735,0.0
2020-04-03,1.0,-0.4071885210967467,-0.3997726949850831,-0.42721977553629775,-0.5526637306435573,-0.054496377326324764,0.0
2020-04-06,1.0,-0.40900317892824706,-0.38902134423251583,-0.42597638510445046,-0.5560853769300635,-0.0582425068119891,0.0
2020-04-07,1.0,-0.3904100069492703,-0.3615566365531619,-0.41528839471855455,-0.5628630993745657,-0.049589993050729676,0.0
2020-04-08,1.0,-0.38702940521274226,-0.3631933615504567,-0.40568612163065265,-0.5643239028736913,-0.06437959456449098,0.0
2020-04-09,1.0,-0.39093468308357265,-0.39537065999374416,-0.4023089828532431,-0.5804589529957063,-0.07444479199249296,0.0
2020-04-13,1.0,-0.414555701030341,-0.3403256105197245,-0.42104514145841637,-0.5881482324813571,-0.08217111629760346,0.0
2020-04-14,1.0,-0.41348973607038125,-0.3435640463513937,-0.41844375480454404,-0.5881616035076731,-0.08347806280784671,0.0
2020-04-15,1.0,-0.40201974356064907,-0.34917167820265516,-0.4088278679223874,-0.5878531714512651,-0.08881765573584477,0.0
