Date,IWF,IWM,MTUM,SPY,TYL,VLUE,VXX
2018-09-24,-0.3335132079350395,-0.5405231781272485,-0.2521841915921472,-0.2840219960941515,1.0,-0.15936889711172783,0.0
2018-09-25,-0.33989944566198277,-0.5401830604615186,-0.25917236044862707,-0.2832796184091788,1.0,-0.15580765759958748,0.0
2018-09-26,-0.3393839241911746,-0.540266983397454,-0.2563195538227168,-0.28513517002762784,1.0,-0.16091301092204807,0.0
2018-09-27,-0.3408076377241646,-0.5362146819765191,-0.2574377499677461,-0.28509869694233003,1.0,-0.16077925428976905,0.0
2018-09-28,-0.33978428033235275,-0.5369252206223873,-0.257625019352841,-0.2851060535686639,1.0,-0.16098983330752956,0.0
2018-10-01,-0.3398018166804294,-0.5367981007431875,-0.25763831544178367,-0.2851723781998349,1.0,-0.16112716763005783,0.0
2018-10-02,-0.3400727650727651,-0.5656185031185031,-0.24935031185031184,-0.2843295218295218,1.0,-0.1593814968814969,0.0
2018-10-03,-0.3411032399208251,-0.5727679966663194,-0.25015626627773724,-0.2834930721950203,1.0,-0.1569434316074591,0.0
2018-10-04,-0.3417263377164432,-0.5711756281734149,-0.2503059497461268,-0.28439005337846635,1.0,-0.1562296575966671,0.0
2018-10-05,-0.348868245453356,-0.5809498887871255,-0.25319900562606307,-0.28266387544158056,1.0,-0.15111867067905274,0.0
2018-10-08,-0.35002753231769673,-0.5836326926606707,-0.25416262422319535,-0.28240291580355037,1.0,-0.15192595117602328,0.0
2018-10-09,-0.35684723869777246,-0.587636747067352,-0.2649532094371952,-0.2802425201001713,1.0,-0.14640833003822326,0.0
2018-10-10,-0.35719179887208136,-0.5872292204711959,-0.2654561745638539,-0.28021398829916194,1.0,-0.14523269909871922,0.0
2018-10-11,-0.3397641460639288,-0.5873849177614565,-0.2448794869142443,-0.27045619116582187,1.0,-0.14363297817316642,0.0
2018-10-12,-0.34596185844105976,-0.5844873928068604,-0.246691411749648,-0.2566235760911302,1.0,-0.1260975297580955,0.0
2018-10-15,-0.3419041533546326,-0.5916421725239617,-0.24120127795527158,-0.2556932907348243,1.0,-0.12546964856230033,0.0
