Date,ADT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.1081059195076524,-2.4521823629443675,-0.14802818041946716,-1.7963397845979432,-1.593246416713904,0.0
2018-09-25,1.0,-1.1094571636598982,-2.4475366070706253,-0.15217215435644366,-1.7924925167866677,-1.588221017717013,0.0
2018-09-26,1.0,-1.1096909885131856,-2.4478239767027987,-0.15272609610095456,-1.7921857304643263,-1.5868791457692932,0.0
2018-09-27,1.0,-1.1252231780555104,-2.433127739003409,-0.160769355624087,-1.8018990423632528,-1.594627495536439,0.0
2018-09-28,1.0,-1.1226774847870182,-2.4338336713995945,-0.16210953346855986,-1.8008113590263692,-1.5941582150101419,0.0
2018-10-01,1.0,-1.1233976959273082,-2.432175888366056,-0.16274541619341232,-1.800746389745254,-1.593866623397696,0.0
2018-10-02,1.0,-1.1235399091499025,-2.430321219987021,-0.16474691758598314,-1.7997242050616484,-1.5933646982478908,0.0
2018-10-03,1.0,-1.1294893720987051,-2.448082091375519,-0.1687433830116459,-1.8033227461519667,-1.5943480739473899,0.0
2018-10-04,1.0,-1.1328779377083842,-2.435390745710336,-0.17052939741400341,-1.806538180043913,-1.5866471497113117,0.0
2018-10-05,1.0,-1.0999594649371707,-2.424888528577219,-0.129874341305229,-1.8346169436562627,-1.617592217267937,0.0
2018-10-08,1.0,-1.0929650270575881,-2.4132137953315564,-0.120103384217753,-1.8379775462402068,-1.6126322591066957,0.0
2018-10-09,1.0,-1.0914230334356325,-2.4140688095622678,-0.11597480213212728,-1.8398481666935875,-1.6150056533677921,0.0
2018-10-10,1.0,-1.0938155982560955,-2.4114322622315516,-0.11844017439044083,-1.841191668012272,-1.6088325528822864,0.0
2018-10-11,1.0,-0.9324046585978535,-2.341402146608815,-0.0,-1.753216107178199,-1.5850650833523636,0.0
2018-10-12,1.0,-0.9228314906878385,-2.2990279735846255,-0.0,-1.6876159382651925,-1.5105735697855607,0.0
2018-10-15,1.0,-0.8514807059527371,-2.4039784624588694,-0.0,-1.6913700269219265,-1.5315584804068203,0.0
2018-10-16,1.0,-0.8404087459613795,-2.441731159365842,-0.0,-1.695694642722969,-1.535877977308588,0.0
2018-10-17,1.0,-0.7750127337553664,-2.319944699119552,-0.0,-1.6557520192097797,-1.5257949501564432,0.0
2018-10-18,1.0,-0.7774294670846396,-2.3272581468251077,-0.0,-1.6567033607931765,-1.5288328351680398,0.0
2018-10-19,1.0,-0.7320833936586071,-2.3048356739539595,-0.0,-1.6693933690458953,-1.5327204285507454,0.0
2018-10-22,1.0,-0.7326574945691529,-2.286676321506155,-0.0,-1.6795076031860972,-1.5422881969587257,0.0
2018-10-23,1.0,-0.729983957999125,-2.30195420737932,-0.0,-1.7002333381945456,-1.5596470759807495,0.0
