Date,FISV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.28793536891947963,-0.4266432354592273,-0.14044079958995387,-0.3596690341949183,-0.2260623367747919,0.0
2018-09-25,1.0,-0.28739955547956914,-0.4277165815890384,-0.13926678553110422,-0.3606477297706568,-0.22738929731578048,0.0
2018-09-26,1.0,-0.28880142762852323,-0.4297064072163688,-0.14178502456792239,-0.36045175642310606,-0.2238247732661892,0.0
2018-09-27,1.0,-0.2899545610006352,-0.4262959886646797,-0.14274197488640253,-0.36033615087702153,-0.22365270923926323,0.0
2018-09-28,1.0,-0.2888031076690039,-0.42725562532066164,-0.14302118198920133,-0.36026483594341696,-0.22381568981945224,0.0
2018-10-01,1.0,-0.2881986058456647,-0.42939953528188823,-0.14332884921120215,-0.3603277485630427,-0.22465451877216583,0.0
2018-10-02,1.0,-0.2879241027652481,-0.4413855657972151,-0.13992939792116102,-0.35901647381839574,-0.22318101588546774,0.0
2018-10-03,1.0,-0.2876823140090698,-0.4347591616619684,-0.13881603137639417,-0.36193160926584145,-0.2281161907096458,0.0
2018-10-04,1.0,-0.28999607881580236,-0.43079109891187134,-0.1391775316145476,-0.36501323399666696,-0.22576218017841385,0.0
2018-10-05,1.0,-0.2886845066288342,-0.4303116285895993,-0.1368328359669292,-0.3656866102441172,-0.22457316178269165,0.0
2018-10-08,1.0,-0.28770205169588925,-0.4285819088841611,-0.13281001638422224,-0.3709925904188981,-0.22531973687428164,0.0
2018-10-09,1.0,-0.2884220309137155,-0.428658775190765,-0.13431813735081197,-0.3702553316376443,-0.22402660927411464,0.0
2018-10-10,1.0,-0.28908121852232166,-0.42782749009828375,-0.13515231529020585,-0.3705442276661288,-0.2222629700259156,0.0
2018-10-11,1.0,-0.28828762949421083,-0.4289579524680073,-0.13082266910420476,-0.3715295551492992,-0.21794028031687995,0.0
2018-10-12,1.0,-0.29143409447867585,-0.4249124078772502,-0.13011960855382385,-0.3638758004107769,-0.20601667270750273,0.0
2018-10-15,1.0,-0.2905328729748654,-0.4264191032667745,-0.12828065770094405,-0.3640051186710771,-0.20525388125648888,0.0
