Date,DG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.32167563412759415,-0.7131053036126056,-0.03074558032282859,-0.5525236997181655,-0.5845823725339482,0.0
2018-09-25,1.0,-0.3215017939518196,-0.7135763710917479,-0.03030497180932855,-0.5529536135315224,-0.5851806765761148,0.0
2018-09-26,1.0,-0.32342377012378937,-0.7163748316336348,-0.03354499390674107,-0.5528830735680842,-0.580751715733436,0.0
2018-09-27,1.0,-0.3295443598882574,-0.7066756574511126,-0.03692643611726552,-0.5554057091481233,-0.5824422823748515,0.0
2018-09-28,1.0,-0.327627183967112,-0.7085688591983555,-0.03754496402877698,-0.5554021068859198,-0.5825732271325796,0.0
2018-10-01,1.0,-0.327884121274409,-0.7082155704008222,-0.03770554984583761,-0.555434224049332,-0.5824768756423432,0.0
2018-10-02,1.0,-0.32879483638932594,-0.6997527375485694,-0.040942808516104164,-0.5572075398991683,-0.584502745576571,0.0
2018-10-03,1.0,-0.3305316716581329,-0.7090780278878047,-0.042185940166811584,-0.5566933951631082,-0.5818117412166297,0.0
2018-10-04,1.0,-0.3439143135345667,-0.7034079844206427,-0.04281077572216813,-0.5763388510223953,-0.579227523531321,0.0
2018-10-05,1.0,-0.33291307018394595,-0.6972812207028093,-0.031002489250961756,-0.5834222351533961,-0.5881744415349304,0.0
2018-10-08,1.0,-0.3312251944112807,-0.6943306121131941,-0.027911329095543867,-0.5857507018166564,-0.5875254106030783,0.0
2018-10-09,1.0,-0.32845628459521575,-0.6987019713203638,-0.016799922312497977,-0.5945359790243745,-0.5984850937105494,0.0
2018-10-10,1.0,-0.32892182241781004,-0.6978708257830702,-0.017344033134869274,-0.5947450168263008,-0.5969130209681595,0.0
2018-10-11,1.0,-0.2565083984436782,-0.6996488786258817,-0.0,-0.5823869926928794,-0.6247113529244298,0.0
2018-10-12,1.0,-0.2527010050251256,-0.6956344221105527,-0.0,-0.575,-0.6173994974874372,0.0
2018-10-15,1.0,-0.25860277681579197,-0.6919371595882,-0.0,-0.5785662563359883,-0.6192425148757988,0.0
2018-10-16,1.0,-0.2503790271636134,-0.7106443461781428,-0.0,-0.5785849652558434,-0.6189829437776374,0.0
