Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZYXI
2018-09-24,-3.520786262991414,-6.700180750112969,-0.8807049254405784,-5.401943063714414,-5.090149118843199,0.0,1.0
2018-09-25,-3.5504649580403727,-6.717169426173736,-0.9056475391245181,-5.415060104332048,-5.092764799274212,0.0,1.0
2018-09-26,-3.5553790285973674,-6.724693599636859,-0.911484339536995,-5.417158420335905,-5.087607807535179,0.0,1.0
2018-09-27,-3.551716350496838,-6.658084914182476,-0.9182475158084915,-5.392502258355917,-5.062782294489612,0.0,1.0
2018-09-28,-3.544961590600994,-6.667871667419792,-0.9227293267058292,-5.393357433348396,-5.065070040668775,0.0,1.0
2018-10-01,-3.567181116659101,-6.693372673626873,-0.9235133908306853,-5.423286427598729,-5.088969586926917,0.0,1.0
2018-10-02,-3.5720782173715326,-6.71919054115507,-0.917462482946794,-5.432469304229195,-5.096407457935426,0.0,1.0
2018-10-03,-3.7255924170616113,-6.93649289099526,-0.9127962085308057,-5.726303317535545,-5.395497630331754,0.0,1.0
2018-10-04,-3.750474383301708,-6.909155597722959,-0.920303605313093,-5.757590132827325,-5.381641366223909,0.0,1.0
2018-10-05,-3.63531894934334,-6.810037523452158,-0.8177767354596623,-5.773452157598499,-5.415572232645403,0.0,1.0
2018-10-08,-3.6005586592178775,-6.748836126629423,-0.7858472998137802,-5.760707635009311,-5.381284916201118,0.0,1.0
2018-10-09,-3.593808193668529,-6.751396648044693,-0.7686219739292366,-5.769785847299814,-5.394087523277467,0.0,1.0
2018-10-10,-3.6087666122639313,-6.756120307764048,-0.7785031475868502,-5.785264630449989,-5.387036605269294,0.0,1.0
2018-10-11,-3.608465608465608,-7.623078861174099,-0.21516754850088182,-6.452003023431594,-6.296800201562106,0.0,1.0
2018-10-12,-3.5511924837388587,-7.33437725849193,-0.16622500602264514,-6.108648518429295,-5.930378222115153,0.0,1.0
2018-10-15,-3.3943695292169385,-7.371894960965223,-0.021291696238466995,-6.008989827300685,-5.861130825644665,0.0,1.0
2018-10-16,-3.3816505083944195,-7.402695672735871,-0.0,-6.0049657129345,-5.856703712461575,0.0,1.0
2018-10-17,-3.3244680851063833,-7.389023210831721,-0.0,-6.250241779497099,-6.214216634429401,0.0,1.0
2018-10-18,-3.3273564332444874,-7.39665616670705,-0.0,-6.275987400048462,-6.2306760358614,0.0,1.0
2018-10-19,-3.148341232227488,-7.195260663507109,-0.0,-6.206161137440759,-6.146919431279621,0.0,1.0
2018-10-22,-3.182319118351701,-7.216818399616675,-0.0,-6.3112122664111165,-6.2474844274077626,0.0,1.0
2018-10-23,-3.188187470109995,-7.203252032520325,-0.0,-6.290052606408417,-6.230511716881875,0.0,1.0
2018-10-24,-3.197786333012512,-7.224975938402309,-0.0,-6.344562078922041,-6.29451395572666,0.0,1.0
2018-10-25,-2.751667407736772,-6.547354379724322,-0.0,-6.136727434415295,-5.7963539350822595,0.0,1.0
2018-10-26,-2.560216216216216,-6.344,-0.0,-6.07827027027027,-5.639567567567568,0.0,1.0
2018-10-29,-2.364381833473507,-6.246215306980656,-0.0,-5.877417998317915,-5.5378469301934405,0.0,1.0
2018-10-30,-2.3057136833227916,-6.268817204301075,-0.0,-5.899641577060932,-5.609529833438752,0.0,1.0
2018-10-31,-2.3518518518518516,-6.150252525252526,-0.0,-5.930345117845118,-5.611321548821548,0.0,1.0
2018-11-01,-2.2400586019254916,-6.203850983675178,-0.0,-5.896818752616157,-5.588530766010883,0.0,1.0
2018-11-02,-2.2575257731958764,-5.945567010309278,-0.0,-5.905979381443299,-5.509484536082474,0.0,1.0
2018-11-05,-2.2419855222337124,-6.032678386763186,-0.0,-5.929265770423992,-5.478593588417787,0.0,1.0
2018-11-06,-2.2524251805985553,-6.031578947368421,-0.0,-5.90546955624355,-5.450361197110424,0.0,1.0
2018-11-07,-2.230911330049261,-6.000615763546798,-0.0,-5.873152709359606,-5.420771756978653,0.0,1.0
2018-11-08,-2.0691456026739083,-6.2053478170043865,-0.0,-5.981825778149154,-5.633590975558804,0.0,1.0
2018-11-09,-2.0752416981925177,-6.246532156368222,-0.0,-6.027532576712905,-5.6681378730559056,0.0,1.0
2018-11-12,-2.0277492291880783,-6.024665981500514,-0.0,-5.954573484069887,-5.5482014388489205,0.0,1.0
