Date,EIDX,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-19,1.0,-0.15149596327370587,-3.622763970239037,-0.25629254392908024,-5.464302675320563,-5.335444039892354,0.0
2019-02-20,1.0,-0.150970640141184,-3.6642066420664205,-0.24995989090325685,-5.567303064334991,-5.411198459810685,0.0
2019-02-21,1.0,-0.13250484183344094,-3.693834732085216,-0.23224661071659133,-5.621691413815365,-5.459005810200129,0.0
2019-02-22,1.0,-0.12188053453550154,-3.6853968765094187,-0.24939623249074225,-5.607470616647882,-5.436322653356948,0.0
2019-02-25,1.0,-0.0926678588847342,-3.7273614046496504,-0.22175256055925863,-5.701024223703462,-5.51471305478784,0.0
2019-02-26,1.0,-0.09262268443288918,-3.725706857328567,-0.22375690607734805,-5.697270068248294,-5.5102372440688985,0.0
2019-02-27,1.0,-0.09925154572079402,-3.7121705174096973,-0.23120728929384965,-5.708265538561665,-5.519687601692157,0.0
2019-02-28,1.0,-0.0826487845766974,-3.852808046940486,-0.19949706621961444,-5.941492036881811,-5.687845766974015,0.0
2019-03-01,1.0,-0.07067492882264277,-3.8497739072182213,-0.19577960140679954,-5.946742589181042,-5.684642438452521,0.0
2019-03-04,1.0,-0.025992029111072606,-3.929128400623809,-0.20273782706636634,-6.202391266678219,-5.967596603708196,0.0
2019-03-05,1.0,-0.025889967637540454,-4.035418914059691,-0.16037396619920893,-6.534879539733908,-6.222581805106077,0.0
2019-03-06,1.0,-0.03343519683623944,-4.02624483192522,-0.16825453891785008,-6.536580981484811,-6.211396728383966,0.0
2019-03-07,1.0,-0.07109764789736278,-3.8688524590163933,-0.20723449750534567,-6.540805416963649,-6.13079116179615,0.0
2019-03-08,1.0,-0.036885972690193294,-3.8521014364248978,-0.22894130164922857,-6.51250221670509,-6.102855116155347,0.0
2019-03-11,1.0,-0.03794326241134752,-3.8531914893617025,-0.2281914893617021,-6.509219858156029,-6.101773049645391,0.0
2019-03-12,1.0,-0.0,-3.8262658794059763,-0.27142601538736805,-6.605832886026122,-6.188763642869922,0.0
2019-03-13,1.0,-0.0,-3.8771418155304413,-0.23897192854538826,-6.777433467006927,-6.33485235144003,0.0
2019-03-14,1.0,-0.0,-3.91916222671321,-0.23295976483556863,-6.830608120521771,-6.389491089472717,0.0
2019-03-15,1.0,-0.0,-3.9134827332843494,-0.24136664217487142,-6.82990448199853,-6.383908890521675,0.0
2019-03-18,1.0,-0.0,-3.903515195898938,-0.22537532039545952,-6.816550714024166,-6.363053826437203,0.0
2019-03-19,1.0,-0.0,-3.8789925168826427,-0.24128490600474542,-6.794853075378719,-6.336192735900712,0.0
2019-03-20,1.0,-0.0,-3.8727837689636266,-0.2485834399561323,-6.805885578504844,-6.350941326996892,0.0
2019-03-21,1.0,-0.0,-3.8681560153817984,-0.2827321003479216,-6.870170298480132,-6.290789232741257,0.0
2019-03-22,1.0,-0.0,-3.7796914244707573,-0.2909939002511661,-6.7495514890563335,-6.120200932902763,0.0
2019-03-25,1.0,-0.0,-3.267810712428497,-0.5553822152886115,-6.587623504940198,-5.923210261743804,0.0
2019-03-26,1.0,-0.0,-3.2852680895366997,-0.5594308519868124,-6.591879229567933,-5.915668922436231,0.0
2019-03-27,1.0,-0.0,-3.238759689922481,-0.5648578811369509,-6.557278208440999,-5.865633074935401,0.0
2019-03-28,1.0,-0.0,-3.237882433826057,-0.5605018906840838,-6.538329322791337,-5.851323478858714,0.0
2019-03-29,1.0,-0.0,-3.219210977701544,-0.5571183533447684,-6.530188679245283,-5.845969125214409,0.0
2019-04-01,1.0,-0.0,-3.2262250298787776,-0.551647601161004,-6.5026464060099025,-5.793238859484378,0.0
2019-04-02,1.0,-0.0,-3.207895628600474,-0.6675703151474076,-6.435445611657065,-5.632497458488648,0.0
2019-04-03,1.0,-0.0,-3.2071476964769645,-0.6685298102981029,-6.438516260162602,-5.623644986449864,0.0
2019-04-04,1.0,-0.0,-3.1989484396200814,-0.6882632293080054,-6.4623473541384,-5.611092265943013,0.0
2019-04-05,1.0,-0.0,-3.1874894049838955,-0.7133412442786913,-6.459399898287845,-5.591795219528733,0.0
2019-04-08,1.0,-0.0,-3.1563820794590027,-0.7217244294167371,-6.449704142011834,-5.578360101437024,0.0
2019-04-09,1.0,-0.0,-3.156355645706559,-0.7234617985125085,-6.446923597025018,-5.576741041244084,0.0
2019-04-10,1.0,-0.0,-3.106684672518569,-0.7704253882511817,-6.463538149898717,-5.539837947332884,0.0
2019-04-11,1.0,-0.0,-3.0488791505140735,-0.7916736895331198,-6.480532614191809,-5.533962582167538,0.0
2019-04-12,1.0,-0.0,-3.049384796898702,-0.792010787122872,-6.478847126243047,-5.534636777347042,0.0
2019-04-15,1.0,-0.0,-3.064330455391908,-0.8036228203825969,-6.490096495683088,-5.571017436939225,0.0
2019-04-16,1.0,-0.0,-3.0605855474699615,-0.811474022677272,-6.485699779996616,-5.5654086985953635,0.0
2019-04-17,1.0,-0.0,-3.066881683924631,-0.7930741809539976,-6.516720420981159,-5.598200645051775,0.0
2019-04-18,1.0,-0.0,-3.073727226289801,-0.7788183211305977,-6.556444747147966,-5.618082751575005,0.0
2019-04-22,1.0,-0.0,-3.0757575757575757,-0.7797071842015663,-6.55311542390194,-5.615594143684031,0.0
2019-04-23,1.0,-0.0,-3.0834901625320787,-0.7840889649272883,-6.604106073567151,-5.636954662104363,0.0
2019-04-24,1.0,-0.0,-3.0564364876385337,-0.7561807331628303,-6.606990622335891,-5.630861040068201,0.0
2019-04-25,1.0,-0.0,-3.060828079741012,-0.7566876810359516,-6.60146532629068,-5.619696711535185,0.0
2019-04-26,1.0,-0.0,-3.061025641025641,-0.72,-6.655555555555555,-5.657264957264958,0.0
2019-04-29,1.0,-0.0,-3.041112248379393,-0.7077789150460594,-6.6489252814738995,-5.661378369157284,0.0
2019-04-30,1.0,-0.0,-3.039918116683726,-0.7050494711702491,-6.651825315591949,-5.662401910610713,0.0
