Date,IWF,IWM,MTUM,ROL,SPY,VLUE,VXX
2018-09-24,-0.3016272226553658,-0.46882623676466884,-0.17069490203968712,1.0,-0.3199366213123412,-0.25396745554689265,0.0
2018-09-25,-0.3002900012608751,-0.4727020552263271,-0.16704072626402722,1.0,-0.32333879712520486,-0.25837851468919426,0.0
2018-09-26,-0.3021588183310188,-0.47541977023103144,-0.1702310314354248,1.0,-0.3232167655599041,-0.253907334932458,0.0
2018-09-27,-0.3013579074364042,-0.5047103216366763,-0.1642323587545242,1.0,-0.3331878738095849,-0.2634443103935108,0.0
2018-09-28,-0.29727010011353083,-0.5145525854061306,-0.1646970791619362,1.0,-0.33664464857054394,-0.26708122613272783,0.0
2018-10-01,-0.29692859370127844,-0.5246336139694419,-0.16510757717492983,1.0,-0.3398035547240411,-0.2720351314832138,0.0
2018-10-02,-0.2980248988811262,-0.5642170510059358,-0.154252245626937,1.0,-0.3396280926616589,-0.27036823028838575,0.0
2018-10-03,-0.2979578963967516,-0.5549685931299114,-0.15251386370206838,1.0,-0.344581986385976,-0.27816762595600414,0.0
2018-10-04,-0.30402843601895735,-0.5483675618746708,-0.15289626119010002,1.0,-0.3532385466034755,-0.2744339125855713,0.0
2018-10-05,-0.2935150894334568,-0.5432984004412575,-0.14254195886848947,1.0,-0.36240905628660725,-0.28476873374832556,0.0
2018-10-08,-0.2923193996168884,-0.5412107376210344,-0.13896979716077568,1.0,-0.3666325539898712,-0.2849720538455483,0.0
2018-10-09,-0.2931002808177834,-0.541374694905913,-0.1406450935621867,1.0,-0.3657717240112327,-0.28357347190509935,0.0
2018-10-10,-0.29407288851572955,-0.5403668039776454,-0.14181512869624538,1.0,-0.3662529845459554,-0.28126885839477345,0.0
2018-10-11,-0.28495363756785536,-0.5408950416872289,-0.12916547622139685,1.0,-0.3626139580790109,-0.2797070205968676,0.0
2018-10-12,-0.2872466608220308,-0.5388840183590325,-0.12781702851838483,1.0,-0.35506162652777057,-0.26945490175854775,0.0
2018-10-15,-0.2818083517841512,-0.547680346017198,-0.12020493280469596,1.0,-0.35484784511611145,-0.2699912465887442,0.0
