Date,IWF,IWM,MTUM,ORA,SPY,VLUE,VXX
2018-09-24,-0.46767624846783434,-0.9832746826934482,-0.0,1.0,-0.8367403424142975,-0.6662844490134829,0.0
2018-09-25,-0.4672378424037649,-1.0090100961345079,-0.0,1.0,-0.8566831583604844,-0.6893930252202244,0.0
2018-09-26,-0.46588481844194574,-1.009511143352275,-0.0,1.0,-0.8589449079111756,-0.6958046185467296,0.0
2018-09-27,-0.466733789770439,-1.006685461135723,-0.0,1.0,-0.8585581957309707,-0.6954087797019733,0.0
2018-09-28,-0.46534573718335953,-1.0079739035882567,-0.0,1.0,-0.8583625307075833,-0.6955418629938384,0.0
2018-10-01,-0.4652766575254073,-1.0113728020648491,-0.0,1.0,-0.8590095176641394,-0.6972092272947249,0.0
2018-10-02,-0.46983819553726347,-0.9962877779122785,-0.0,1.0,-0.8651898478795949,-0.7037081870637131,0.0
2018-10-03,-0.46934571890145393,-0.9834006462035543,-0.0,1.0,-0.8716882067851374,-0.7142972536348949,0.0
2018-10-04,-0.4733166478281931,-0.9767479412239626,-0.0,1.0,-0.8763523332795091,-0.7103584692394639,0.0
2018-10-05,-0.4756695433734452,-0.9860621530732142,-0.0,1.0,-0.8799076212471132,-0.7100603703253514,0.0
2018-10-08,-0.4714181759379043,-0.9807972186287193,-0.0,1.0,-0.882478978007762,-0.7079964424320828,0.0
2018-10-09,-0.4655193358979551,-0.9822231220894918,-0.0,1.0,-0.8869001822231221,-0.7147195788621178,0.0
2018-10-10,-0.46759240516578277,-0.9809724302659811,-0.0,1.0,-0.8883041172422169,-0.7115906238613822,0.0
2018-10-11,-0.37815257281174364,-0.9582650113219334,-0.0,1.0,-0.8556258296244242,-0.712032482236277,0.0
2018-10-12,-0.3751684830746717,-0.9466630723610737,-0.0,1.0,-0.8388724149882543,-0.6903377363576847,0.0
2018-10-15,-0.3540499040307102,-0.9623800383877158,-0.0,1.0,-0.8338963531669865,-0.6884452975047984,0.0
2018-10-16,-0.3448594888400602,-0.9859296094984774,-0.0,1.0,-0.8348174704136311,-0.689294938514321,0.0
2018-10-17,-0.3212950020777455,-0.9405764799214235,-0.0,1.0,-0.8243738430735522,-0.69143591099694,0.0
2018-10-18,-0.32104408265024736,-0.9403920976088844,-0.0,1.0,-0.8245759830770975,-0.6914214482680466,0.0
2018-10-19,-0.30172155688622754,-0.925935628742515,-0.0,1.0,-0.8265344311377245,-0.6883233532934132,0.0
2018-10-22,-0.30205443503036666,-0.9133988153257855,-0.0,1.0,-0.8361325635450252,-0.697383219614606,0.0
2018-10-23,-0.30876337023831857,-0.9152936761118409,-0.0,1.0,-0.8327641208481891,-0.696190654907112,0.0
2018-10-24,-0.3064981814091267,-0.9139075330908546,-0.0,1.0,-0.8331396002849751,-0.6961265889234692,0.0
