Date,FOSL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,0.7813082177602981,-1.845166632167253,-1.9427654729869592,-1.7912440488511696,-1.879114055061064,-1.8915338439246534,0.21869178223970193
2018-09-25,0.7822839954361581,-1.8494969401514365,-1.947515817861218,-1.7953531791307955,-1.8837257545897728,-1.8961725962037135,0.21771600456384196
2018-09-26,0.782703488372093,-1.8515365448504983,-1.9496470099667775,-1.7972383720930234,-1.8856935215946844,-1.8979443521594683,0.21729651162790697
2018-09-27,0.7846330514667502,-1.863346904687337,-1.96053867835891,-1.8084351184883598,-1.8974840797578036,-1.909698298360998,0.2153669485332498
2018-09-28,0.7859160824526525,-1.8679501935753902,-1.9656796065711,-1.8129120016741658,-1.9022705870042902,-1.914617557811029,0.2140839175473475
2018-10-01,0.787162517071121,-1.876352558041811,-1.9742620023111674,-1.8207794936442905,-1.9109150120811011,-1.923101166088875,0.2128374829288791
2018-10-02,0.7964516129032257,-1.9244086021505376,-2.029677419354839,-1.8659139784946235,-1.9601075268817205,-1.9725806451612904,0.2035483870967742
2018-10-03,0.7996104739233932,-1.937675827742913,-2.0441462886821036,-1.8784895044362693,-1.9735987881410952,-1.9861501839428697,0.2003895260766068
2018-10-04,0.8022826086956522,-1.9475,-2.0544565217391306,-1.8877173913043477,-1.983804347826087,-1.9961956521739133,0.19771739130434784
2018-10-05,0.8107840983966615,-1.967933230836811,-2.076872391829563,-1.9074236766966837,-2.0082363276960247,-2.021414452009664,0.18921590160333845
2018-10-08,0.8119564020698007,-1.9731366288671144,-2.0822415501486295,-1.9120334691181329,-2.014752834966421,-2.0273037542662116,0.1880435979301993
2018-10-09,0.812314131512281,-1.9737856592135699,-2.083379226787091,-1.9121048573631458,-2.0161912104857365,-2.028857803722877,0.18768586848771893
2018-10-10,0.8126721763085399,-1.9747658402203858,-2.0844077134986225,-1.913168044077135,-2.0171900826446283,-2.0298622589531683,0.18732782369146006
2018-10-11,0.8939302522022444,-2.173766139736937,-2.3103656329190296,-2.099070833836129,-2.2314468444551707,-2.2523229154096778,0.1060697477977555
2018-10-12,0.9163164400494438,-2.234734239802225,-2.3720642768850433,-2.1557478368355993,-2.288998763906057,-2.3093943139678617,0.08368355995055624
2018-10-15,0.939332402589161,-2.295976646782586,-2.449041756568092,-2.212336590937936,-2.3560096458941486,-2.378601345348394,0.060667597410838936
2018-10-16,0.9393169988574329,-2.295797892598705,-2.4523295670940715,-2.210994033261394,-2.3567347975117428,-2.379459184968897,0.060683001142566965
2018-10-17,0.9607235142118863,-2.3379844961240313,-2.495607235142119,-2.248966408268734,-2.405684754521964,-2.431782945736434,0.0392764857881137
2018-10-18,0.9636410855733022,-2.3507336709518247,-2.509674068302818,-2.260875211011557,-2.418776782236073,-2.4451369951954294,0.036358914426697836
2018-10-19,0.9973082099596231,-2.44185733512786,-2.610094212651413,-2.3465679676985194,-2.5164199192462986,-2.5440107671601613,0.0026917900403768506
2018-10-22,0.9953039044679994,-2.4339192271568497,-2.600697705621897,-2.337984704145981,-2.5086542331946866,-2.536159935596404,0.0046960955320005365
2018-10-23,1.0,-2.4552339734920205,-2.62320800649175,-2.3585339464430617,-2.5297538544766023,-2.557749526643224,0.0
2018-10-24,1.0,-2.4558366021912623,-2.6230217773569597,-2.3576356012444206,-2.530772352225078,-2.559177600432842,0.0
2018-10-25,1.0,-2.4132231404958677,-2.5797120767795256,-2.3167155425219943,-2.4998667022127434,-2.5201279658757665,0.0
2018-10-26,1.0,-2.3894472361809043,-2.5616239090187776,-2.288548003173763,-2.4829410208939433,-2.5014546416291985,0.0
2018-10-29,1.0,-2.3767294768744236,-2.5567268414810913,-2.2755303729081566,-2.472921333509026,-2.495058637501647,0.0
2018-10-30,1.0,-2.377722053583212,-2.5622277946416787,-2.2763626765210505,-2.478157582156526,-2.5032334697109673,0.0
2018-10-31,1.0,-2.3697368421052634,-2.5542105263157895,-2.2656578947368424,-2.4717105263157895,-2.4967105263157894,0.0
2018-11-01,1.0,-2.3966942148760326,-2.6010397227406026,-2.2877899226872835,-2.508930951746201,-2.5353239136230337,0.0
2018-11-02,1.0,-2.388549415515409,-2.58913390010627,-2.27577045696068,-2.502922422954304,-2.5274973432518597,0.0
2018-11-05,1.0,-2.388571428571429,-2.5934883720930233,-2.2762790697674418,-2.5040531561461794,-2.526644518272425,0.0
2018-11-06,1.0,-2.3902698391599095,-2.595241260135584,-2.276485444636448,-2.5043200850724445,-2.5263857503655456,0.0
2018-11-07,1.0,-2.389553429027113,-2.595029239766082,-2.2768474215842636,-2.5035885167464116,-2.5259170653907494,0.0
2018-11-08,1.0,-2.4703617109063405,-2.7027919130793565,-2.3461697153073855,-2.602393068353734,-2.6315499931233672,0.0
2018-11-09,1.0,-2.481143804392872,-2.716535433070866,-2.355988396187319,-2.6155546346180416,-2.644702306948474,0.0
2018-11-12,1.0,-2.4941634241245136,-2.7392996108949417,-2.36284046692607,-2.6353529738743746,-2.665091717620901,0.0
2018-11-13,1.0,-2.5017450788775655,-2.756386988691889,-2.366606170598911,-2.653636744380846,-2.6823956442831216,0.0
2018-11-14,1.0,-2.5024437927663734,-2.7572964669738864,-2.367127496159754,-2.654377880184332,-2.683284457478006,0.0
2018-11-15,1.0,-2.497839118918165,-2.753241321622752,-2.3621915516520287,-2.6503554997908823,-2.6774013662344904,0.0
2018-11-16,1.0,-2.4908205841446454,-2.7452016689847007,-2.3543810848400555,-2.644645340751043,-2.6731571627260085,0.0
