Date,IWF,IWM,MTUM,RMT,SPY,VLUE,VXX
2018-09-24,-0.15300388397653086,-0.40166101975043383,-0.08069581026361457,1.0,-0.22006445748285267,-0.2105197917527477,0.0
2018-09-25,-0.15362690019828157,-0.40098314606741575,-0.08172918043621943,1.0,-0.2194729015201586,-0.20960013218770657,0.0
2018-09-26,-0.1538270890990954,-0.40123507786360446,-0.08226279482836961,1.0,-0.21927795447973894,-0.20872402825395514,0.0
2018-09-27,-0.15338666005249993,-0.4031334614828135,-0.08180897459746594,1.0,-0.2195489965068932,-0.20902833757053388,0.0
2018-09-28,-0.151760789098203,-0.40488843855331996,-0.08213569345933538,1.0,-0.21973159081039723,-0.2093508964205215,0.0
2018-10-01,-0.15155025130825078,-0.40538192648975113,-0.08228018284485077,1.0,-0.21966202659937534,-0.20952696134196538,0.0
2018-10-02,-0.15133936895315836,-0.4136816590358201,-0.0798442064264849,1.0,-0.2186289336841451,-0.20820816673227124,0.0
2018-10-03,-0.15224748261185508,-0.4197446278417938,-0.08057718260147409,1.0,-0.2177722412540226,-0.2058548738710682,0.0
2018-10-04,-0.1535316216608896,-0.4173395047634862,-0.08082359534236909,1.0,-0.2194317026090205,-0.20444592042176052,0.0
2018-10-05,-0.15691334387746605,-0.42312494797302924,-0.0819736951635728,1.0,-0.21768084575043703,-0.20136518771331058,0.0
2018-10-08,-0.15965471002346632,-0.4293915521287295,-0.08385015085484412,1.0,-0.21800620181025815,-0.20428260140797855,0.0
2018-10-09,-0.16212076706810458,-0.4301749821660862,-0.08866602324703118,1.0,-0.2161260542990223,-0.20101968024841596,0.0
2018-10-10,-0.1620374255265587,-0.43026768482000505,-0.08854997063019215,1.0,-0.21603591507929848,-0.20093144247713352,0.0
2018-10-11,-0.15362583537420613,-0.4311153542816819,-0.07963554854509983,1.0,-0.21134448549250756,-0.19974264248059442,0.0
2018-10-12,-0.1500492342502776,-0.44057321237770003,-0.07519222308353062,1.0,-0.2205694412436362,-0.20869036894261592,0.0
2018-10-15,-0.14850863422291993,-0.44270015698587123,-0.0733228676085819,1.0,-0.22015698587127158,-0.20843537414965987,0.0
2018-10-16,-0.14697195047866435,-0.45044724218111737,-0.06772524456920208,1.0,-0.22096068039466243,-0.2087269832624589,0.0
2018-10-17,-0.14624654782827015,-0.44951460373252994,-0.06713950958239183,1.0,-0.22062515691689683,-0.20869947275922673,0.0
2018-10-18,-0.14548725888112474,-0.44838696179756476,-0.06778526298171471,1.0,-0.22174567973555379,-0.20875350433072512,0.0
2018-10-19,-0.1429286399466155,-0.44803353213496266,-0.06585477749509946,1.0,-0.22112858155732576,-0.20740709846936647,0.0
2018-10-22,-0.14301804150589217,-0.44799249139639175,-0.06617999791427678,1.0,-0.22110751903222442,-0.20744603191156535,0.0
2018-10-23,-0.14198253165614944,-0.4496426929666931,-0.06233022692130887,1.0,-0.22533327761293828,-0.21024698065109282,0.0
2018-10-24,-0.1413311593294034,-0.4515866047911702,-0.06300430620009197,1.0,-0.22503031063171536,-0.20943601321125463,0.0
