Date,FORM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7243915630070308,-1.5616549486208762,-0.2085992428339643,-0.9270957274202271,-0.9865873445105462,0.0
2018-09-25,1.0,-0.7305006765899864,-1.559188092016238,-0.21677943166441138,-0.924871447902571,-0.9813802435723952,0.0
2018-09-26,1.0,-0.7301311937547434,-1.5603382847229752,-0.21240377317575623,-0.9284397701398677,-0.9898623007698145,0.0
2018-09-27,1.0,-0.7320045496398202,-1.5531603748036615,-0.21426637057899584,-0.9278015490440341,-0.9889508747224178,0.0
2018-09-28,1.0,-0.731073323946713,-1.553124661540128,-0.2149355572403336,-0.9274883569803964,-0.9887360554532655,0.0
2018-10-01,1.0,-0.737649063032368,-1.5858108479419686,-0.21877232510853437,-0.9446612078914107,-1.0084629334505688,0.0
2018-10-02,1.0,-0.7384734171630266,-1.6138870505184204,-0.21249724244429738,-0.943745863666446,-1.0065078314581954,0.0
2018-10-03,1.0,-0.7406096144271727,-1.5956187420479062,-0.2091054931681142,-0.9587874094152792,-1.0277147756818057,0.0
2018-10-04,1.0,-0.7421637459229367,-1.590690474874233,-0.2100171374868705,-0.960473215766488,-1.0248769970700427,0.0
2018-10-05,1.0,-0.7332267489938806,-1.5919289927779923,-0.1958762886597938,-0.9627873642427918,-1.0292188102982525,0.0
2018-10-08,1.0,-0.7324223054882081,-1.5919660568657703,-0.19407097200793477,-0.9629160238042759,-1.02887370509147,0.0
2018-10-09,1.0,-0.739692715817398,-1.5970487454404776,-0.20487454404775063,-0.9613131424781697,-1.0237647839062674,0.0
2018-10-10,1.0,-0.7408287292817679,-1.5957458563535911,-0.2061325966850829,-0.9616574585635359,-1.0205524861878452,0.0
2018-10-11,1.0,-0.6629619638521717,-1.620933369301322,-0.08394928513622876,-0.9557593741570003,-1.0714863771243595,0.0
2018-10-12,1.0,-0.6882428525538066,-1.6254952350358711,-0.07613234821715387,-0.9264910589998929,-1.0374772459578114,0.0
2018-10-15,1.0,-0.6714026279243671,-1.6529216963999573,-0.05079585514368123,-0.9251682512552079,-1.0409678453156714,0.0
2018-10-16,1.0,-0.6678617294520548,-1.6752996575342467,-0.03606592465753425,-0.9285637842465754,-1.0432363013698631,0.0
2018-10-17,1.0,-0.64486620051522,-1.6248882813732193,-0.015929761842174442,-0.9205089112034068,-1.0511539876978078,0.0
2018-10-18,1.0,-0.6429323783442173,-1.622340425531915,-0.018643353697071836,-0.928428481145987,-1.0542447861807458,0.0
2018-10-19,1.0,-0.6282996184203649,-1.614238670221107,-0.0,-0.929799801369505,-1.0543620302127437,0.0
2018-10-22,1.0,-0.6289193143812709,-1.6111517558528425,-0.0,-0.9305497491638797,-1.054818143812709,0.0
2018-10-23,1.0,-0.6307073451050047,-1.6101243339253994,-0.004910667641834708,-0.9262877442273534,-1.0520844216905234,0.0
2018-10-24,1.0,-0.6300897891000209,-1.6062330340363333,-0.0,-0.9278555021925246,-1.0561181875130508,0.0
2018-10-25,1.0,-0.5854780805986752,-1.5451281791980584,-0.0,-0.916670880315518,-1.009101481518936,0.0
2018-10-26,1.0,-0.5613280664033201,-1.5242262113105656,-0.0,-0.920046002300115,-0.9946497324866244,0.0
2018-10-29,1.0,-0.5286326063141121,-1.542426053181954,-0.0,-0.9042426053181954,-1.0042824419878498,0.0
2018-10-30,1.0,-0.5274347739494125,-1.5424218283210516,-0.0,-0.9041525592511452,-1.0050786695877316,0.0
2018-10-31,1.0,-0.5295281432386982,-1.5214165595014344,-0.0,-0.8981105945197349,-0.9970818082896429,0.0
2018-11-01,1.0,-0.5161736382043558,-1.530149637019112,-0.0,-0.8960936342535434,-0.9960985727690256,0.0
2018-11-02,1.0,-0.7232553741410831,-1.9027926621698292,-0.1357246422492593,-1.2082834268423377,-1.3339847443736998,0.0
2018-11-05,1.0,-0.7169727955563971,-1.928738244019441,-0.13438111468787478,-1.2122704033327023,-1.3195733131351386,0.0
2018-11-06,1.0,-0.7644824922760042,-1.9890576725025748,-0.11894953656024716,-1.236161174047374,-1.328012358393409,0.0
2018-11-07,1.0,-0.7605252993433758,-1.9899575125531093,-0.1266254667181666,-1.2331659585425518,-1.3271533410583236,0.0
2018-11-08,1.0,-0.7252064792880466,-2.011780523721109,-0.07958255970292592,-1.2330494910045458,-1.3528394903643,0.0
2018-11-09,1.0,-0.7241710408398412,-2.0108180770707977,-0.08078351043400332,-1.2333247983612854,-1.3521316092689797,0.0
2018-11-12,1.0,-0.721610088529393,-1.9871982676262658,-0.0778931278262531,-1.2369912744411184,-1.3453920132475639,0.0
2018-11-13,1.0,-0.694335814305538,-1.9902232874984231,-0.043017535006938314,-1.2381733316513184,-1.3418695597325598,0.0
2018-11-14,1.0,-0.6966235405490692,-1.989775954559798,-0.04304196907541811,-1.239570842537078,-1.3421268538971283,0.0
2018-11-15,1.0,-0.6982894653790318,-1.996212838477561,-0.038250331376633216,-1.248437795871994,-1.3307454396263334,0.0
2018-11-16,1.0,-0.6949077862403222,-1.9877258135582552,-0.03556366840813243,-1.2450431170139107,-1.3311512557436898,0.0
