Date,IWF,IWM,MTUM,SG,SPY,VLUE,VXX
2019-07-05,-0.0,-0.9311898105001553,-3.2435538987263124,1.0,-5.578595837216526,-4.779434607020813,0.0
2019-07-08,-0.0,-0.9421821572894001,-3.236866645943426,1.0,-5.578644700031086,-4.784581908610507,0.0
2019-07-09,-0.0,-0.9053949605812336,-3.2184263410109755,1.0,-5.559128149636729,-4.7755449064770445,0.0
2019-07-10,-0.0,-0.9079232435778397,-3.2248529866914266,1.0,-5.564685855772208,-4.777623026926649,0.0
2019-07-11,-0.0,-0.9188980034050457,-3.2207088685961924,1.0,-5.559046587215601,-4.7786720321931595,0.0
2019-07-12,-0.0,-0.9356236459300526,-3.2199009594552774,1.0,-5.552460538532962,-4.76709996904983,0.0
2019-07-15,-0.0,-0.9308527131782945,-3.255503875968992,1.0,-5.591627906976743,-4.7260465116279065,0.0
2019-07-16,-0.0,-0.9370152032268073,-3.255197021408625,1.0,-5.594166925224945,-4.727117592305305,0.0
2019-07-17,-0.0,-0.9462515489467161,-3.2414807930607186,1.0,-5.581164807930606,-4.720570012391573,0.0
2019-07-18,-0.0,-0.9420043303433344,-3.258738014228271,1.0,-5.570522734302506,-4.6942468295700595,0.0
2019-07-19,-0.0,-0.9509363875561059,-3.253056802352577,1.0,-5.589537223340041,-4.683949852963938,0.0
2019-07-22,-0.0,-0.9404853918689133,-3.224918843716185,1.0,-5.5772144071726695,-4.715721131550471,0.0
2019-07-23,-0.0,-0.9443843658272826,-3.21937277923683,1.0,-5.571759616870076,-4.713424996137803,0.0
2019-07-24,-0.0,-0.9435359456957728,-3.255476704720765,1.0,-5.553841406973156,-4.674637457574822,0.0
2019-07-25,-0.0,-0.8695518250423533,-3.298629293084861,1.0,-5.5974125981826575,-4.635607577391036,0.0
2019-07-26,-0.0,-0.8167974157821875,-3.3119520073834794,1.0,-5.613290263036457,-4.640209198584833,0.0
2019-07-29,-0.0,-0.7737327188940091,-3.3102918586789554,1.0,-5.606451612903226,-4.670506912442396,0.0
2019-07-30,-0.0,-0.7602886977886978,-3.3111179361179364,1.0,-5.606879606879607,-4.677979115479116,0.0
2019-07-31,-0.0,-0.7948402948402948,-3.303746928746929,1.0,-5.5953624078624085,-4.662162162162162,0.0
2019-08-01,-0.0,-0.8361805979255644,-3.204392922513728,1.0,-5.598230628431971,-4.614399023794998,0.0
2019-08-02,-0.0,-0.7623687014766327,-3.2877150251179783,1.0,-5.605267163951895,-4.567818541634952,0.0
2019-08-05,-0.0,-0.740370033363664,-3.253108886866849,1.0,-5.6202608431907795,-4.551562026084319,0.0
2019-08-06,-0.0,-0.6779565340107253,-2.9565340107253735,1.0,-5.179508890770533,-4.298334744566751,0.0
2019-08-07,-0.0,-0.7088820397870552,-2.8536004483048476,1.0,-5.1323900252171475,-4.314653964695993,0.0
2019-08-08,-0.0,-0.7094556677890012,-2.85297418630752,1.0,-5.141835016835017,-4.324915824915825,0.0
2019-08-09,-0.0,-0.6170360110803323,-2.7817174515235457,1.0,-5.073268698060942,-4.378393351800554,0.0
2019-08-12,-0.0,-0.5772256728778469,-2.8191856452726016,1.0,-5.088198757763975,-4.3180124223602485,0.0
2019-08-13,-0.0,-0.5484756934907993,-2.792227410052184,1.0,-5.087201318319144,-4.304586652018677,0.0
2019-08-14,-0.0,-0.5840032702002999,-2.7600490530044963,1.0,-5.020983785256847,-4.26093473225235,0.0
2019-08-15,-0.0,-0.6348696880215688,-2.6349980742072154,1.0,-4.730902554885094,-3.8378482475285653,0.0
2019-08-16,-0.0,-0.6578777303864548,-2.639782861574254,1.0,-4.74951531601396,-3.8777303864546986,0.0
2019-08-19,-0.0,-0.5575493463214559,-2.6612407075108946,1.0,-4.768905408869521,-3.8295308895155085,0.0
2019-08-20,-0.0,-0.5657223072996427,-2.6750893312914754,1.0,-4.744895354772843,-3.77590607452782,0.0
2019-08-21,-0.0,-0.5690726880629202,-2.668400355194723,1.0,-4.716351642775593,-3.7317011290117974,0.0
2019-08-22,-0.0,-0.7344433469733315,-3.0420488217863695,1.0,-5.251022999858897,-4.082686609284606,0.0
2019-08-23,-0.0,-0.9170143718127027,-3.3996291145108946,1.0,-5.642713645495287,-4.4943594498531905,0.0
2019-08-26,-0.0,-0.7586947187634178,-3.138399885501646,1.0,-5.264491197939029,-4.150708458565908,0.0
2019-08-27,-0.0,-0.7434801197092775,-3.1017528858486534,1.0,-5.241841242696309,-4.164172723386063,0.0
2019-08-28,-0.0,-0.6949466192170818,-3.139074733096085,1.0,-5.257224199288255,-4.143629893238434,0.0
2019-08-29,-0.0,-0.6678515569458268,-3.1728991895350487,1.0,-5.270723730982511,-4.10735105929191,0.0
2019-08-30,-0.0,-0.6092472511981957,-3.177051029038624,1.0,-5.261206653510008,-4.048914575697772,0.0
2019-09-03,-0.0,-0.6121212121212122,-3.17815362931642,1.0,-5.260606060606061,-4.04369274136716,0.0
2019-09-04,-0.0,-0.5508653440270156,-3.179963416350078,1.0,-5.2715632475024625,-4.068383284086113,0.0
2019-09-05,-0.0,-0.6128302953228769,-3.1940087607743393,1.0,-5.319061749328812,-4.0045216899816305,0.0
2019-09-06,-0.0,-0.5572339246119734,-3.1811252771618626,1.0,-5.253880266075388,-3.8658536585365852,0.0
2019-09-09,-0.0,-0.5837747421243379,-3.206718706439922,1.0,-5.283523836074714,-3.8653470867019792,0.0
2019-09-10,-0.0,-0.5832752613240418,-3.220766550522648,1.0,-5.28,-3.853240418118467,0.0
