Date,IWF,IWM,MTUM,SPY,TS,VLUE,VXX
2018-09-24,-0.38854903842309385,-0.9460237495501979,-0.076446363600016,-0.802766782615649,1.0,-0.784454839870457,0.0
2018-09-25,-0.39360595390524966,-0.9439820742637643,-0.08310659411011524,-0.8006562099871959,1.0,-0.7799295774647887,0.0
2018-09-26,-0.4123139653414883,-0.9762691131498471,-0.09741080530071357,-0.8163506625891948,1.0,-0.7751274209989806,0.0
2018-09-27,-0.4132507538097954,-0.9724961290848342,-0.09844348463857877,-0.8158666775323934,1.0,-0.7745904979219297,0.0
2018-09-28,-0.4092654628646131,-0.9810033499468911,-0.09959964049350437,-0.8182041016422911,1.0,-0.7772285317427895,0.0
2018-10-01,-0.4104523352265762,-0.9798962121521677,-0.09961998937604706,-0.8188616025824378,1.0,-0.7772647407346872,0.0
2018-10-02,-0.41833340178241407,-0.9489096061439894,-0.11261242761509713,-0.834120497761715,1.0,-0.7929278409790956,0.0
2018-10-03,-0.4178467348027747,-0.9416328038418914,-0.11180889053072281,-0.8362270656323112,1.0,-0.7970282805894183,0.0
2018-10-04,-0.41939453605710064,-0.9378538026089097,-0.11256050537369759,-0.8376815161210928,1.0,-0.7946098941668718,0.0
2018-10-05,-0.40563955864323664,-0.9310993052717613,-0.0984879444217409,-0.8465876583571721,1.0,-0.804863097670617,0.0
2018-10-08,-0.4034100179474629,-0.9275575134605971,-0.09479523576439877,-0.8491597324196444,1.0,-0.804005547397618,0.0
2018-10-09,-0.40137109279360156,-0.9287113359993471,-0.08903941891781604,-0.8527707500204031,1.0,-0.8087815228923528,0.0
2018-10-10,-0.4077363896848138,-0.929185427752763,-0.09394187474416701,-0.8588211215718379,1.0,-0.8036430618092509,0.0
2018-10-11,-0.35140090072137414,-0.9296560519708261,-0.01861225140488621,-0.8546490773584152,1.0,-0.8311745247299829,0.0
2018-10-12,-0.35063550959185286,-0.923541485750375,-0.011210231309702376,-0.8441619957369543,1.0,-0.817754795926423,0.0
2018-10-15,-0.3236488351007214,-0.9551779871486576,-0.0,-0.8418811842157133,1.0,-0.8214215319115385,0.0
2018-10-16,-0.3174233758037158,-0.9666285353634965,-0.0,-0.8405191116721233,1.0,-0.820046546487318,0.0
2018-10-17,-0.29067599067599065,-0.9205128205128205,-0.0,-0.8385392385392385,1.0,-0.8352369852369851,0.0
2018-10-18,-0.29067101837821036,-0.9211252282705833,-0.0,-0.8383261452383728,1.0,-0.8353343435520846,0.0
2018-10-19,-0.27458700015439247,-0.9111857341361742,-0.0,-0.8395476300756524,1.0,-0.834491276825691,0.0
2018-10-22,-0.2747019560939851,-0.9034299162776342,-0.0,-0.8427022647478685,1.0,-0.8373779852617772,0.0
2018-10-23,-0.27381136153133684,-0.9037125656066686,-0.0,-0.8437017598024081,1.0,-0.8380287125656066,0.0
2018-10-24,-0.2743025876136452,-0.9190302276789183,-0.0,-0.8502991685445644,1.0,-0.8416737897272515,0.0
