Date,FIZZ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7197850920661416,-1.5409211830368787,-0.0,-1.0802253403578321,-0.8752803713942935,0.0
2018-09-25,1.0,-0.7207277656135962,-1.5394640809091857,-0.0,-1.0791888228547597,-0.8738400583880721,0.0
2018-09-26,1.0,-0.7197828016498721,-1.540333107085052,-0.0,-1.081449381297969,-0.879496684592492,0.0
2018-09-27,1.0,-0.7271730618637431,-1.528425998433829,-0.0,-1.0838945445053512,-0.8810754372226572,0.0
2018-09-28,1.0,-0.735787707153346,-1.5315187749108456,-0.0,-1.090203482273967,-0.8868785399622405,0.0
2018-10-01,1.0,-0.7367978119082684,-1.5387123921733643,-0.0,-1.0931516936671575,-0.8911739953713443,0.0
2018-10-02,1.0,-0.7371229330656663,-1.5618891647736277,-0.0,-1.092926197897406,-0.8909081303819536,0.0
2018-10-03,1.0,-0.739284580378876,-1.568049529050693,-0.0,-1.0936607048364906,-0.8905704307334109,0.0
2018-10-04,1.0,-0.7498806429367143,-1.559917245769455,-0.0,-1.1080048803776987,-0.8869025515887751,0.0
2018-10-05,1.0,-0.7191397167617839,-1.5468188543648278,-0.0,-1.118685267385331,-0.8996512365250476,0.0
2018-10-08,1.0,-0.7154827150084316,-1.5414207419898818,-0.0,-1.1168844856661044,-0.8960265598650926,0.0
2018-10-09,1.0,-0.7166201043698276,-1.5424595435137842,-0.0,-1.1169152917611092,-0.8952611881292499,0.0
2018-10-10,1.0,-0.7216577540106951,-1.5697860962566843,-0.0,-1.133850267379679,-0.9222459893048128,0.0
2018-10-11,1.0,-0.5797432832718392,-1.5710648027854284,-0.0,-1.0983214675466404,-0.9475653484383932,0.0
2018-10-12,1.0,-0.581151832460733,-1.5487724292177096,-0.0,-1.0557108727697861,-0.8975245260001017,0.0
2018-10-15,1.0,-0.5515531721137307,-1.5692603460487706,-0.0,-1.0459374683800466,-0.8924415663260143,0.0
2018-10-16,1.0,-0.5565296711093093,-1.565955506005169,-0.0,-1.0493589418740181,-0.8958090508285613,0.0
2018-10-17,1.0,-0.5152920284135754,-1.4883583267561167,-0.0,-1.0304853985793212,-0.8988259668508287,0.0
2018-10-18,1.0,-0.5164878823996821,-1.492699642431466,-0.0,-1.0476758045292014,-0.9093166468017482,0.0
2018-10-19,1.0,-0.48872549019607847,-1.4700980392156864,-0.0,-1.043529411764706,-0.8995588235294119,0.0
2018-10-22,1.0,-0.49031150355653663,-1.4725042923718419,-0.0,-1.0431199411331862,-0.8996320824135393,0.0
2018-10-23,1.0,-0.49406571848945563,-1.472486512996567,-0.0,-1.0399705738106915,-0.8978420794507112,0.0
2018-10-24,1.0,-0.4912014116955051,-1.4668888779961768,-0.0,-1.042056761923435,-0.901573452281751,0.0
2018-10-25,1.0,-0.4250286150324304,-1.4003243037008775,-0.0,-1.084652804273178,-0.8591663487218619,0.0
2018-10-26,1.0,-0.3904842740604517,-1.3790257933701136,-0.0,-1.0998726835478851,-0.8460885556655822,0.0
2018-10-29,1.0,-0.3551485055748149,-1.3938442799587745,-0.0,-1.0837159186732876,-0.8520565913988568,0.0
2018-10-30,1.0,-0.3287851698503811,-1.401994918603557,-0.0,-1.0922179354474453,-0.8819516326338571,0.0
2018-10-31,1.0,-0.3601043780806031,-1.400164298830579,-0.0,-1.149173673528559,-0.922972842369769,0.0
2018-11-01,1.0,-0.313029842701034,-1.4682706914294115,-0.0,-1.1719017984025089,-0.9471259861812124,0.0
2018-11-02,1.0,-0.31811359124582383,-1.4204716021885442,-0.0,-1.1718878613276522,-0.931438531932407,0.0
2018-11-05,1.0,-0.3124334269390917,-1.4371066137309962,-0.0,-1.1733320422194249,-0.9187566573060909,0.0
2018-11-06,1.0,-0.30816535702084047,-1.4408707111132804,-0.0,-1.1914685929035094,-0.940114207623603,0.0
2018-11-07,1.0,-0.3079211784216174,-1.4400058530875035,-0.0,-1.190274119598088,-0.9393229928787435,0.0
