Date,BRBR,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-06-17,1.0,-0.48840127139909667,-0.1111637762783695,-0.5159482518262422,-0.6726426141749847,-0.0,0.0
2020-06-18,1.0,-0.48694342149313696,-0.11625376632072314,-0.5135029572592344,-0.673167057248075,-0.0,0.0
2020-06-19,1.0,-0.48779737776411064,-0.11668670151798945,-0.5159486735064718,-0.6751278968997233,-0.0,0.0
2020-06-22,1.0,-0.4896229581561871,-0.11705638845379279,-0.511663683150593,-0.6786753188632804,-0.0,0.0
2020-06-23,1.0,-0.4892885110191297,-0.11704329343326994,-0.511606443673789,-0.6788231345788119,-0.0,0.0
2020-06-24,1.0,-0.4880429614298101,-0.11724890219002601,-0.5132436438900232,-0.6784325790842726,-0.0,0.0
2020-06-25,1.0,-0.48646534625806626,-0.11369667849261111,-0.5138698773640249,-0.6794982819789368,-0.0,0.0
2020-06-26,1.0,-0.4866398345351892,-0.11437196042260607,-0.5144222706691263,-0.6795796299401867,-0.0,0.0
2020-06-29,1.0,-0.4843850297228656,-0.11191426418464456,-0.5147218888671821,-0.6798303145321091,-0.0,0.0
2020-06-30,1.0,-0.48249168599614345,-0.11865969873962497,-0.5122544224911271,-0.681217337841992,-0.0,0.0
2020-07-01,1.0,-0.48784390791690063,-0.11774284110050533,-0.5208309938236945,-0.6809657495788882,-0.0,0.0
2020-07-02,1.0,-0.4778365303482027,-0.13731225741126174,-0.5153287956348089,-0.6821454688642627,-0.0,0.0
2020-07-06,1.0,-0.47758926310458344,-0.1373906192847697,-0.5162488393686165,-0.6823949804451197,-0.0,0.0
2020-07-07,1.0,-0.47344461305007585,-0.14179733603102343,-0.5131793401899624,-0.6816725678637666,-0.0,0.0
2020-07-08,1.0,-0.4736131807574437,-0.14263221525571457,-0.5119633368009672,-0.6833862850395029,-0.0,0.0
2020-07-09,1.0,-0.47023106763366507,-0.14364423455332545,-0.5113284983414854,-0.6858379715522572,-0.0,0.0
2020-07-10,1.0,-0.46784941097084376,-0.14758062248713696,-0.5085894227795429,-0.6875755616161048,-0.0,0.0
2020-07-13,1.0,-0.4653203577656522,-0.14839399223716038,-0.508409742926253,-0.6880238510434831,-0.002475108285987512,0.0
2020-07-14,1.0,-0.4487752748952445,-0.14173626929891167,-0.49700497764279084,-0.7040974155628673,-0.02061362805478219,0.0
