Date,FRME,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.10302002407265565,-0.7489331436699859,-0.09035452456505087,-0.3706915417441733,-0.4225024619761462,0.0
2018-09-25,1.0,-0.10207349733565256,-0.7609265854938017,-0.08202876943040945,-0.38118114801623454,-0.434771804853806,0.0
2018-09-26,1.0,-0.10155343026148489,-0.7609873403726022,-0.0794681850848582,-0.3828017026922439,-0.43932776825695175,0.0
2018-09-27,1.0,-0.10067914067914067,-0.7681219681219681,-0.07792099792099792,-0.38439362439362434,-0.4409147609147609,0.0
2018-09-28,1.0,-0.0994704887582823,-0.7691774555737295,-0.07834548529289458,-0.38435308142274965,-0.440963655013723,0.0
2018-10-01,1.0,-0.10017189752689365,-0.7684096706221581,-0.0782965509592991,-0.38471775535100367,-0.4409171564822003,0.0
2018-10-02,1.0,-0.10033602710433503,-0.778472048654503,-0.0755089005526396,-0.38351523230303536,-0.4392790691216084,0.0
2018-10-03,1.0,-0.1001832111925383,-0.7739562513879635,-0.07497779258272262,-0.38496557850322005,-0.44189984454807907,0.0
2018-10-04,1.0,-0.09884338157233057,-0.7863887802424988,-0.07439794378946193,-0.38352796558082364,-0.45057830921383474,0.0
2018-10-05,1.0,-0.08440653398004126,-0.7828510899258515,-0.06221776216758655,-0.3939622010369627,-0.4641244355243352,0.0
2018-10-08,1.0,-0.08324748726229919,-0.781746805134059,-0.06083470223014172,-0.39465991034885983,-0.4636801514603113,0.0
2018-10-09,1.0,-0.08106451163438763,-0.7832520551762574,-0.05464678835167897,-0.3986623937578375,-0.46902605545492543,0.0
2018-10-10,1.0,-0.08193569955981501,-0.7823034490444085,-0.05591463754387921,-0.3992032094500474,-0.4665960884827548,0.0
2018-10-11,1.0,-0.045735610579935165,-0.788019939527662,-0.017651385143417502,-0.3921440440195037,-0.4804009697365912,0.0
2018-10-12,1.0,-0.04411764705882353,-0.7877495952509443,-0.015326497571505667,-0.3813005936319482,-0.46983270372369135,0.0
2018-10-15,1.0,-0.010764379689029031,-0.8412797651408068,-0.0,-0.3846906599978254,-0.4815428944220942,0.0
2018-10-16,1.0,-0.004791332044755397,-0.8531293387417309,-0.0,-0.38387825660849917,-0.48057604878447174,0.0
2018-10-17,1.0,-0.0,-0.8218607152460338,-0.0,-0.37846195213767136,-0.48857219682710407,0.0
2018-10-18,1.0,-0.0,-0.8202990533562823,-0.0,-0.3802172977624785,-0.48881239242685026,0.0
2018-10-19,1.0,-0.0,-0.8158465120012844,-0.0,-0.37472906799389905,-0.4852960851997538,0.0
2018-10-22,1.0,-0.0,-0.8279734558448189,-0.0,-0.37417049515058703,-0.48451143171865346,0.0
2018-10-23,1.0,-0.0,-0.8288984648532184,-0.0,-0.37756531106921626,-0.4867761917586857,0.0
2018-10-24,1.0,-0.0,-0.8304783451842276,-0.0,-0.3766160310277958,-0.48626373626373626,0.0
2018-10-25,1.0,-0.0,-0.7954264686555395,-0.0,-0.3741884610329872,-0.458851360231305,0.0
2018-10-26,1.0,-0.0,-0.7955173230210717,-0.0,-0.3752926630363297,-0.459842685397101,0.0
2018-10-29,1.0,-0.0,-0.7985483321541808,-0.0,-0.36294316484553096,-0.45884757487618894,0.0
2018-10-30,1.0,-0.0,-0.7974893415442919,-0.0,-0.3592557503026475,-0.47499868414127067,0.0
2018-10-31,1.0,-0.0,-0.7804846069124666,-0.0,-0.3656579430429538,-0.47616300414328416,0.0
2018-11-01,1.0,-0.0,-0.7928147798246995,-0.0,-0.3587361570356374,-0.4726814674854354,0.0
2018-11-02,1.0,-0.0,-0.7673342396988078,-0.0,-0.3747385484208325,-0.4724430035557415,0.0
2018-11-05,1.0,-0.0,-0.7707266074228959,-0.0,-0.37428123366440147,-0.468687924725562,0.0
2018-11-06,1.0,-0.0,-0.7761424239255463,-0.0,-0.3732876712328767,-0.46483843982014006,0.0
2018-11-07,1.0,-0.0,-0.7763828952530404,-0.0,-0.3738721067085131,-0.4651497319210148,0.0
