Date,IWF,IWM,MTUM,OXM,SPY,VLUE,VXX
2018-09-24,-0.3256799493991145,-0.8326691967109425,-0.10566097406704619,1.0,-0.4401644528779254,-0.4584123972169513,0.0
2018-09-25,-0.3244194899124476,-0.8377109503870066,-0.10138307321405914,1.0,-0.4446770714376348,-0.46402740768937945,0.0
2018-09-26,-0.3246312450436162,-0.8380015860428233,-0.10195083267248217,1.0,-0.44444091990483753,-0.4630293417922284,0.0
2018-09-27,-0.3312682678866438,-0.8278053119837337,-0.1054771889693735,1.0,-0.4473884864658788,-0.46505273859448476,0.0
2018-09-28,-0.3318187595322826,-0.8272750381291306,-0.10571301474326386,1.0,-0.447508896797153,-0.46514361972547025,0.0
2018-10-01,-0.3314792448032547,-0.828046532324709,-0.10606445871209712,1.0,-0.4473968597037696,-0.465450384590935,0.0
2018-10-02,-0.3316487079240965,-0.8272146467054448,-0.10660818155811957,1.0,-0.44750643654047867,-0.4655605352658847,0.0
2018-10-03,-0.33857786357786357,-0.8580437580437579,-0.1093951093951094,1.0,-0.45003217503217496,-0.46145431145431137,0.0
2018-10-04,-0.3414814576565565,-0.8527548165063844,-0.10996751471486924,1.0,-0.45382908237110414,-0.4583319931813064,0.0
2018-10-05,-0.33148516120761484,-0.8493686302160117,-0.09980129478879558,1.0,-0.4589769886545734,-0.4652906864944555,0.0
2018-10-08,-0.3309099061589213,-0.8489254716074689,-0.09890145085353745,1.0,-0.4591807321525798,-0.464881657752298,0.0
2018-10-09,-0.3304509351780681,-0.8492505764796311,-0.09771329746348961,1.0,-0.45964642582628745,-0.4656033820138355,0.0
2018-10-10,-0.329816572601334,-0.8520074397126731,-0.09578630066700872,1.0,-0.46026808619805026,-0.46889430477167776,0.0
2018-10-11,-0.30665280665280664,-0.8540288540288541,-0.06611856611856612,1.0,-0.45076545076545077,-0.4724059724059724,0.0
2018-10-12,-0.3194396780332574,-0.8539918260381243,-0.06395657192774468,1.0,-0.4318160546594703,-0.4506598446323277,0.0
2018-10-15,-0.3100376841384036,-0.8698184309695101,-0.05057771964246785,1.0,-0.43140552493070483,-0.4525833878351864,0.0
2018-10-16,-0.3080063577149625,-0.879702060024309,-0.043475550846137065,1.0,-0.43238694798516536,-0.45295602580484307,0.0
2018-10-17,-0.30032707973339917,-0.8621636632930141,-0.03758331276228092,1.0,-0.4296778573191805,-0.4558750925697359,0.0
2018-10-18,-0.2994137611848195,-0.8608145634063561,-0.03829065103363159,1.0,-0.43097809318111696,-0.455939524838013,0.0
2018-10-19,-0.28834280448471816,-0.8552603286745508,-0.025495315619720474,1.0,-0.4406389187528797,-0.4619874059284288,0.0
2018-10-22,-0.2872222564165692,-0.861574444512833,-0.03182125930941097,1.0,-0.4374038283990891,-0.4594694405120945,0.0
