Date,EB,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-05-20,1.0,-0.04706509191013231,-1.2839889885445341,-1.0745937305745494,-2.878518781635734,-2.5960394281147323,0.0
2019-05-21,1.0,-0.025479403409090908,-1.285245028409091,-1.0910866477272727,-2.877752130681818,-2.598188920454545,0.0
2019-05-22,1.0,-0.019863438857852266,-1.258668085483728,-1.1175844639531791,-2.885341846235701,-2.5861487984393015,0.0
2019-05-23,1.0,-0.011109136153572698,-1.2621756132243158,-1.1113579808034126,-2.898418059011731,-2.6042481336651266,0.0
2019-05-24,1.0,-0.0,-1.2022660883420377,-1.1416305213773568,-2.896963795697973,-2.611047180667434,0.0
2019-05-28,1.0,-0.0,-1.192266855423819,-1.1453725004423998,-2.8980711378517077,-2.612192532295169,0.0
2019-05-29,1.0,-0.008754863813229572,-1.2060488149982314,-1.1491864166961445,-2.8985673859214716,-2.5807392996108947,0.0
2019-05-30,1.0,-0.005475580676499161,-1.1995937472401308,-1.1477523624481145,-2.895345756424976,-2.5835026053166126,0.0
2019-05-31,1.0,-0.0033565939404646234,-1.2053705503047434,-1.1412419397579718,-2.8942672908753644,-2.5889055737125695,0.0
2019-06-03,1.0,-0.0,-1.2044616195327595,-1.1818022132443353,-2.88055506762691,-2.5158967152643594,0.0
2019-06-04,1.0,-0.0,-1.2054096777026433,-1.182752261350663,-2.8786335294634235,-2.5151488539562656,0.0
2019-06-05,1.0,-0.0,-1.165843942149476,-1.2256863254524983,-2.884991772754828,-2.383736035333853,0.0
2019-06-06,1.0,-0.0,-1.1866608921611088,-1.1862278042442616,-2.874317886530966,-2.4145517540060633,0.0
2019-06-07,1.0,-0.0,-1.192540671512634,-1.182416060920734,-2.86846659743856,-2.4100899965385945,0.0
2019-06-10,1.0,-0.0,-1.1925631955827798,-1.173324130791131,-2.855405055646622,-2.40600465878699,0.0
2019-06-11,1.0,-0.0,-1.1900605012964565,-1.1897147796024201,-2.866205704407952,-2.3971477960242003,0.0
