Date,BLKB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4974760222110046,-0.8508689694959256,-0.31059349534866953,-0.5283046080623063,-0.4184394605898897,0.0
2018-09-25,1.0,-0.5011902185674096,-0.8487340402510279,-0.315840727115343,-0.5263290774002741,-0.4146288682103441,0.0
2018-09-26,1.0,-0.5023631706173106,-0.850236317061731,-0.31818017822996714,-0.5259227189089728,-0.4111916874120575,0.0
2018-09-27,1.0,-0.5013986268027755,-0.8683111127256875,-0.31467286664002614,-0.5315508409924801,-0.41686344316489266,0.0
2018-09-28,1.0,-0.5016893732970027,-0.8679019073569482,-0.3148410535876476,-0.5316257947320617,-0.417039055404178,0.0
2018-10-01,1.0,-0.5010002546102644,-0.8707671043538355,-0.31531662605026733,-0.5319172152911651,-0.41832466446004435,0.0
2018-10-02,1.0,-0.5007287036362311,-0.8836624644756977,-0.3117029803978722,-0.5306055527217082,-0.41681847992421484,0.0
2018-10-03,1.0,-0.501605253557096,-0.8892739875957679,-0.3125136811382707,-0.5299525720539948,-0.4149215614739146,0.0
2018-10-04,1.0,-0.5031540565177758,-0.8854694621695534,-0.312926162260711,-0.5319234275296263,-0.41283500455788513,0.0
2018-10-05,1.0,-0.5044144472820138,-0.8908427581174754,-0.311127325793506,-0.5316672747172565,-0.41025173294418094,0.0
2018-10-08,1.0,-0.5033520367266633,-0.8890913065656197,-0.3095168694891788,-0.5323544414486628,-0.40920352692559936,0.0
2018-10-09,1.0,-0.5151748971193415,-0.8980746619635508,-0.3257642563198119,-0.5318930041152263,-0.40340241034685476,0.0
2018-10-10,1.0,-0.5844067508396038,-1.0965438081877312,-0.29124686477065004,-0.6861794839093653,-0.5927815329677337,0.0
2018-10-11,1.0,-0.5435791217895609,-1.0933719966859983,-0.24005799502899752,-0.6688069594034798,-0.5966859983429992,0.0
2018-10-12,1.0,-0.5603116031160311,-1.0914719147191472,-0.23792537925379253,-0.6441164411644116,-0.5662156621566216,0.0
