Date,COST,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24896183993906182,-0.3688969702926506,-0.05563063616482788,-0.3930510848465489,-0.3906430449418876,0.0
2018-09-25,1.0,-0.24858034858280686,-0.36962560534919736,-0.054819440005899854,-0.3936920769930431,-0.3915533813515573,0.0
2018-09-26,1.0,-0.24842659061854655,-0.36950535942570556,-0.05435637722489921,-0.3938686203166486,-0.3922460418920248,0.0
2018-09-27,1.0,-0.25067570888004326,-0.3641456582633053,-0.055948695267580714,-0.39409799007322227,-0.3922305764411027,0.0
2018-09-28,1.0,-0.24974813868344103,-0.36496547657075457,-0.05629407573039782,-0.3939848146054992,-0.3921910705948842,0.0
2018-10-01,1.0,-0.24958836106264284,-0.36533877270158016,-0.056498980118453716,-0.39387088053869407,-0.39224890024821213,0.0
2018-10-02,1.0,-0.24965588437715072,-0.3658440664634746,-0.056656179333398886,-0.3936928522269197,-0.3921197522367516,0.0
2018-10-03,1.0,-0.2494837250467106,-0.358319402104435,-0.05538892713147802,-0.397310453338578,-0.3979496508997935,0.0
2018-10-04,1.0,-0.2563615741197357,-0.35215504487622057,-0.05579938849985206,-0.4071407436630831,-0.39424499457540196,0.0
2018-10-05,1.0,-0.2513392637735292,-0.3478891237037401,-0.05013024033026982,-0.4101341721138251,-0.39787192215068556,0.0
2018-10-08,1.0,-0.2697838960239945,-0.38850008972288447,-0.05514112127970469,-0.4277218077879464,-0.4223384347201928,0.0
2018-10-09,1.0,-0.2668441320135425,-0.3968418060114232,-0.03912852453932236,-0.44206962499676944,-0.4395368671335901,0.0
2018-10-10,1.0,-0.2675295819769545,-0.39588177543533304,-0.03991629204774454,-0.44243786493050175,-0.4377874231385315,0.0
2018-10-11,1.0,-0.24080157687253612,-0.3925250176892752,-0.001895279490548873,-0.43927524512281413,-0.4525169311634489,0.0
2018-10-12,1.0,-0.25154525662520955,-0.3879282300242736,-0.0,-0.4260153649808563,-0.4369510272515702,0.0
2018-10-15,1.0,-0.2560290799699173,-0.382476811230885,-0.0035597894209074958,-0.4276259714214089,-0.4372273752820256,0.0
2018-10-16,1.0,-0.25763392297076904,-0.3781708694015807,-0.00732655877556141,-0.42807677832141516,-0.4379124325680592,0.0
2018-10-17,1.0,-0.24980154792617584,-0.35877654296487405,-0.0,-0.4278378646556857,-0.4442597737646359,0.0
2018-10-18,1.0,-0.24900156277131447,-0.35747773671024236,-0.0005705355592488776,-0.42914196413067746,-0.44439758886711483,0.0
2018-10-19,1.0,-0.2383546113274511,-0.34731601518213634,-0.0,-0.4326908857889289,-0.44629565731749393,0.0
2018-10-22,1.0,-0.23813983291026933,-0.3415235231781551,-0.0,-0.43576410281686667,-0.4490228454543214,0.0
2018-10-23,1.0,-0.23834988540870894,-0.3414820473644003,-0.0,-0.43557012247714333,-0.4489267847901624,0.0
2018-10-24,1.0,-0.23740245673633165,-0.33874898456539404,-0.0,-0.43571375821578906,-0.4497944514191468,0.0
