Date,BDTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-09-30,1.0,-0.8888753651411879,-0.5778156442713405,-0.5736773774748458,-1.01671535215839,-0.0,0.0
2020-10-01,1.0,-0.8890872210953347,-0.5797971602434077,-0.5722515212981744,-1.015659229208925,-0.0,0.0
2020-10-02,1.0,-0.8877488949268015,-0.5773551238898577,-0.5712315990105034,-1.018978871811509,-0.0,0.0
2020-10-05,1.0,-0.877653540755145,-0.5907065305461027,-0.5598768432993031,-1.0230108572354562,-0.0,0.0
2020-10-06,1.0,-0.8777593260156346,-0.5900603507634979,-0.559196403256511,-1.0233302280367775,-0.0,0.0
2020-10-07,1.0,-0.8716599190283401,-0.601497975708502,-0.5567611336032389,-1.018663967611336,-0.0,0.0
2020-10-08,1.0,-0.8708555717289341,-0.5987789099142811,-0.5556768558951964,-1.0180737506065016,-0.0,0.0
2020-10-09,1.0,-0.8745702382396958,-0.5964486510536747,-0.5585082716498807,-1.0152894066254095,-0.0,0.0
2020-10-12,1.0,-0.8719928840011321,-0.5978247685278777,-0.5581611612016335,-1.015202361217806,-0.0,0.0
2020-10-13,1.0,-0.8590734371838964,-0.6117742261784341,-0.5599838154966619,-1.015334816912806,-0.0,0.0
2020-10-14,1.0,-0.8612089558281713,-0.6107129843313495,-0.56508360662375,-1.0117413660472085,-0.0,0.0
2020-10-15,1.0,-0.8605084196891191,-0.6104679404145077,-0.565252590673575,-1.0116985103626943,-0.0,0.0
2020-10-16,1.0,-0.8600283343452743,-0.6112527828374823,-0.5649868447682656,-1.0114551710180126,-0.0,0.0
2020-10-19,1.0,-0.8574380165289256,-0.6114081996434938,-0.5663992869875222,-1.0159617566034678,-0.0,0.0
2020-10-20,1.0,-0.8566166052706149,-0.6115046755454803,-0.5645872970894223,-1.0153827470347732,-0.0,0.0
2020-10-21,1.0,-0.8644691640765583,-0.613733027973172,-0.5879682643546541,-1.023474562407983,-0.0,0.0
2020-10-22,1.0,-0.86508261082938,-0.612383445116964,-0.5870685424505153,-1.025110420415508,-0.0,0.0
2020-10-23,1.0,-0.8617739756866276,-0.6186811837419672,-0.5853628586631738,-1.0273013793950307,-0.0,0.0
2020-10-26,1.0,-0.8638934426229509,-0.6202868852459017,-0.5854918032786884,-1.028688524590164,-0.0,0.0
2020-10-27,1.0,-0.8617496414669126,-0.6146691251792666,-0.5949190739602541,-1.026183159188691,-0.0,0.0
2020-10-28,1.0,-0.8656447249774571,-0.6124682351012378,-0.5957455529141733,-1.024838101483728,-0.0,0.0
2020-10-29,1.0,-0.8553248766162255,-0.6122690378104988,-0.5888567116694539,-1.0223518375005098,-0.0,0.0
2020-10-30,1.0,-0.8528848114169215,-0.6113761467889908,-0.5918042813455657,-1.0213659531090724,-0.0,0.0
2020-11-02,1.0,-0.8342575226290466,-0.6132267797439452,-0.5910462366468238,-1.0387344043056348,-0.0,0.0
2020-11-03,1.0,-0.8388161917573682,-0.6091476091476091,-0.5916595328360034,-1.0368920957156251,-0.0,0.0
2020-11-04,1.0,-0.8392915309446254,-0.6042345276872964,-0.5904315960912052,-1.037744299674267,-0.0,0.0
2020-11-05,1.0,-0.789079969101923,-0.6419888604301337,-0.5498231491645322,-1.0505346180428508,-0.03415050615928772,0.0
2020-11-06,1.0,-0.7867787387826369,-0.6395825719738499,-0.5505745726235433,-1.0505542697039836,-0.03313436472164698,0.0
