Date,BCPC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24435769854578443,-0.7228468537812355,-0.010088792368804465,-0.3985485334139704,-0.3731203782609891,0.0
2018-09-25,1.0,-0.2436151475121092,-0.7246532364597094,-0.008283795684720388,-0.40020915896081016,-0.37533025099075296,0.0
2018-09-26,1.0,-0.24441202378330762,-0.725721206782647,-0.009964765470160758,-0.3998568597225281,-0.37277031490861046,0.0
2018-09-27,1.0,-0.24358549908955468,-0.7314738178005848,-0.008773381890415495,-0.40106494509739005,-0.3740274788942228,0.0
2018-09-28,1.0,-0.24098315382491028,-0.7347970173985087,-0.009417288041977355,-0.4016570008285005,-0.37481358740679377,0.0
2018-10-01,1.0,-0.24406310545253249,-0.7342097979518406,-0.008801549958483255,-0.4045945197896485,-0.3761417104898976,0.0
2018-10-02,1.0,-0.24394434898287237,-0.7425309018347098,-0.006651515991353029,-0.40349758882545317,-0.37484064076270723,0.0
2018-10-03,1.0,-0.2457867512097447,-0.7527949274153178,-0.008009344234940765,-0.4027476500361533,-0.37168363090271983,0.0
2018-10-04,1.0,-0.24883216549883216,-0.7476921365810254,-0.008564119675230785,-0.40674007340674,-0.3687298409520632,0.0
2018-10-05,1.0,-0.24510347888808742,-0.7489041779947845,-0.003162625534039838,-0.4077290129279254,-0.36936137158075794,0.0
2018-10-08,1.0,-0.24511653718091012,-0.7495837957824639,-0.002885682574916759,-0.40771365149833516,-0.36939511653718093,0.0
2018-10-09,1.0,-0.24637761616610226,-0.7500416365957919,-0.005440515183478599,-0.40653972131238547,-0.36740132126797315,0.0
2018-10-10,1.0,-0.2458469914995277,-0.7517639868881605,-0.004083560197788765,-0.40682815711983994,-0.3694094116339796,0.0
2018-10-11,1.0,-0.22009399420733372,-0.750969998360566,-0.0,-0.3949122902890868,-0.36641346521667845,0.0
2018-10-12,1.0,-0.21982011270047683,-0.7500812743823148,-0.0,-0.38472583441699176,-0.35449176419592543,0.0
2018-10-15,1.0,-0.1815951589162078,-0.7987515673553944,-0.0,-0.38336150029984184,-0.3621272419996729,0.0
