Date,IWF,IWM,MTUM,SPLK,SPY,VLUE,VXX
2018-09-24,-0.7746130896886072,-1.2522375536080552,-0.520324445273168,1.0,-0.6873951146746224,-0.42699981353719935,0.0
2018-09-25,-0.7753390185935971,-1.250943660002796,-0.5219255324106435,1.0,-0.6863320751199963,-0.4255091103965702,0.0
2018-09-26,-0.7765451664025356,-1.252400484758087,-0.5243311270625525,1.0,-0.6858860818495386,-0.4220192038780647,0.0
2018-09-27,-0.7794905229823499,-1.2434685418898153,-0.5267079588320216,1.0,-0.6857448889302845,-0.4215992176221301,0.0
2018-09-28,-0.7794336810730254,-1.243107302533532,-0.5269187779433682,1.0,-0.6858233979135618,-0.42194485842026824,0.0
2018-10-01,-0.7787523911724911,-1.2479354266784863,-0.5275043157747399,1.0,-0.6869780245415948,-0.42457892035645967,0.0
2018-10-02,-0.7791051768564067,-1.2751464043101428,-0.5203560552822675,1.0,-0.6864839540876083,-0.4238931834153198,0.0
2018-10-03,-0.7840003771272334,-1.297553387073964,-0.5228397680667515,1.0,-0.6882100598689482,-0.4215339650214491,0.0
2018-10-04,-0.7833962264150944,-1.2993867924528302,-0.5229245283018868,1.0,-0.6877358490566039,-0.4235849056603774,0.0
2018-10-05,-0.7746194324375116,-1.2965138131930087,-0.5140011276075925,1.0,-0.6897199774478482,-0.4235106183048299,0.0
2018-10-08,-0.7724118529632408,-1.292620030007502,-0.5103619654913729,1.0,-0.6917666916729183,-0.4215116279069767,0.0
2018-10-09,-0.7890421346983268,-1.3071235603583107,-0.5309256362860798,1.0,-0.6946774728660126,-0.41774491682070236,0.0
2018-10-10,-0.7891469194312796,-1.3075355450236967,-0.5307582938388626,1.0,-0.6946445497630332,-0.4172511848341232,0.0
2018-10-11,-0.7394865188184412,-1.3061562528756787,-0.4692647464801693,1.0,-0.6701941658231343,-0.4159381614060918,0.0
2018-10-12,-0.764128996943849,-1.3084888017150937,-0.46982620991652596,1.0,-0.641791725585002,-0.37718377959220906,0.0
2018-10-15,-0.7663594049466095,-1.3104864470201698,-0.4700191658300629,1.0,-0.6418727753947249,-0.3745550789449667,0.0
2018-10-16,-0.7698601334674101,-1.3032269860133467,-0.4769631593381479,1.0,-0.6437974220678307,-0.37695401773471066,0.0
2018-10-17,-0.752990376832449,-1.2630632251101719,-0.4643852864466229,1.0,-0.6362532601852685,-0.3801151182660311,0.0
2018-10-18,-0.7521244548356639,-1.2616339193381594,-0.46513196349085023,1.0,-0.6373814127062633,-0.37992896002877574,0.0
