Date,IWF,IWM,LCII,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6177933414535121,-1.4861956963053187,1.0,-0.0,-0.985231425091352,-0.9858404384896469,0.0
2018-09-25,-0.6159837108679053,-1.492135403410537,1.0,-0.0,-0.990073810129804,-0.9922117587172309,0.0
2018-09-26,-0.6155882502672708,-1.4919818764954438,1.0,-0.0,-0.9902764343532048,-0.9930764139897165,0.0
2018-09-27,-0.6168870803662259,-1.4874872838250253,1.0,-0.0,-0.9897253306205493,-0.9924211597151578,0.0
2018-09-28,-0.6135378969366431,-1.4957439217085478,1.0,-0.0,-0.9924562923696416,-0.9953616392272797,0.0
2018-10-01,-0.6227247090191252,-1.4997179921037789,1.0,-0.0,-1.0029226272881095,-1.0019996923550223,0.0
2018-10-02,-0.6256920237851138,-1.4881587041213862,1.0,-0.0,-1.0065101496821816,-1.0057412343653886,0.0
2018-10-03,-0.6250384181948571,-1.4818666120274562,1.0,-0.0,-1.0074275176723697,-1.008144657309702,0.0
2018-10-04,-0.6283973998054974,-1.4749449761990072,1.0,-0.0,-1.01110713006091,-1.0040436095613452,0.0
2018-10-05,-0.5974868468100322,-1.4637074117586966,1.0,-0.0,-1.0243142463094448,-1.0225264340808091,0.0
2018-10-08,-0.5925208885265947,-1.457458732423069,1.0,-0.0,-1.0252700224169553,-1.0195129406969634,0.0
2018-10-09,-0.5909114065922869,-1.457588262265016,1.0,-0.0,-1.0256762952773957,-1.020327067094605,0.0
2018-10-10,-0.5899031106578276,-1.4601223865374808,1.0,-0.0,-1.0262621111677717,-1.0231514533401327,0.0
2018-10-11,-0.4620303360761376,-1.4562803608605135,1.0,-0.0,-0.9901358183800932,-1.048478239317934,0.0
2018-10-12,-0.48575372177856646,-1.463669525781327,1.0,-0.0,-0.9639652962634329,-1.0161194912747709,0.0
2018-10-15,-0.44553773492079113,-1.5015743382859392,1.0,-0.0,-0.9557217357079603,-1.016973334645282,0.0
2018-10-16,-0.4408147200629735,-1.5092984355013284,1.0,-0.0,-0.9541965954934567,-1.015497392502214,0.0
2018-10-17,-0.40258045810379817,-1.4452015076833864,1.0,-0.0,-0.9495505943751812,-1.034937663090751,0.0
