Date,BOOM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0956665290961618,-2.5079653322327693,-0.3210895583986793,-1.6856789104416015,-1.6438299628559636,0.0
2018-09-25,1.0,-1.102180736824715,-2.505782256732199,-0.3295886337353378,-1.6838757640839253,-1.6389393689079794,0.0
2018-09-26,1.0,-1.117921385742838,-2.5303131245836106,-0.34335443037974683,-1.6973684210526314,-1.638824117255163,0.0
2018-09-27,1.0,-1.124562864279767,-2.5154870940882597,-0.3482098251457119,-1.6988343047460448,-1.639300582847627,0.0
2018-09-28,1.0,-1.1223674352784483,-2.5161075501539996,-0.34912178473320565,-1.6979938400066594,-1.6388079580454507,0.0
2018-10-01,1.0,-1.1285773884021693,-2.517813934084272,-0.35002085940759287,-1.7043804755944931,-1.6430538172715896,0.0
2018-10-02,1.0,-1.1289730541419871,-2.5142237423875864,-0.35221489947443063,-1.7040126804037707,-1.6429465254025193,0.0
2018-10-03,1.0,-1.1299557632918789,-2.5163175027126283,-0.35347633753442953,-1.70403138302312,-1.6426007845755781,0.0
2018-10-04,1.0,-1.1340060040026685,-2.50525350233489,-0.3548198799199466,-1.7086390927284856,-1.6361741160773848,0.0
2018-10-05,1.0,-1.1050266311584553,-2.4990013315579227,-0.3192410119840213,-1.7331890812250332,-1.6658621837549932,0.0
2018-10-08,1.0,-1.098167647790399,-2.488848354199486,-0.3109194925793881,-1.7330237957051655,-1.6603100903739327,0.0
2018-10-09,1.0,-1.101004232716408,-2.491825047721803,-0.31446593078263757,-1.733172877417213,-1.6589758486181427,0.0
2018-10-10,1.0,-1.1010369141435088,-2.490584819576939,-0.3145582745748652,-1.7329738697635837,-1.6561592700124428,0.0
2018-10-11,1.0,-0.9647217377517044,-2.47669256381798,-0.13699064531472965,-1.6828127477406056,-1.6664816870144286,0.0
2018-10-12,1.0,-0.9966056204610042,-2.493132301862962,-0.12077676034101674,-1.65550994632144,-1.6278812756551944,0.0
2018-10-15,1.0,-0.9640022007388194,-2.5384736304330735,-0.0740391417118604,-1.6518902774502868,-1.6314548455552935,0.0
2018-10-16,1.0,-0.9604435357030513,-2.5555992450456118,-0.06236237810632274,-1.6532714690154138,-1.6324315822585718,0.0
2018-10-17,1.0,-0.9170648990288269,-2.470556497610606,-0.01287189764143672,-1.6499922922768615,-1.657314629258517,0.0
2018-10-18,1.0,-0.9192838953622964,-2.4758083185430975,-0.011111968516089204,-1.6508218226715023,-1.6596187977467396,0.0
2018-10-19,1.0,-0.8797560045749143,-2.449561570720549,-0.0,-1.645520396492566,-1.6499428135722456,0.0
2018-10-22,1.0,-0.8883524904214559,-2.4704214559386974,-0.0,-1.6495785440613024,-1.6544061302681992,0.0
2018-10-23,1.0,-0.8877816955388625,-2.471102253564311,-0.0,-1.650850835505136,-1.655449946343707,0.0
2018-10-24,1.0,-0.8836335760827903,-2.4752778842468377,-0.0,-1.651284016864699,-1.6555768493675735,0.0
2018-10-25,1.0,-0.7795867708257282,-2.3446010075198944,-0.0,-1.622472074176827,-1.5542089508651529,0.0
2018-10-26,1.0,-0.7359885181198421,-2.3023322569070683,-0.0,-1.6152852529601722,-1.5226408324363114,0.0
2018-10-29,1.0,-0.7786154345006485,-2.6471303501945527,-0.0,-1.8483300907911802,-1.8323605706874189,0.0
2018-10-30,1.0,-0.756890402075227,-2.648427367055772,-0.0,-1.8500324254215306,-1.8510051880674447,0.0
2018-10-31,1.0,-0.7678355501813785,-2.5990326481257555,-0.0,-1.8514308746473198,-1.8429665457476825,0.0
2018-11-01,1.0,-0.7362204724409449,-2.6162622529326693,-0.0,-1.843885585730355,-1.8382612887674754,0.0
2018-11-02,1.0,-0.7489014939682033,-2.545018774466725,-0.0,-1.8669809059678837,-1.8282336023008707,0.0
2018-11-05,1.0,-0.7409484139698814,-2.5832265299583463,-0.0,-1.87504005126562,-1.8110381288048703,0.0
