Date,IWF,IWM,MTUM,MYRG,SPY,VLUE,VXX
2018-09-24,-0.6443674350861333,-1.4156496409020138,-0.2015468836321631,1.0,-0.9326502938074431,-0.8281352016473307,0.0
2018-09-25,-0.6440404854222268,-1.4212699531698476,-0.19824764590362054,1.0,-0.9376605065713278,-0.8342816858854928,0.0
2018-09-26,-0.6438535529032583,-1.4213123835423276,-0.19761293246714004,1.0,-0.9380067482499874,-0.8352721962028504,0.0
2018-09-27,-0.6466445316430224,-1.4120635878861052,-0.20007042962068616,1.0,-0.9375188650769695,-0.8344903913874635,0.0
2018-09-28,-0.6488119210632299,-1.411296818364881,-0.200463149416029,1.0,-0.9383306484091823,-0.8352799033427306,0.0
2018-10-01,-0.6486282025418599,-1.4160278394190033,-0.20148275166431306,1.0,-0.9395803913657453,-0.8376538228767398,0.0
2018-10-02,-0.649321837341804,-1.4087631724902938,-0.2044067967528866,1.0,-0.9405536227499622,-0.8390561185902284,0.0
2018-10-03,-0.6500555387256387,-1.3943754417853176,-0.20195900232252853,1.0,-0.9497122084216902,-0.8528223770574573,0.0
2018-10-04,-0.6520708268173335,-1.3884881198607677,-0.202794733390506,1.0,-0.951874085658074,-0.8493668970387933,0.0
2018-10-05,-0.6343864583856548,-1.3814857602089508,-0.18318348485609526,1.0,-0.9623285951077403,-0.8614194585363405,0.0
2018-10-08,-0.6322791164658635,-1.3785140562248996,-0.17580321285140565,1.0,-0.9708835341365462,-0.8626506024096385,0.0
2018-10-09,-0.6295904488438869,-1.3854213893506624,-0.1622588282706161,1.0,-0.9828220240793915,-0.8774369049418166,0.0
2018-10-10,-0.6331736828837913,-1.3844718931182254,-0.1654146710360474,1.0,-0.9857322914040837,-0.8728006049911772,0.0
2018-10-11,-0.5563950350782514,-1.4045528136191923,-0.0479321002796448,1.0,-0.9827307069616836,-0.9143894421822105,0.0
2018-10-12,-0.5611781747947852,-1.3938194109126028,-0.03882182520521487,1.0,-0.9544181554804442,-0.8803476581361661,0.0
2018-10-15,-0.5275380587607874,-1.4616988267235527,-0.0,1.0,-0.9621836517017357,-0.896829244642684,0.0
2018-10-16,-0.5226181818181819,-1.4698666666666667,-0.0,1.0,-0.9606303030303031,-0.8954181818181819,0.0
2018-10-17,-0.4924317912218268,-1.4142348754448397,-0.0,1.0,-0.9443416370106762,-0.8939501779359431,0.0
2018-10-18,-0.4955495263934504,-1.4225332000571185,-0.0,1.0,-0.9445951734970727,-0.897186919891475,0.0
2018-10-19,-0.4684573914688357,-1.4091081055518775,-0.0,1.0,-0.9518585075191525,-0.8995554714839685,0.0
2018-10-22,-0.46894233500615473,-1.3952750686488025,-0.0,1.0,-0.9616040147713286,-0.9086260770760345,0.0
