Date,IWF,IWM,MTUM,PAM,SPY,VLUE,VXX
2018-09-24,-1.2418926607244454,-2.6102787786838615,-0.049592262469182635,1.0,-2.312156267779253,-2.268537834249953,0.0
2018-09-25,-1.2440532825880115,-2.6225499524262608,-0.04595623215984777,1.0,-2.3222645099904855,-2.2799238820171266,0.0
2018-09-26,-1.2439094023601065,-2.622953939855348,-0.04482299200609059,1.0,-2.3230871716787207,-2.2816901408450705,0.0
2018-09-27,-1.2476581915503728,-2.6428025234180845,-0.04482890460714968,1.0,-2.332345631810361,-2.2906709998088317,0.0
2018-09-28,-1.2438534392040563,-2.649669951210179,-0.04735482636563666,1.0,-2.33339711087726,-2.292356261360375,0.0
2018-10-01,-1.2587102983638114,-2.66130895091434,-0.04860442733397497,1.0,-2.3509143407122233,-2.3051973051010584,0.0
2018-10-02,-1.2768246583309104,-2.6279926335174952,-0.07007851119511486,1.0,-2.381893961422894,-2.3359503731704954,0.0
2018-10-03,-1.2752275808638387,-2.6077861708309125,-0.06808057331009103,1.0,-2.386984311446833,-2.3462134417974045,0.0
2018-10-04,-1.278572809901373,-2.593888996325662,-0.07000580158576677,1.0,-2.3896731773351383,-2.3371688261458132,0.0
2018-10-05,-1.2519193857965452,-2.5769673704414586,-0.0362763915547025,1.0,-2.3915547024952017,-2.340307101727447,0.0
2018-10-08,-1.2506005573171903,-2.5759584894782357,-0.022196598443355434,1.0,-2.4127029883732103,-2.3474584414336506,0.0
2018-10-09,-1.2475247524752475,-2.5782947226761515,-0.0129770258579256,1.0,-2.418533115447467,-2.355282130154763,0.0
2018-10-10,-1.2495196003074558,-2.5748462720983856,-0.015180630284396618,1.0,-2.4195810914681015,-2.3488662567255956,0.0
2018-10-11,-1.0004597701149425,-2.509885057471265,-0.0,1.0,-2.327172413793104,-2.357885057471264,0.0
2018-10-12,-0.9999098449332852,-2.471601153984854,-0.0,1.0,-2.2609087630724845,-2.2829967544175984,0.0
2018-10-15,-0.9634047896672348,-2.482823571620773,-0.0,1.0,-2.2478249170329176,-2.275361018925464,0.0
2018-10-16,-0.9519178822258237,-2.5218800648298214,-0.0,1.0,-2.2514856834143706,-2.2789483162254633,0.0
2018-10-17,-0.8699485030985423,-2.377149341014227,-0.0,1.0,-2.2083442436938117,-2.272759011957755,0.0
2018-10-18,-0.8754928590204153,-2.392885306229738,-0.0,1.0,-2.212652238675195,-2.280907736791378,0.0
2018-10-19,-0.8185121107266436,-2.347231833910035,-0.0,1.0,-2.210553633217993,-2.274134948096886,0.0
2018-10-22,-0.8228958568574656,-2.3290193694084946,-0.0,1.0,-2.235994093633284,-2.2979240858160344,0.0
2018-10-23,-0.8317692040319777,-2.3309871393812998,-0.0,1.0,-2.2311435523114356,-2.295707334028502,0.0
2018-10-24,-0.8235192090885439,-2.322868788483219,-0.0,1.0,-2.229815280548088,-2.2960714595438385,0.0
2018-10-25,-0.70280217482225,-2.184608950230029,-0.0,1.0,-2.2649937264742785,-2.212212463404433,0.0
2018-10-26,-0.6487326246933769,-2.120932134096484,-0.0,1.0,-2.244071954210957,-2.162796402289452,0.0
2018-10-29,-0.5846392425726412,-2.1594025465230167,-0.0,1.0,-2.2269017303297423,-2.1909076069213187,0.0
2018-10-30,-0.5481147540983606,-2.173032786885246,-0.0,1.0,-2.240327868852459,-2.2351639344262293,0.0
2018-10-31,-0.5560330846578009,-2.1080116769380477,-0.0,1.0,-2.229322088874473,-2.2156179046383393,0.0
2018-11-01,-0.5574036511156186,-2.1080730223123734,-0.0,1.0,-2.231075050709939,-2.2170385395537524,0.0
2018-11-02,-0.5564729458917835,-2.0480961923847696,-0.0,1.0,-2.2203607214428858,-2.1911823647294586,0.0
2018-11-05,-0.5463045055210769,-2.1061497541710326,-0.0,1.0,-2.23696300475538,-2.1705488836946882,0.0
