Date,IWF,IWM,LIN,MTUM,SPY,VLUE,VXX
2018-09-24,-0.384610997033995,-0.3241786447638603,1.0,-0.14867100159707963,-0.5318560346794433,-0.46263974446725986,0.0
2018-09-25,-0.3832366141619737,-0.32814956690774993,1.0,-0.144992996197936,-0.5352334124238872,-0.4670535433521054,0.0
2018-09-26,-0.38288198118333383,-0.3278904172266865,1.0,-0.1436415110526466,-0.5359318253310075,-0.46935857473762477,0.0
2018-09-27,-0.38376014633588656,-0.32511146678861325,1.0,-0.14442094432376815,-0.5357265348119354,-0.46910369269463814,0.0
2018-09-28,-0.38204270645742217,-0.32681588199982853,1.0,-0.14487036560615157,-0.5356030071749136,-0.46917074007375015,0.0
2018-10-01,-0.3841355233789275,-0.3259600526526641,1.0,-0.14442282378526872,-0.5373433297086935,-0.46969610255823274,0.0
2018-10-02,-0.40099546186502705,-0.28850827111696675,1.0,-0.1633143024447372,-0.5714829453959889,-0.5035280339628165,0.0
2018-10-03,-0.40065556498580585,-0.2840586496531944,1.0,-0.16272059469109426,-0.5729169715238959,-0.5062776200649712,0.0
2018-10-04,-0.40509442248572686,-0.2781144781144781,1.0,-0.16328502415458937,-0.5789489093836919,-0.5023861806470502,0.0
2018-10-05,-0.39981319868071563,-0.27129972855433293,1.0,-0.1568547327865503,-0.5837249350573538,-0.5071072064446455,0.0
2018-10-08,-0.399131119339884,-0.2695862611890253,1.0,-0.15555296381607722,-0.5846575502230515,-0.5067498615039217,0.0
2018-10-09,-0.39820970375554,-0.2697107534406345,1.0,-0.1530207604385351,-0.5861616515045486,-0.5086890599486821,0.0
2018-10-10,-0.3974891724218658,-0.2752838581294627,1.0,-0.14944984197588668,-0.5881716024815639,-0.5159779936790354,0.0
2018-10-11,-0.3675661739429357,-0.2681906726251862,1.0,-0.10464649936977197,-0.5883178640999198,-0.535980291050762,0.0
2018-10-12,-0.37108098121144933,-0.25925925925925924,1.0,-0.1018163213097979,-0.5825019186492709,-0.5278133083198316,0.0
2018-10-15,-0.3629036835234689,-0.27143992281060214,1.0,-0.08959078267779101,-0.5834610363811794,-0.5304217038424428,0.0
