Date,IWF,IWM,MTUM,SOR,SPY,VLUE,VXX
2018-09-24,-0.17302,-0.25054,-0.07892,1.0,-0.25682,-0.2407,0.0
2018-09-25,-0.17280838634817747,-0.25093026047293243,-0.07848197495298684,1.0,-0.25715200256071696,-0.24118753250910255,0.0
2018-09-26,-0.17256283015847607,-0.25074035537057787,-0.07773731391067713,1.0,-0.25750360172882986,-0.2424163598527293,0.0
2018-09-27,-0.17329653406931864,-0.24863502729945403,-0.07831843363132739,1.0,-0.25743485130297394,-0.2422751544969101,0.0
2018-09-28,-0.17352776444231077,-0.24859977596415428,-0.07839254280684911,1.0,-0.25748119699151867,-0.24233877420387262,0.0
2018-10-01,-0.1738852101546402,-0.2482645487826835,-0.07836037369716127,1.0,-0.2576869986196411,-0.24232300398103507,0.0
2018-10-02,-0.17377987748728832,-0.2517916483164511,-0.07743123673779878,1.0,-0.25713656564038917,-0.24170236617688273,0.0
2018-10-03,-0.17357108549471661,-0.24789865513928913,-0.07684918347742555,1.0,-0.25864553314121036,-0.24431636247198205,0.0
2018-10-04,-0.17490296506742428,-0.24556840462566526,-0.07708775159057261,1.0,-0.2603537273418431,-0.24280741066784042,0.0
2018-10-05,-0.17344351957203025,-0.24406651096872067,-0.07539373615186537,1.0,-0.26043475657224985,-0.24278898936064036,0.0
2018-10-08,-0.1748012256914542,-0.2471410546554245,-0.07648555005908154,1.0,-0.26019907472311793,-0.24411688129618875,0.0
2018-10-09,-0.17441976890882513,-0.2471313855457877,-0.07561527524681098,1.0,-0.2606283917736348,-0.24472835773074075,0.0
2018-10-10,-0.17576849904876338,-0.24605987784119354,-0.0771002302993892,1.0,-0.2614799239010714,-0.2422148793431461,0.0
2018-10-11,-0.1686706416021235,-0.24220034467048315,-0.06869639284511618,1.0,-0.25876037477962877,-0.24255690034268962,0.0
2018-10-12,-0.17019102271833975,-0.23791368603097243,-0.0682729345177266,1.0,-0.2529478814558604,-0.23590912664098734,0.0
2018-10-15,-0.16573805226398808,-0.2442321274425175,-0.06234795574040651,1.0,-0.2528054618221769,-0.2367181982264773,0.0
2018-10-16,-0.16437307367635798,-0.2509079487229824,-0.05753940988240837,1.0,-0.2534207581617229,-0.2368911835725083,0.0
2018-10-17,-0.16134948974614138,-0.24334133348943393,-0.055162051942476927,1.0,-0.2528049327791762,-0.2386192901324904,0.0
2018-10-18,-0.16424751718869365,-0.2491821903586609,-0.052476934829876004,1.0,-0.2522967228849582,-0.24060253472018175,0.0
2018-10-19,-0.15881574337213378,-0.24265192509829878,-0.048039864522910425,1.0,-0.25526530930042435,-0.2417370654416631,0.0
2018-10-22,-0.1597726432172542,-0.24039865298892413,-0.04554921846105931,1.0,-0.25733361882701034,-0.2434936639869192,0.0
2018-10-23,-0.15965192337642112,-0.24049992213050925,-0.04520323937081452,1.0,-0.25767014483725276,-0.24369257125058402,0.0
2018-10-24,-0.15911083403144421,-0.24220226382746593,-0.046192211030801296,1.0,-0.25765161994194313,-0.24307896121101133,0.0
2018-10-25,-0.15056300473806372,-0.22863555274213038,-0.04563503481613627,1.0,-0.2591740039515835,-0.23423682645642704,0.0
2018-10-26,-0.1621792092088146,-0.24648164938699885,-0.052568297394252374,1.0,-0.26252611660819175,-0.24732920723774984,0.0
2018-10-29,-0.185655127394382,-0.25315681034658616,-0.05567001897146121,1.0,-0.29216050264172494,-0.25329960629118137,0.0
2018-10-30,-0.19357015767838517,-0.2537783504100456,-0.05992187659774628,1.0,-0.29196065198273924,-0.24588420557498414,0.0
2018-10-31,-0.1944467096142869,-0.24834869118486502,-0.060690695588355215,1.0,-0.29091576286389953,-0.24425099893990052,0.0
2018-11-01,-0.19605083328233686,-0.24661893396976928,-0.06229728902759929,1.0,-0.29078187789404975,-0.24413030618281215,0.0
2018-11-02,-0.19697309188682705,-0.24306927667895628,-0.061801071435846254,1.0,-0.2916912798158597,-0.2434155582262237,0.0
