Date,CFR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23198579623053814,-0.543949740508058,-0.1285441136301557,-0.40617317672767006,-0.4208686151324775,0.0
2018-09-25,1.0,-0.23054762949956098,-0.5503731343283582,-0.12324407374890255,-0.41173726953467954,-0.42776009657594377,0.0
2018-09-26,1.0,-0.2305201931518876,-0.5504005706760315,-0.12318920105355576,-0.41173726953467954,-0.4277875329236172,0.0
2018-09-27,1.0,-0.22930725795344997,-0.5600881421291833,-0.12108524996556948,-0.4139650185924804,-0.42999586833769454,0.0
2018-09-28,1.0,-0.22704222246720315,-0.5627549333039357,-0.12159629588799471,-0.4142321684489031,-0.4304100981148716,0.0
2018-10-01,1.0,-0.22726896893862142,-0.5624948322906044,-0.12168233056803462,-0.41429870738362323,-0.43036683846429463,0.0
2018-10-02,1.0,-0.22734415924567838,-0.5648038377767363,-0.12119875382537014,-0.41382922996333166,-0.4298475365994872,0.0
2018-10-03,1.0,-0.22710733778047304,-0.5577760626274878,-0.12010033629196758,-0.4167539555653564,-0.43475384530569494,0.0
2018-10-04,1.0,-0.2256512361041978,-0.5651512637575355,-0.11982191250483934,-0.41499363973231573,-0.43971572368784917,0.0
2018-10-05,1.0,-0.21205005663139864,-0.5597668443879665,-0.10668803005607891,-0.4282162490676539,-0.4557860714384375,0.0
2018-10-08,1.0,-0.21217732574208173,-0.5606102481897076,-0.10673815709468798,-0.42816870266983587,-0.456138411364767,0.0
2018-10-09,1.0,-0.20939188253220667,-0.5636791799418203,-0.09710486216927552,-0.4351849286604793,-0.465105970356005,0.0
2018-10-10,1.0,-0.20948397640085312,-0.5633603855635265,-0.09727723457884385,-0.4352546879760685,-0.46444893776140483,0.0
2018-10-11,1.0,-0.17738263038057028,-0.5642686761357475,-0.057844519136940255,-0.43066247424915965,-0.48048357367450933,0.0
2018-10-12,1.0,-0.1754357563002536,-0.5637850089039987,-0.05436835572823917,-0.4272840105768712,-0.47730829420970267,0.0
2018-10-15,1.0,-0.15340353924655303,-0.6157311909673218,-0.017289110845727935,-0.4358647269568994,-0.49185756161111716,0.0
2018-10-16,1.0,-0.15225711881430007,-0.6208094682266077,-0.013545427400309454,-0.436113901028801,-0.4918157387551237,0.0
2018-10-17,1.0,-0.14106381266596926,-0.5951825326573859,-0.0006974061854563986,-0.43963412998578366,-0.5057267777151901,0.0
2018-10-18,1.0,-0.139856200032194,-0.5934699790738852,-0.001690186188764286,-0.44175564736813866,-0.5060900359499919,0.0
2018-10-19,1.0,-0.13399138645908568,-0.5923280635583019,-0.0,-0.4420458497177862,-0.5066474065751813,0.0
2018-10-22,1.0,-0.13413783856261732,-0.6002949852507374,-0.0037811745776347547,-0.4392062215071065,-0.5042638777152052,0.0
2018-10-23,1.0,-0.13128431478092367,-0.6037517493809883,-0.0,-0.446818817956723,-0.509500484443966,0.0
2018-10-24,1.0,-0.12966299991931365,-0.6000107581829429,-0.0,-0.4477555740835373,-0.5121432989967994,0.0
