Date,DIN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.9246589571359324,-2.051727719687002,-0.04376428225192161,-1.4796759227200331,-1.4250398171871752,0.0
2018-09-25,1.0,-0.9260463507436872,-2.0476651677620197,-0.04759598754756139,-1.4762365963334485,-1.4205465236942234,0.0
2018-09-26,1.0,-0.9268022692680227,-2.0487754254877544,-0.0492597204925972,-1.4758544347585445,-1.4177390341773903,0.0
2018-09-27,1.0,-0.9401110340041637,-2.0353920888272032,-0.05607217210270645,-1.483969465648855,-1.4240804996530187,0.0
2018-09-28,1.0,-0.937556372719073,-2.036564212863387,-0.05730937348227295,-1.4831055297301048,-1.4236453201970443,0.0
2018-10-01,1.0,-0.9443207126948775,-2.0391146993318485,-0.057558463251670376,-1.4905345211581291,-1.4283825167037862,0.0
2018-10-02,1.0,-0.9455407572693675,-2.0528554494107802,-0.056202496339167414,-1.4903423750087161,-1.428073356111847,0.0
2018-10-03,1.0,-0.954018954018954,-2.0779220779220777,-0.06156546156546157,-1.4964548964548965,-1.4300456300456301,0.0
2018-10-04,1.0,-0.9653959769306513,-2.067590378393586,-0.06386270924180616,-1.5116753411168942,-1.424813616542411,0.0
2018-10-05,1.0,-0.940764331210191,-2.0752300070771406,-0.021726822363765035,-1.5610757254069354,-1.4783439490445858,0.0
2018-10-08,1.0,-0.9348377997179126,-2.0652327221438647,-0.012976022566995768,-1.5646685472496473,-1.4744710860366712,0.0
2018-10-09,1.0,-0.9322728879462707,-2.072322375397667,-0.0,-1.576316719688936,-1.4887239307175681,0.0
2018-10-10,1.0,-0.9344169611307421,-2.070035335689046,-0.00176678445229682,-1.5775265017667846,-1.483462897526502,0.0
2018-10-11,1.0,-0.7419442927362098,-2.055365920262152,-0.0,-1.519388312397597,-1.5101720371381757,0.0
2018-10-12,1.0,-0.7353938185443669,-2.0140910601528748,-0.0,-1.4556331006979062,-1.4416085078099037,0.0
2018-10-15,1.0,-0.726771967082559,-2.017653305017255,-0.0,-1.452681178656756,-1.4394743827979826,0.0
2018-10-16,1.0,-0.7169811320754716,-2.076948902168804,-0.0,-1.467333646679648,-1.4532330625125898,0.0
2018-10-17,1.0,-0.6594104308390023,-1.9611920958859734,-0.0,-1.4230644638807906,-1.4351797862001945,0.0
