Date,IWF,IWM,MTUM,RNG,SPY,VLUE,VXX
2018-09-24,-0.7044747245352847,-1.0517705442005214,-0.4248885524434351,1.0,-0.6049289258978888,-0.4195474808646648,0.0
2018-09-25,-0.7085524378444322,-1.049387909637794,-0.43073492911530853,1.0,-0.6027512515249673,-0.41538008497749357,0.0
2018-09-26,-0.7124061735683563,-1.055283798599983,-0.4363245340305305,1.0,-0.6038205279581682,-0.4090832419667707,0.0
2018-09-27,-0.7138703968989635,-1.0498019718547231,-0.4377264683576304,1.0,-0.6033959720232578,-0.4085699839892138,0.0
2018-09-28,-0.7142977539926678,-1.0492183220260418,-0.4378660823395559,1.0,-0.603598668408411,-0.4089166069697864,0.0
2018-10-01,-0.7175537078461993,-1.0484109230574432,-0.437175537078462,1.0,-0.6069303169712573,-0.4105431984130334,0.0
2018-10-02,-0.7183266086217881,-1.0841792312592908,-0.4278615417286048,1.0,-0.6069653854321513,-0.4098534720747505,0.0
2018-10-03,-0.7230012825994016,-1.1070542967079948,-0.4302693458743052,1.0,-0.6082941427960666,-0.4067122702009406,0.0
2018-10-04,-0.7236752136752136,-1.1043589743589741,-0.4305982905982906,1.0,-0.6092735042735042,-0.4055555555555555,0.0
2018-10-05,-0.7238257899231426,-1.1083262169086252,-0.42707087959009393,1.0,-0.6087105038428693,-0.40196413321947055,0.0
2018-10-08,-0.7219996590521651,-1.1048840777361064,-0.42358506648482785,1.0,-0.6109785202863962,-0.400400613706103,0.0
2018-10-09,-0.7353940071364085,-1.115644211340871,-0.4414255620996517,1.0,-0.6114956364730665,-0.3950818967370276,0.0
2018-10-10,-0.7387619907945111,-1.1142082849399921,-0.44474555856669673,1.0,-0.6137996300597927,-0.3901148535294877,0.0
2018-10-11,-0.7070507705874942,-1.1096039978163188,-0.4047369084113719,1.0,-0.5936673245706127,-0.3843278881283333,0.0
2018-10-12,-0.7181497614602781,-1.1040033188135243,-0.40481227961003946,1.0,-0.5689690935490562,-0.35262393694254307,0.0
2018-10-15,-0.7415527794080657,-1.089963947346357,-0.4248344093233839,1.0,-0.5795673681562841,-0.35629244571141105,0.0
2018-10-16,-0.7394859323242063,-1.0984946957943729,-0.4185081135477378,1.0,-0.5801081806365047,-0.3564510042349784,0.0
2018-10-17,-0.7222658348138661,-1.0565219187704002,-0.39949593025657976,1.0,-0.5812915754245342,-0.372185266289303,0.0
2018-10-18,-0.7236716973330577,-1.0593756460616084,-0.39822203845358695,1.0,-0.5807318585900351,-0.37275170560264625,0.0
2018-10-19,-0.7192073672093405,-1.0545551718467356,-0.39249301101792466,1.0,-0.5790577207696103,-0.3658526558131886,0.0
2018-10-22,-0.7170060721219381,-1.0708827295633854,-0.4044363666405056,1.0,-0.5747449295716469,-0.36366640505597086,0.0
2018-10-23,-0.7266121330399037,-1.0765685338205373,-0.417929659926089,1.0,-0.5683677282730557,-0.36282855126022506,0.0
2018-10-24,-0.7283965982161378,-1.0745488487865587,-0.41290188757519186,1.0,-0.5691350342252646,-0.3634930512341838,0.0
2018-10-25,-0.7111951526981416,-1.044406490179334,-0.4135252734740352,1.0,-0.5613842462689602,-0.336057907364483,0.0
2018-10-26,-0.7028259991925716,-1.034194590230117,-0.40569236980218004,1.0,-0.5637060960839726,-0.33068227694792085,0.0
2018-10-29,-0.6989450797229827,-1.039418585923659,-0.40090996939925916,1.0,-0.5588661620228701,-0.32823320985665966,0.0
2018-10-30,-0.695354641333226,-1.0397713549633685,-0.3985186377908381,1.0,-0.5595362692214798,-0.3322196280492714,0.0
2018-10-31,-0.6959714308642966,-1.0316186501885884,-0.39976727389455097,1.0,-0.5566567691196533,-0.32850493539844317,0.0
2018-11-01,-0.7034027833641703,-1.0254605421929048,-0.40628268039578475,1.0,-0.557758828734615,-0.3293379454589333,0.0
