Date,IWF,IWM,LBRT,MTUM,SPY,VLUE,VXX
2018-09-24,-0.695689598093094,-1.9682844467986491,1.0,-0.03217903727736211,-1.3935641925445275,-1.531483811163345,0.0
2018-09-25,-0.6988948448150354,-1.9645291509496394,1.0,-0.037787042551783466,-1.3902455165111507,-1.5263053404804447,0.0
2018-09-26,-0.6999139585677411,-1.965914355682044,1.0,-0.03997617314183599,-1.389833873850023,-1.5229995366999802,0.0
2018-09-27,-0.700482772303419,-1.9613120825342238,1.0,-0.041267111963494474,-1.3885986376562396,-1.5217247536538587,0.0
2018-09-28,-0.703262523989147,-1.9604923565614454,1.0,-0.04202236781152802,-1.3895837469393157,-1.5223347230494342,0.0
2018-10-01,-0.7038115404976177,-1.9594362096347273,1.0,-0.042615140285865535,-1.3894917946003176,-1.5219692959237692,0.0
2018-10-02,-0.7277363935306355,-1.9207435742567613,1.0,-0.06791490503993021,-1.431648882625327,-1.5629152405878801,0.0
2018-10-03,-0.7269130172355979,-1.9063107772785193,1.0,-0.06639393736167931,-1.4359197907585004,-1.5709207967272485,0.0
2018-10-04,-0.7287953905935951,-1.8993702264504888,1.0,-0.06773415516548305,-1.4372906337933806,-1.5664612086292375,0.0
2018-10-05,-0.7082028386752848,-1.8915172919304324,1.0,-0.04451256080495768,-1.442993269807423,-1.5763310455120942,0.0
2018-10-08,-0.705020641896391,-1.8870022639499264,1.0,-0.03455852976428286,-1.4541217206019441,-1.5780396857104808,0.0
2018-10-09,-0.7053143313798615,-1.8877863612147046,1.0,-0.03482951518380395,-1.45398241875333,-1.5776505061267982,0.0
2018-10-10,-0.7060507222259202,-1.8860414031817878,1.0,-0.035745190707581705,-1.4543699660520535,-1.5742528123543897,0.0
2018-10-11,-0.5639438417358009,-1.8468410976388,1.0,-0.0,-1.3929802169751115,-1.577855775366943,0.0
2018-10-12,-0.5666562009419153,-1.8302668759811618,1.0,-0.0,-1.3496389324960754,-1.53287284144427,0.0
2018-10-15,-0.5080782045640284,-1.8952662349908849,1.0,-0.0,-1.3427421889734081,-1.540391022820142,0.0
2018-10-16,-0.4980787401574803,-1.9189291338582677,1.0,-0.0,-1.3424251968503937,-1.5398425196850394,0.0
2018-10-17,-0.4497907949790795,-1.8347280334728033,1.0,-0.0,-1.3225449175486095,-1.5460251046025104,0.0
2018-10-18,-0.44903106736388804,-1.8339587819132575,1.0,-0.0,-1.3229775453706552,-1.5459858505075363,0.0
