Date,IWF,IWM,MTUM,QCRH,SPY,VLUE,VXX
2018-09-24,-0.18378048780487805,-0.9501524390243902,-0.0,1.0,-0.47527439024390244,-0.4395731707317073,0.0
2018-09-25,-0.18162340842311459,-0.9550685602350636,-0.0,1.0,-0.4792176787463271,-0.4448457394711067,0.0
2018-09-26,-0.1802771136043161,-0.9550303476181717,-0.0,1.0,-0.4805959168659187,-0.4495125988596652,0.0
2018-09-27,-0.18020117762512267,-0.9559617271835132,-0.0,1.0,-0.4808022571148185,-0.44976692836113846,0.0
2018-09-28,-0.17928665623945778,-0.9567884196644891,-0.0,1.0,-0.4808170024841291,-0.44993406323795504,0.0
2018-10-01,-0.17940066865012422,-0.956905806214152,-0.0,1.0,-0.4808146489586848,-0.45008128086372423,0.0
2018-10-02,-0.1785306550649511,-0.9803141102780092,-0.0,1.0,-0.4789718905242371,-0.4477151408559351,0.0
2018-10-03,-0.1793422880963409,-0.9826771653543307,-0.0,1.0,-0.478801914466574,-0.44699706654315263,0.0
2018-10-04,-0.179170564390396,-0.9999064546304959,-0.0,1.0,-0.4795759276582476,-0.45952603679451204,0.0
2018-10-05,-0.1601415753360862,-0.9941941693315534,-0.0,1.0,-0.48393306218758736,-0.4664534757365954,0.0
2018-10-08,-0.15913251217771712,-0.993825819862865,-0.0,1.0,-0.4837578728553257,-0.4658868790915578,0.0
2018-10-09,-0.15322655885554345,-0.9955527911677811,-0.0,1.0,-0.4883221893951174,-0.4728347068885088,0.0
2018-10-10,-0.15497994340620044,-0.9948692434466246,-0.0,1.0,-0.4895052706862776,-0.4701638732547654,0.0
2018-10-11,-0.08204479006540676,-0.9927359315188232,-0.0,1.0,-0.4638152937275823,-0.47557042529463184,0.0
2018-10-12,-0.07498503889886296,-0.9945541591861161,-0.0,1.0,-0.45580490724117295,-0.4668761220825853,0.0
2018-10-15,-0.03239062122310853,-1.0537829344935945,-0.0,1.0,-0.4570945129320764,-0.47827532028039643,0.0
2018-10-16,-0.02799443739041054,-1.0617328738134106,-0.0,1.0,-0.45613398633532853,-0.47726585646048736,0.0
2018-10-17,-0.007372614305250015,-1.0272311076758427,-0.0,1.0,-0.45219692014983054,-0.4860277067602116,0.0
