Date,EQR,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07276482876792714,-0.0,-0.07126258714175059,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7492664835809685,-0.4539586414102293,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.0,-0.0,-0.0005447913212373869,-0.0,-0.08636126770571793,-0.0,-0.05905064190629589,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.761428774456393,-0.46127244303377707,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.0,-0.0,-0.0005898313082458417,-0.0,-0.07663088356729976,-0.0,-0.05133891706971806,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7743069482128111,-0.45645865282529197,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.0,-0.0,-0.0016515084552580772,-0.0,-0.07338745318787654,-0.0,-0.02305133632620781,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7917936312251401,-0.43618431764787974,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.0,-0.0,-0.0019999534894537337,-0.0,-0.07334713146205901,-0.0,-0.022371572754121997,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7991209506755657,-0.4286644496639613,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0737352866064588,-0.0,-0.02191628166136559,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7987138114363986,-0.42727462679636896,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.0,-0.0,-0.005201198133141384,-0.0,-0.075951424524578,-0.0,-0.019852787517124482,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7969907353658253,-0.42399052638911466,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.0,-0.0,-0.008044138442636252,-0.0,-0.07696409115144771,-0.0,-0.01745601224007233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7939587824837148,-0.4217724922919999,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.0,-0.0,-0.008414854652510548,-0.0,-0.07839955491677872,-0.0,-0.016366080949510874,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7946590013445223,-0.42030228568779265,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.0,-0.0,-0.026927418054499806,-0.0,-0.07463202266602169,-0.0,-0.004837260728353257,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8153318130513901,-0.38175200976665974,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.0,-0.0,-0.02471434811596202,-0.0,-0.06646435386348484,-0.0,-0.010621422167046002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8166540221164678,-0.3805779708945444,-0.0,-0.0
