Date,BLE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.12181218121812182,-0.25859056493884686,-0.0,-0.20389686027426274,-0.18058276415876884,0.0
2018-09-25,1.0,-0.12232005787792698,-0.25831554057630884,-0.0,-0.20371971555116372,-0.18021563056942702,0.0
2018-09-26,1.0,-0.1219955528888575,-0.25810891892845794,-0.0,-0.20377298556453605,-0.18084918646101716,0.0
2018-09-27,1.0,-0.12145090902666124,-0.26014593897418686,-0.0,-0.20404954151133411,-0.1811692786091627,0.0
2018-09-28,1.0,-0.12169732958662495,-0.26016648109856316,-0.0,-0.20416026014880792,-0.18129120053726383,0.0
2018-10-01,1.0,-0.12194432169686258,-0.2599734865223155,-0.0,-0.20431285903667698,-0.18131683605832966,0.0
2018-10-02,1.0,-0.12195165083912496,-0.2610925424867809,-0.0,-0.20420181441986313,-0.18121208905865918,0.0
2018-10-03,1.0,-0.12166103912174944,-0.2582247600190924,-0.0,-0.20504888008909788,-0.18288047801721852,0.0
2018-10-04,1.0,-0.12355717391688617,-0.2553868453149029,-0.0,-0.20753716437169675,-0.18114648330475672,0.0
2018-10-05,1.0,-0.1181143881604387,-0.25101065138678946,-0.0,-0.20717474601891236,-0.18137237670053083,0.0
2018-10-08,1.0,-0.11740542438339331,-0.2500307206179233,-0.0,-0.20719740191345562,-0.18084788905468271,0.0
2018-10-09,1.0,-0.11950392608077008,-0.2507246122226711,-0.0,-0.20680871993957173,-0.17959843308096332,0.0
2018-10-10,1.0,-0.11946615154974097,-0.2505399947317587,-0.0,-0.2067257880410923,-0.17934849416103257,0.0
2018-10-11,1.0,-0.08087545418877194,-0.2442298834888521,-0.0,-0.19404309036010986,-0.18672489380938573,0.0
2018-10-12,1.0,-0.08522440746343923,-0.23854429315851405,-0.0,-0.18287107076819634,-0.17429820137838292,0.0
2018-10-15,1.0,-0.07105007210651641,-0.251500821678908,-0.0,-0.17988060502397962,-0.17444746285675958,0.0
2018-10-16,1.0,-0.07558599337024012,-0.24732033182453012,-0.0,-0.1826381059751973,-0.17711891500782448,0.0
