Date,IWF,IWM,MTUM,PSXP,SPY,VLUE,VXX
2018-09-24,-0.25456700196554516,-0.655364782055729,-0.0,1.0,-0.4641866111689213,-0.5163313677881837,0.0
2018-09-25,-0.2534787514103046,-0.6565799751207799,-0.0,1.0,-0.46512569791998154,-0.5177770706164839,0.0
2018-09-26,-0.2525974589760657,-0.6561514195583596,-0.0,1.0,-0.4654878013486528,-0.5198680288252829,0.0
2018-09-27,-0.2534783489051517,-0.653958520146944,-0.0,1.0,-0.46544791877585256,-0.5197130542940614,0.0
2018-09-28,-0.2573996231337875,-0.6533990433396145,-0.0,1.0,-0.4671981446586462,-0.5210030439194087,0.0
2018-10-01,-0.25753051343750905,-0.6534079378424608,-0.0,1.0,-0.4672252341054706,-0.521004261734265,0.0
2018-10-02,-0.2764966086700088,-0.6242701268062518,-0.0,1.0,-0.49799469183131817,-0.5502506635210852,0.0
2018-10-03,-0.276138540899042,-0.6207221812822402,-0.0,1.0,-0.4988061901252764,-0.5519823139277819,0.0
2018-10-04,-0.27745204914410304,-0.6182787778792611,-0.0,1.0,-0.5001620459031849,-0.5504257387820041,0.0
2018-10-05,-0.2617615120476624,-0.6098670501570159,-0.0,1.0,-0.5048278695741496,-0.558418689284771,0.0
2018-10-08,-0.2591475025633514,-0.6066793613593087,-0.0,1.0,-0.5063424637468874,-0.5573458327230116,0.0
2018-10-09,-0.25768937840529615,-0.6065381686097603,-0.0,1.0,-0.5067666529966606,-0.5582928115296737,0.0
2018-10-10,-0.26111045966228896,-0.6059158067542214,-0.0,1.0,-0.5094101782363978,-0.5551125703564729,0.0
2018-10-11,-0.21519819382126834,-0.5934668914863822,-0.0,1.0,-0.4906976079563316,-0.558515046726301,0.0
2018-10-12,-0.22533936651583708,-0.5893665158371041,-0.0,1.0,-0.47355769230769224,-0.5397907239819004,0.0
2018-10-15,-0.19166005216010887,-0.6277922666969044,-0.0,1.0,-0.470518199342329,-0.5448180065767093,0.0
2018-10-16,-0.1907312925170068,-0.6291950113378685,-0.0,1.0,-0.470124716553288,-0.5444160997732426,0.0
2018-10-17,-0.17905518862644126,-0.6070189186163663,-0.0,1.0,-0.46552110153363924,-0.5470166797268554,0.0
2018-10-18,-0.18126667602864768,-0.6136497682909704,-0.0,1.0,-0.46462575480971774,-0.5490801853672238,0.0
2018-10-19,-0.165838959879471,-0.6034261480944143,-0.0,1.0,-0.468723843535517,-0.5520339266781987,0.0
2018-10-22,-0.1658423449856093,-0.5929248050968228,-0.0,1.0,-0.47656970408248805,-0.5590018721882247,0.0
2018-10-23,-0.16637796155565487,-0.5928419758605274,-0.0,1.0,-0.4760002235136343,-0.5586723290120698,0.0
2018-10-24,-0.16468979375401188,-0.5894337305685021,-0.0,1.0,-0.4762914794451732,-0.5604644023331752,0.0
