Date,HFRO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.134659069750121,-0.27957770081555133,-0.0,-0.24203999553122557,-0.2057125833240234,0.0
2018-09-25,1.0,-0.13478689928687135,-0.279516636565066,-0.0,-0.24199824976260076,-0.20565289440855009,0.0
2018-09-26,1.0,-0.13490970024204058,-0.279631353565444,-0.0,-0.2419661143176317,-0.20534351145038168,0.0
2018-09-27,1.0,-0.1374388178586716,-0.2752498464630674,-0.0,-0.24264418513762492,-0.20572087916178142,0.0
2018-09-28,1.0,-0.1363941018766756,-0.276604855525767,-0.0,-0.24279490616621982,-0.20598748882931187,0.0
2018-10-01,1.0,-0.13679192581281888,-0.2762653160031283,-0.0,-0.24304495177088373,-0.2060072250567949,0.0
2018-10-02,1.0,-0.1391275180291821,-0.26828541080446483,-0.0,-0.24650131375435588,-0.2095484784674729,0.0
2018-10-03,1.0,-0.14013821441912588,-0.27329099738513263,-0.0,-0.2462271199103474,-0.20812476652969744,0.0
2018-10-04,1.0,-0.13953183765881408,-0.2760885429335928,-0.0,-0.24553262354284006,-0.21001815017869507,0.0
2018-10-05,1.0,-0.13321799307958476,-0.2710309930423782,-0.0,-0.2455073110838263,-0.21058897942478697,0.0
2018-10-08,1.0,-0.13205199628597958,-0.2693593314763231,-0.0,-0.24579387186629528,-0.2098050139275766,0.0
2018-10-09,1.0,-0.13054941790296526,-0.26915721261860115,-0.0,-0.24628182037618138,-0.21079896763651895,0.0
2018-10-10,1.0,-0.1316517252259777,-0.26840766932086046,-0.0,-0.24689570688791138,-0.20914304805390058,0.0
2018-10-11,1.0,-0.10677351237208295,-0.2572238164852817,-0.0,-0.23408594581912037,-0.2067608785893479,0.0
2018-10-12,1.0,-0.11044908848377057,-0.250760337927968,-0.0,-0.22313917296576252,-0.19421965317919074,0.0
2018-10-15,1.0,-0.10531824309941105,-0.2538316894912368,-0.0,-0.22142198254452566,-0.19337614418505641,0.0
2018-10-16,1.0,-0.10565441867892057,-0.2534641520146195,-0.0,-0.22156379184926284,-0.19353121728793712,0.0
2018-10-17,1.0,-0.1000368621531008,-0.2419034913725008,-0.0,-0.21901384963752216,-0.1943688672786954,0.0
2018-10-18,1.0,-0.10048132663457823,-0.2432280504514633,-0.0,-0.2183712187752521,-0.1945683870287742,0.0
2018-10-19,1.0,-0.09548045247764629,-0.23756819409826924,-0.0,-0.21738448399072735,-0.19256444669095218,0.0
