Date,IWF,IWM,MTUM,SPY,UTF,VLUE,VXX
2018-09-24,-0.18854342829885953,-0.3590477429426304,-0.0,-0.32810806122891456,1.0,-0.29244178483153377,0.0
2018-09-25,-0.186008051354586,-0.36274616472636273,-0.0,-0.33086715264933086,1.0,-0.29642041127189644,0.0
2018-09-26,-0.1845174511129036,-0.362429421638944,-0.0,-0.3320834514181073,1.0,-0.3009962721545203,0.0
2018-09-27,-0.1825755250580962,-0.3725172096286228,-0.0,-0.33410794931380716,1.0,-0.30313061779278294,0.0
2018-09-28,-0.1827310998070514,-0.3725442904753552,-0.0,-0.334129977196983,1.0,-0.3031924223820382,0.0
2018-10-01,-0.18256788173882527,-0.37322893363161813,-0.0,-0.3340790454884415,1.0,-0.3034171162872307,0.0
2018-10-02,-0.19207377756153657,-0.351880929738815,-0.0,-0.34931552292279455,1.0,-0.31828736979454625,0.0
2018-10-03,-0.1921215081938091,-0.3410756317449038,-0.0,-0.35726340098592174,1.0,-0.33008393658124974,0.0
2018-10-04,-0.19942473633748803,-0.33563736092220564,-0.0,-0.36767820910165216,1.0,-0.32696381190216056,0.0
2018-10-05,-0.2015365374307665,-0.3388199035197427,-0.0,-0.3676076469537252,1.0,-0.32537520100053596,0.0
2018-10-08,-0.19913816200768064,-0.33645172814146646,-0.0,-0.37172903456282935,1.0,-0.32544431544163616,0.0
2018-10-09,-0.19403051863784848,-0.33731597082382425,-0.0,-0.37519577571933593,1.0,-0.3309169015975299,0.0
2018-10-10,-0.1945606226655633,-0.3366956677327727,-0.0,-0.37550043613428463,1.0,-0.3298069826217262,0.0
2018-10-11,-0.17436337247658004,-0.32823151691076224,-0.0,-0.36783656594977354,1.0,-0.328627347495272,0.0
2018-10-12,-0.17347161572052403,-0.3239956331877729,-0.0,-0.36329694323144107,1.0,-0.3226419213973799,0.0
2018-10-15,-0.170082860880942,-0.3256432621020497,-0.0,-0.3626035761011775,1.0,-0.3222416048844309,0.0
2018-10-16,-0.16239840515258397,-0.3432427103643175,-0.0,-0.3628496943939361,1.0,-0.32223366267224574,0.0
2018-10-17,-0.1519631184797195,-0.3238387948573655,-0.0,-0.3612397731699926,1.0,-0.3273884247435176,0.0
2018-10-18,-0.15160040686476076,-0.3230895751725929,-0.0,-0.3620230700976043,1.0,-0.32746120717640187,0.0
2018-10-19,-0.14383988649311005,-0.31586301782144166,-0.0,-0.3631790528193994,1.0,-0.3268912440613109,0.0
2018-10-22,-0.14366802838099335,-0.3100193506772737,-0.0,-0.36645882605891206,1.0,-0.3299290475166631,0.0
2018-10-23,-0.14340393506074614,-0.3100741855714439,-0.0,-0.3667347597032577,1.0,-0.3300935383292119,0.0
2018-10-24,-0.14241838487972508,-0.3079037800687285,-0.0,-0.36688144329896905,1.0,-0.33054123711340205,0.0
2018-10-25,-0.12363461014319559,-0.28280604650187646,-0.0,-0.37497117219112314,1.0,-0.31515608948151874,0.0
