Date,IWF,IWM,MTUM,OUT,SPY,VLUE,VXX
2018-09-24,-0.30028956934261597,-0.7318403055880722,-0.0,1.0,-0.553262275891812,-0.49513277062411437,0.0
2018-09-25,-0.29880306021717673,-0.7338659921026653,-0.0,1.0,-0.5547877591312932,-0.49747038499506413,0.0
2018-09-26,-0.2982937891456604,-0.7336089599210145,-0.0,1.0,-0.5549659066366357,-0.4985035944586714,0.0
2018-09-27,-0.29787890950631385,-0.7355274939022507,-0.0,1.0,-0.5552193645990923,-0.49884219951218,0.0
2018-09-28,-0.3043882772522872,-0.7360521011009459,-0.0,1.0,-0.5589083578849433,-0.5019072724453404,0.0
2018-10-01,-0.3040614026910289,-0.7400329386905318,-0.0,1.0,-0.5596780709114073,-0.5036512227712004,0.0
2018-10-02,-0.3055054992854036,-0.734698316038029,-0.0,1.0,-0.5612999440750637,-0.5054371465854719,0.0
2018-10-03,-0.3048041986273718,-0.7275239899382007,-0.0,1.0,-0.5634918170243159,-0.509673612620726,0.0
2018-10-04,-0.31560051200399614,-0.7210514813774157,-0.0,1.0,-0.5788767131841029,-0.5064468795854017,0.0
2018-10-05,-0.30537413696585186,-0.7163027928096037,-0.0,1.0,-0.5802388505318157,-0.5080860857125086,0.0
2018-10-08,-0.30214576281712885,-0.7126665217526318,-0.0,1.0,-0.5833307455827097,-0.5071266652175264,0.0
2018-10-09,-0.2987823818102752,-0.7126793812511648,-0.0,1.0,-0.5848915947070883,-0.5098465552587439,0.0
2018-10-10,-0.298247794209022,-0.7131850379023238,-0.0,1.0,-0.584907418913881,-0.5103765378401889,0.0
2018-10-11,-0.25740892407559074,-0.7011557011557011,-0.0,1.0,-0.5676585676585676,-0.5071435071435071,0.0
2018-10-12,-0.26109879575819306,-0.6944760649451801,-0.0,1.0,-0.5520040740518842,-0.488047450721946,0.0
2018-10-15,-0.2136785866067634,-0.7635541254325784,-0.0,1.0,-0.5555521826240059,-0.5028535000910691,0.0
