Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZNH
2018-09-24,-1.0571641185225273,-1.4527804086050602,-0.3991340819916114,-1.4436476796103368,-1.4122581518062507,0.0,1.0
2018-09-25,-1.060111899563319,-1.4758460698689957,-0.39117085152838427,-1.4624727074235808,-1.433474344978166,0.0,1.0
2018-09-26,-1.061702272882397,-1.4779195959320184,-0.3941710463449594,-1.4621527540782198,-1.429526994744386,0.0,1.0
2018-09-27,-1.0649031906190347,-1.4661848922825198,-0.3971229888191983,-1.461208071993455,-1.4281428961003544,0.0,1.0
2018-09-28,-1.062776906822984,-1.467316474677936,-0.39799604662258875,-1.460432145048054,-1.4276463772067343,0.0,1.0
2018-10-01,-1.0638036809815952,-1.4660531697341515,-0.398227675528289,-1.4609406952965236,-1.427539195637355,0.0,1.0
2018-10-02,-1.0639269406392695,-1.4634362434403325,-0.39998636952225175,-1.4605738431132012,-1.4273836297962244,0.0,1.0
2018-10-03,-1.066739531388756,-1.475169068925473,-0.4021449552565066,-1.461233690825876,-1.4257804494842543,0.0,1.0
2018-10-04,-1.0685183921381287,-1.4685047430560296,-0.4031256398007234,-1.4629768648058419,-1.42141540981369,0.0,1.0
2018-10-05,-1.0503733876442636,-1.454378818737271,-0.38085539714867617,-1.4711473183978276,-1.4320434487440599,0.0,1.0
2018-10-08,-1.046029919447641,-1.44662560075814,-0.37473769715020644,-1.4727543491504773,-1.4290259256752182,0.0,1.0
2018-10-09,-1.0444760357432983,-1.4473327917682102,-0.3702951529921473,-1.4751556999729218,-1.4323043595992417,0.0,1.0
2018-10-10,-1.0447993503417472,-1.4461663395817823,-0.3703052040332949,-1.4753332882181769,-1.4306016106110846,0.0,1.0
2018-10-11,-0.947810123262523,-1.441778127458694,-0.22377393128769998,-1.463808025177026,-1.4793469708890639,0.0,1.0
2018-10-12,-0.9639255236617533,-1.4237134729764673,-0.21166278769071628,-1.4282389449185415,-1.4374191880010343,0.0,1.0
2018-10-15,-0.9454147064509892,-1.4477025198169748,-0.18328285106657213,-1.427337758587356,-1.4408068569955532,0.0,1.0
2018-10-16,-0.9473786032114528,-1.4439285483974977,-0.1872057780357258,-1.428322692977365,-1.4418649642097117,0.0,1.0
2018-10-17,-0.9165871956259138,-1.3741496598639455,-0.14520948566342423,-1.440205988937631,-1.4814673532964586,0.0,1.0
2018-10-18,-0.9168309277039487,-1.3748966745088067,-0.14459210275322695,-1.4403255547784066,-1.4818465060087749,0.0,1.0
2018-10-19,-0.896536523929471,-1.3504408060453401,-0.12052896725440806,-1.4460957178841312,-1.4836272040302267,0.0,1.0
2018-10-22,-0.9096030891941509,-1.3396214471102108,-0.09387858454136862,-1.476482876495537,-1.5107931885801102,0.0,1.0
2018-10-23,-0.9338126725300123,-1.3669512743146948,-0.11613275983822302,-1.480644540026963,-1.5221801373820376,0.0,1.0
2018-10-24,-0.9349708202398511,-1.3615725004809849,-0.1049830051946386,-1.4842557557878535,-1.5272878855896876,0.0,1.0
2018-10-25,-0.8686203899168011,-1.2698994163665713,-0.0766794983236061,-1.517695268843909,-1.4759716875698496,0.0,1.0
2018-10-26,-0.8439794419970632,-1.2431473323543807,-0.04986539402838962,-1.5236784140969164,-1.4577826725403817,0.0,1.0
2018-10-29,-0.8221060311284047,-1.2511551556420235,-0.027054961089494164,-1.5136794747081712,-1.4657101167315176,0.0,1.0
2018-10-30,-0.8259414735048975,-1.2518099409867982,-0.029263247551256314,-1.5140232402506542,-1.462797347447831,0.0,1.0
2018-10-31,-0.8267702312138727,-1.2134513487475913,-0.032394026974951834,-1.5015655105973025,-1.4470134874759153,0.0,1.0
2018-11-01,-0.8189960925758942,-1.2201983769161406,-0.024406372107003308,-1.5010519987977158,-1.4468289750526,0.0,1.0
2018-11-02,-0.8194569322064377,-1.2088952826230295,-0.024096385542168676,-1.4994305580531078,-1.442246598333633,0.0,1.0
2018-11-05,-0.8153780121405357,-1.3218468330369733,-0.011220798332209209,-1.5501256974676556,-1.4330124471150898,0.0,1.0
2018-11-06,-0.8283311851715461,-1.3336402135886578,-0.005339716442644081,-1.5460627263241884,-1.4242926410114773,0.0,1.0
2018-11-07,-0.8237277743715512,-1.3322501532801962,-0.012568976088289394,-1.541140404659718,-1.4216431637032496,0.0,1.0
2018-11-08,-0.7880550003028651,-1.324307953237628,-0.0,-1.5228057423223698,-1.42213338179175,0.0,1.0
2018-11-09,-0.7938884830776722,-1.3337594351107864,-0.0,-1.528609690771853,-1.4308497686876065,0.0,1.0
