Date,IWF,IWM,MTUM,RGNX,SPY,VLUE,VXX
2018-09-24,-1.6277639952540177,-3.243339445583001,-0.5594865710279365,1.0,-2.235141840146694,-2.1204832272678242,0.0
2018-09-25,-1.642787577102045,-3.2480251055080616,-0.5741802835190997,1.0,-2.238394113191213,-2.1179526025321933,0.0
2018-09-26,-1.645873944119558,-3.252761533463288,-0.5785141867013212,1.0,-2.239116309291748,-2.113168724279835,0.0
2018-09-27,-1.657777777777778,-3.2349051490514906,-0.5861246612466124,1.0,-2.2445528455284554,-2.1168563685636856,0.0
2018-09-28,-1.655250894115097,-3.235396120082367,-0.5871897691557385,1.0,-2.2435244391459843,-2.11628915140349,0.0
2018-10-01,-1.6574525745257453,-3.2332791327913277,-0.5878590785907859,1.0,-2.2448780487804876,-2.116639566395664,0.0
2018-10-02,-1.6585392284351972,-3.219982661465106,-0.5933029908972691,1.0,-2.246207195491981,-2.1185522323363677,0.0
2018-10-03,-1.6713958310596966,-3.2613772781840007,-0.5972934628396813,1.0,-2.2585397795481827,-2.124740805413074,0.0
2018-10-04,-1.6871923876189436,-3.249152356994422,-0.6017718473148858,1.0,-2.27912063874002,-2.120091873564476,0.0
2018-10-05,-1.6503314136694556,-3.2286211018146256,-0.5618819950016299,1.0,-2.2896881451700533,-2.1354992937085733,0.0
2018-10-08,-1.6412337662337664,-3.2152597402597407,-0.5515151515151515,1.0,-2.2874458874458874,-2.127056277056277,0.0
2018-10-09,-1.6429190125595499,-3.217518406236466,-0.553161541792984,1.0,-2.2874621048072763,-2.1261368557817235,0.0
2018-10-10,-1.6457025330158042,-3.2144403550552068,-0.5563974886339035,1.0,-2.288807101104135,-2.1196146352024248,0.0
2018-10-11,-1.4769930720711404,-3.176507083031744,-0.3444318064315996,1.0,-2.215696411953262,-2.126357150242994,0.0
2018-10-12,-1.4932260364673526,-3.1580931037995312,-0.3240297443210757,1.0,-2.1562595497606196,-2.0548028929408173,0.0
2018-10-15,-1.4518157841347128,-3.216778251166565,-0.26496246703185233,1.0,-2.1511462771353216,-2.059342665855143,0.0
2018-10-16,-1.4529680365296804,-3.215423642820903,-0.26676813800101473,1.0,-2.151902587519026,-2.060172501268392,0.0
2018-10-17,-1.393030393030393,-3.0990000990000985,-0.20651420651420652,1.0,-2.1307791307791306,-2.0707850707850706,0.0
2018-10-18,-1.3918638028308423,-3.0970998713253493,-0.2070672077600713,1.0,-2.131644066118975,-2.0703751360981886,0.0
2018-10-19,-1.3636094382466184,-3.0868792575772535,-0.1643795043933261,1.0,-2.164182051535196,-2.0935926547536776,0.0
2018-10-22,-1.3663032705649159,-3.106541129831516,-0.17809712586719523,1.0,-2.1646184340931613,-2.095242814667988,0.0
2018-10-23,-1.3688695135242246,-3.1047260477558707,-0.18507876746259783,1.0,-2.158327553750124,-2.0909541266224116,0.0
2018-10-24,-1.3727705112960762,-3.1005747126436787,-0.1657748711850971,1.0,-2.167162108600872,-2.1024573919936587,0.0
2018-10-25,-1.2551536731634185,-2.922226386806597,-0.12799850074962518,1.0,-2.1035419790104948,-1.9614880059970015,0.0
2018-10-26,-1.2253690036900369,-2.883210332103321,-0.10470479704797049,1.0,-2.0838560885608857,-1.9279520295202954,0.0
2018-10-29,-1.185438418183498,-2.944839693245865,-0.05451353598817333,1.0,-2.0831562413378912,-1.971634482121408,0.0
2018-10-30,-1.1720221606648198,-2.94561403508772,-0.04515235457063713,1.0,-2.0850415512465377,-1.9856879039704525,0.0
2018-10-31,-1.177633385192642,-2.8866111467008326,-0.044568500045758214,1.0,-2.075501052438913,-1.9673286354900703,0.0
2018-11-01,-1.1765998352101072,-2.893069669504715,-0.03698617595898563,1.0,-2.079007598645061,-1.9693307699349996,0.0
2018-11-02,-1.1851247165532879,-2.825124716553288,-0.02104308390022676,1.0,-2.0880725623582768,-1.9510204081632654,0.0
2018-11-05,-1.1774573812114617,-2.8475698222705836,-0.020311933260790713,1.0,-2.0887740297424737,-1.933714182081973,0.0
2018-11-06,-1.1908909453819632,-2.858646343676284,-0.015151515151515152,1.0,-2.0840137906006166,-1.9240609689711488,0.0
2018-11-07,-1.1850104346248072,-2.859450140640595,-0.027311496234461483,1.0,-2.0791216767988385,-1.9226930405589329,0.0
2018-11-08,-1.1253354804079443,-2.853283234925747,-0.0,1.0,-2.047861871533369,-1.9195741635355161,0.0
2018-11-09,-1.1355733717683092,-2.8724439239708133,-0.0,1.0,-2.0626069723448337,-1.9374831096297631,0.0
2018-11-12,-1.1283771694399714,-2.8322597960279117,-0.0,1.0,-2.0633387010198603,-1.922168545356951,0.0
2018-11-13,-1.0682078884673079,-2.8139062913615107,-0.0,1.0,-2.0462366540192356,-1.8954381011206212,0.0
2018-11-14,-1.0692545213939126,-2.81243934715483,-0.0,1.0,-2.0459638288486985,-1.894574327304808,0.0
2018-11-15,-1.0654609616232906,-2.815880017644464,-0.0,1.0,-2.0468460520511687,-1.8940449933833259,0.0
2018-11-16,-1.05560435699227,-2.7977863668306395,-0.0,1.0,-2.0379479971890375,-1.8929198875614897,0.0
2018-11-19,-1.051627088830255,-2.8036059806508358,-0.0,1.0,-2.043359718557608,-1.8964819700967457,0.0
2018-11-20,-0.9837178929037875,-2.7824989116238577,-0.0,1.0,-2.0326512842838484,-1.9081410535481065,0.0
2018-11-21,-1.007898619911466,-2.784480513844284,-0.0,1.0,-2.0435726065445707,-1.843850360211787,0.0
2018-11-23,-1.0100537354827528,-2.7569769457444964,-0.0,1.0,-2.0538221528861156,-1.8461605130871903,0.0
2018-11-26,-1.0081519382534039,-2.7720058971468213,-0.0,1.0,-2.0501257479836963,-1.841904431532391,0.0
2018-11-27,-0.9820828667413214,-2.775691274011543,-0.0,1.0,-2.0325609440950987,-1.8236712895167544,0.0
2018-11-28,-0.9826858471875269,-2.7764665345852357,-0.0,1.0,-2.0314411232664313,-1.8233267292617796,0.0
2018-11-29,-0.8871106522113233,-2.7739631732920325,-0.0,1.0,-2.0640165203923595,-1.879280674582688,0.0
