Date,IWF,IWM,MTSI,MTUM,SPY,VLUE,VXX
2018-09-24,-1.699014481094127,-2.509050683829445,1.0,-0.9203539823008849,-2.027051488334674,-1.9007441673370877,0.0
2018-09-25,-1.6991052578666934,-2.5082939579772794,1.0,-0.9204785362420831,-2.0260380014074593,-1.8993666432090075,0.0
2018-09-26,-1.7017437758290495,-2.5151698417498234,1.0,-0.916339078721903,-2.0342707388368106,-1.9122064308033462,0.0
2018-09-27,-1.7016023380026202,-2.5151667842386374,1.0,-0.9145419731935907,-2.034364607477577,-1.9119217978433942,0.0
2018-09-28,-1.7029233870967742,-2.5150201612903227,1.0,-0.9152217741935483,-2.0349798387096776,-1.9125,0.0
2018-10-01,-1.7058942472955212,-2.5257304620361944,1.0,-0.91871398240825,-2.040440804772015,-1.9193205944798302,0.0
2018-10-02,-1.7063644642315088,-2.535768491348781,1.0,-0.9169280582818983,-2.040271172720834,-1.919052919154103,0.0
2018-10-03,-1.7046097856854023,-2.5280024262029928,1.0,-0.9148807116862111,-2.0407399919126568,-1.9209462191670037,0.0
2018-10-04,-1.7072727272727273,-2.5188888888888887,1.0,-0.9156565656565656,-2.0436363636363635,-1.9156565656565656,0.0
2018-10-05,-1.6816355234076754,-2.5037170986538073,1.0,-0.884769941731967,-2.050431987140848,-1.9255575647980712,0.0
2018-10-08,-1.6798192771084337,-2.5066265060240966,1.0,-0.8768072289156628,-2.051807228915663,-1.9251004016064257,0.0
2018-10-09,-1.6844328238133548,-2.5127715205148835,1.0,-0.880229283990346,-2.0540024135156876,-1.924979887369268,0.0
2018-10-10,-1.6849618013671088,-2.511158021712907,1.0,-0.8805790108564535,-2.053880176919984,-1.9217933252915158,0.0
2018-10-11,-1.5546761895569927,-2.4834475436733907,1.0,-0.6986777338094778,-1.997587105491748,-1.917189460476788,0.0
2018-10-12,-1.5665744010690084,-2.4711272310775985,1.0,-0.680633769208743,-1.958098692373771,-1.8682829054118544,0.0
2018-10-15,-1.5325663211942568,-2.5193496244176092,1.0,-0.6301226585528192,-1.9538841875059427,-1.8724921555576686,0.0
2018-10-16,-1.5284777027669487,-2.533897499286869,1.0,-0.6194732338119235,-1.953979271655415,-1.8725872397071408,0.0
