Date,ARGO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.21570899635397528,-0.6952884316441027,-0.03145756196828806,-0.45261581074588053,-0.431304937678415,0.0
2018-09-25,1.0,-0.21992417383431417,-0.6938094160253508,-0.036809642372114086,-0.451052512449072,-0.4277387958352196,0.0
2018-09-26,1.0,-0.22005318847960165,-0.6939964918236858,-0.0372036439766876,-0.4509138233463475,-0.4270355910145419,0.0
2018-09-27,1.0,-0.22127046052073618,-0.6900743504933141,-0.03827778248946937,-0.4506827241116106,-0.42670963729398126,0.0
2018-09-28,1.0,-0.22033754558561613,-0.6907528340824923,-0.03870183473270574,-0.45051310321431604,-0.42670963729398126,0.0
2018-10-01,1.0,-0.21993019890474702,-0.6967624776551371,-0.03929858411599466,-0.45200465340635015,-0.42944698237947965,0.0
2018-10-02,1.0,-0.2212146351231513,-0.7288668936121522,-0.030952312841490973,-0.4516978001544755,-0.42792573733443945,0.0
2018-10-03,1.0,-0.2221712187284829,-0.7169210465916915,-0.02825912324994262,-0.4606954326371357,-0.44092839109479,0.0
2018-10-04,1.0,-0.2221201859610859,-0.7173563680192848,-0.028554209952361822,-0.4603684784480285,-0.44137060207771334,0.0
2018-10-05,1.0,-0.21274832070887523,-0.7138773760182936,-0.01960840360154352,-0.465056452765471,-0.4470773188509361,0.0
2018-10-08,1.0,-0.21117072892288372,-0.711456133340944,-0.016210970945830242,-0.4683201095952965,-0.4468862377989611,0.0
2018-10-09,1.0,-0.2115884115884116,-0.7116883116883117,-0.0171257314114457,-0.4678464392750107,-0.44601113172541745,0.0
2018-10-10,1.0,-0.21444082519001087,-0.7108120464026515,-0.019743985370592604,-0.4701982970455455,-0.44213955083147605,0.0
2018-10-11,1.0,-0.1835770402885341,-0.7078032823552437,-0.0,-0.45975340397573183,-0.4447675231358515,0.0
2018-10-12,1.0,-0.1830837784727796,-0.704436633361933,-0.0,-0.44842379120422904,-0.4317621986659655,0.0
2018-10-15,1.0,-0.15577013529590794,-0.7328390006363612,-0.0,-0.4443737376532109,-0.43377694159311625,0.0
2018-10-16,1.0,-0.1572654303902574,-0.7310822031552726,-0.0,-0.4450318295045668,-0.43440354276224746,0.0
2018-10-17,1.0,-0.14475805349872947,-0.7084073335337031,-0.0,-0.44113227137353483,-0.43799010901937213,0.0
2018-10-18,1.0,-0.1443011692711179,-0.707600262266419,-0.0,-0.44200087422139656,-0.4380668779368375,0.0
2018-10-19,1.0,-0.12904801976166563,-0.6994218084095659,-0.0,-0.4462933304378512,-0.43972420532587747,0.0
2018-10-22,1.0,-0.12940346306247624,-0.6971720132443141,-0.0,-0.44699560332193455,-0.44040058622374206,0.0
2018-10-23,1.0,-0.13062354154230207,-0.6971020784718078,-0.0,-0.4459217452651002,-0.4397894394095621,0.0
2018-10-24,1.0,-0.1289072030796758,-0.6938487814135061,-0.0,-0.44655298614688105,-0.44164610838506796,0.0
2018-10-25,1.0,-0.09960916869124326,-0.661059469736981,-0.0,-0.4602038660610542,-0.41987958170486955,0.0
2018-10-26,1.0,-0.09126880142550181,-0.652953199517845,-0.0,-0.46168963890781406,-0.41449609559247413,0.0
2018-10-29,1.0,-0.0757030312516304,-0.6599885219387489,-0.0,-0.4548181770751813,-0.41814055407732037,0.0
2018-10-30,1.0,-0.06298945389996867,-0.6612456928056802,-0.0,-0.45645818105878666,-0.4297013678604992,0.0
2018-10-31,1.0,-0.06438950843536355,-0.6533832436507319,-0.0,-0.4546517975512751,-0.42707114819724973,0.0
2018-11-01,1.0,-0.039948923750456035,-0.6769948402564236,-0.0,-0.4578099755042476,-0.43117735967061027,0.0
