Date,CONN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0903721682847896,-2.299110032362459,-0.17985436893203882,-1.6898058252427184,-1.8313915857605179,0.0
2018-09-25,1.0,-1.0902614749453574,-2.3010604711406137,-0.17882295798591433,-1.6915728972719177,-1.833562697320489,0.0
2018-09-26,1.0,-1.0921052631578947,-2.3069363222871995,-0.1732456140350877,-1.7003736192332686,-1.8494152046783627,0.0
2018-09-27,1.0,-1.0986521597921404,-2.2916531341344593,-0.17814225397856448,-1.7015264696329977,-1.8495453069178303,0.0
2018-09-28,1.0,-1.095818107998376,-2.2941128704831506,-0.1796183516037353,-1.7011774259033698,-1.8494518879415347,0.0
2018-10-01,1.0,-1.095590026800942,-2.2948103630309427,-0.18037846178835376,-1.7010476731909363,-1.84958986437099,0.0
2018-10-02,1.0,-1.0960038986354776,-2.2949155295646526,-0.18201754385964913,-1.7003736192332686,-1.8487654320987654,0.0
2018-10-03,1.0,-1.0975530444679293,-2.299975611738883,-0.18364360621087716,-1.7005121534834569,-1.8477359564263067,0.0
2018-10-04,1.0,-1.0994883456509381,-2.292211483797612,-0.18460164054251604,-1.7024283277836432,-1.842767806383497,0.0
2018-10-05,1.0,-1.070838730569948,-2.2815738341968914,-0.14928756476683938,-1.723121761658031,-1.87095207253886,0.0
2018-10-08,1.0,-1.0655790663866904,-2.2736230011306735,-0.14004199644645454,-1.7279922468098854,-1.8689226296236472,0.0
2018-10-09,1.0,-1.0628534496687672,-2.275569558894813,-0.1320891904992729,-1.7327516561641623,-1.8755857165939571,0.0
2018-10-10,1.0,-1.0631459948320412,-2.273982558139535,-0.1322674418604651,-1.732719638242894,-1.8728197674418603,0.0
2018-10-11,1.0,-0.9231547804422298,-2.2643257552164435,-0.0,-1.6916069760199315,-1.9066490189971972,0.0
2018-10-12,1.0,-0.9266252206616011,-2.2483690229488067,-0.0,-1.6437946120193416,-1.8563972676337404,0.0
2018-10-15,1.0,-0.8759660264748642,-2.2903053026245312,-0.0,-1.6301935878797154,-1.8552299334302549,0.0
2018-10-16,1.0,-0.8724950283004437,-2.294477589108154,-0.0,-1.6283463362398654,-1.8533731069297843,0.0
2018-10-17,1.0,-0.8139169472502806,-2.201346801346802,-0.0,-1.606359895248784,-1.8606808829031054,0.0
2018-10-18,1.0,-0.8142964071856288,-2.2033682634730543,-0.0,-1.606062874251497,-1.8613023952095809,0.0
2018-10-19,1.0,-0.7837958154028787,-2.186674580798338,-0.0,-1.5954147499629023,-1.8535391007567885,0.0
2018-10-22,1.0,-0.7846907714009949,-2.1697973123468706,-0.0,-1.6065038235949216,-1.8634642512435964,0.0
2018-10-23,1.0,-0.7822724568709103,-2.173111243307555,-0.0,-1.6125074360499703,-1.868158834027365,0.0
2018-10-24,1.0,-0.7834266517357222,-2.1707353490108243,-0.0,-1.625158641284061,-1.8861515490854794,0.0
2018-10-25,1.0,-0.6880057286072324,-2.0542069459362695,-0.0,-1.6129609738632296,-1.8055137844611528,0.0
2018-10-26,1.0,-0.6443357436551822,-2.0275060258046222,-0.0,-1.6292357861902738,-1.7880334609386077,0.0
2018-10-29,1.0,-0.6041388048145281,-2.0359681846976843,-0.0,-1.6075878088266349,-1.791088899838108,0.0
2018-10-30,1.0,-0.5842483108108107,-2.036951013513513,-0.0,-1.6090230855855856,-1.8079954954954953,0.0
2018-10-31,1.0,-0.5802624232272474,-2.0089335566722504,-0.0,-1.5962451144611949,-1.7939698492462313,0.0
2018-11-01,1.0,-0.5244750283768445,-2.1079738933030647,-0.0,-1.6309591373439274,-1.8308740068104425,0.0
2018-11-02,1.0,-0.5328590547298724,-2.0464886947946748,-0.0,-1.6453476086497145,-1.81897583996619,0.0
2018-11-05,1.0,-0.5242939460766878,-2.1183751867397027,-0.0,-1.6699864836024756,-1.801166678523156,0.0
2018-11-06,1.0,-0.5336938731943357,-2.1262363908062336,-0.0,-1.6643421333523092,-1.7916459119049315,0.0
2018-11-07,1.0,-0.5314232902033271,-2.1254798805630597,-0.0,-1.662164083605858,-1.7902744205886534,0.0
2018-11-08,1.0,-0.4617567759330211,-2.1517667092379735,-0.0,-1.6569462182489,-1.824677167589045,0.0
2018-11-09,1.0,-0.46082752737096544,-2.156192236598891,-0.0,-1.664367979525096,-1.8279539314659463,0.0
2018-11-12,1.0,-0.4549307714043515,-2.1268013563153434,-0.0,-1.6648064424978808,-1.8176744843176038,0.0
2018-11-13,1.0,-0.39311695579182987,-2.121222719641858,-0.0,-1.6673195299384442,-1.8132344711807498,0.0
2018-11-14,1.0,-0.39661088159092506,-2.121490091730271,-0.0,-1.6700511168685666,-1.8141586723618794,0.0
2018-11-15,1.0,-0.3930268306316378,-2.121506428172163,-0.0,-1.6719536053661264,-1.8006567915036333,0.0
2018-11-16,1.0,-0.38456179462170825,-2.1012958060470948,-0.0,-1.6696391249825833,-1.8112024522781105,0.0
2018-11-19,1.0,-0.4033648790746583,-2.109919383105503,-0.0,-1.676621100595864,-1.8202593760953383,0.0
2018-11-20,1.0,-0.32089241034195165,-2.0920211287183763,-0.0,-1.6801501251042534,-1.8571726438698914,0.0
2018-11-21,1.0,-0.3135773641920198,-2.0738273470228696,-0.0,-1.6627978847606621,-1.817457592198338,0.0
2018-11-23,1.0,-0.31331001851470897,-2.062812864294041,-0.0,-1.6644723307961327,-1.8167043818144417,0.0
2018-11-26,1.0,-0.3118146929824561,-2.0680509868421053,-0.0,-1.6604989035087718,-1.8127055921052635,0.0
2018-11-27,1.0,-0.29003062266076896,-2.0688669615515485,-0.0,-1.64634229329704,-1.7997277985709423,0.0
2018-11-28,1.0,-0.2907791765906771,-2.0702960190541,-0.0,-1.6451854372235455,-1.7987750935692413,0.0
2018-11-29,1.0,-0.23250050237792214,-2.0382477058074886,-0.0,-1.629312077165249,-1.7983120101815258,0.0
2018-11-30,1.0,-0.23375578354455842,-2.041976798766177,-0.0,-1.6348823174411586,-1.794876952994032,0.0
2018-12-03,1.0,-0.23035702324335183,-2.0415299082322993,-0.0,-1.6333980842655236,-1.793154263513966,0.0
2018-12-04,1.0,-0.21605391339160604,-2.042770401014212,-0.0,-1.62534196303463,-1.7882831787549212,0.0
2018-12-06,1.0,-0.20285158781594298,-1.9574206092028519,-0.0,-1.5862605314322749,-1.734413480233312,0.0
2018-12-07,1.0,-0.20921939834024897,-1.957533713692946,-0.0,-1.586877593360996,-1.7297069502074691,0.0
2018-12-10,1.0,-0.15907637200972238,-1.958168095177178,-0.0,-1.5771395676090572,-1.7019316873480874,0.0
2018-12-11,1.0,-0.1683833407971339,-1.9550892457296396,-0.0,-1.579681402341501,-1.6943893544878765,0.0
2018-12-12,1.0,-0.16523357289527718,-1.9620123203285418,-0.0,-1.5845739219712525,-1.7050179671457906,0.0
2018-12-13,1.0,-0.16666666666666669,-1.9621946490887943,-0.0,-1.6200723794752492,-1.7135840765154455,0.0
2018-12-14,1.0,-0.16475170399221034,-1.9884453099642974,-0.0,-1.6179162609542357,-1.7202856215514446,0.0
2018-12-17,1.0,-0.13527474656163233,-1.9860528184929296,-0.0,-1.596887712274811,-1.7388131981662036,0.0
2018-12-18,1.0,-0.10376084860173579,-1.9694631951141113,-0.0,-1.6,-1.7555769848923175,0.0
2018-12-19,1.0,-0.11023925906869049,-1.9683560586570619,-0.0,-1.598147671726267,-1.7548880885001283,0.0
2018-12-20,1.0,-0.10845529494471783,-1.9477855179906691,-0.0,-1.5928292963507382,-1.741931360644213,0.0
2018-12-21,1.0,-0.09541062801932368,-1.9511823035850497,-0.0,-1.5977625222476481,-1.7121789982201883,0.0
2018-12-24,1.0,-0.06407510080645161,-1.9230720766129032,-0.0,-1.585748487903226,-1.727507560483871,0.0
2018-12-26,1.0,-0.06052450397446329,-1.9523690304813168,-0.0,-1.54234211679289,-1.7038242473555738,0.0
2018-12-27,1.0,-0.0,-1.869238117984237,-0.0,-1.4118700740386914,-1.689754000477669,0.0
2018-12-28,1.0,-0.0,-1.902976979631192,-0.0,-1.4256960347113414,-1.6976618054718573,0.0
2018-12-31,1.0,-0.0,-1.9329524041091728,-0.0,-1.437967296820862,-1.7077381314205826,0.0
2019-01-02,1.0,-0.0,-1.9313612342829376,-0.0,-1.4328494199113162,-1.7100164004130474,0.0
2019-01-03,1.0,-0.0,-1.9327133479212253,-0.0,-1.4308898614150256,-1.7146243617797228,0.0
2019-01-04,1.0,-0.0,-1.9367111540551967,-0.0,-1.3869194999698051,-1.715381363608914,0.0
2019-01-07,1.0,-0.0,-1.8770880227461202,-0.0,-1.3698021561426372,-1.6765786044307547,0.0
2019-01-08,1.0,-0.0,-1.8499201703033528,-0.0,-1.3897463189639878,-1.673644373484714,0.0
2019-01-09,1.0,-0.0,-1.8302343427188477,-0.0,-1.3888200224307892,-1.6837258721445014,0.0
2019-01-10,1.0,-0.0,-1.8281517314612707,-0.0,-1.388944605038051,-1.6822606335909387,0.0
