Date,IWF,IWM,MTUM,SOGO,SPY,VLUE,VXX
2018-09-24,-1.1935582353839107,-2.037246221950847,-0.38704014654251256,1.0,-1.5625858647534727,-1.4519920622805678,0.0
2018-09-25,-1.194018463416495,-2.035629816128786,-0.3884184023804074,1.0,-1.5612268253604946,-1.450217441062028,0.0
2018-09-26,-1.194132477652991,-2.0375888150355257,-0.38429215371686143,1.0,-1.5652838261135305,-1.4587057834823132,0.0
2018-09-27,-1.1998625849301474,-2.021757386060005,-0.38888464768302927,1.0,-1.5655393541491718,-1.4581265745476755,0.0
2018-09-28,-1.2,-2.0209160305343508,-0.38969465648854956,1.0,-1.5651145038167937,-1.4579389312977098,0.0
2018-10-01,-1.2099210304377828,-2.025760944567968,-0.3893276086789849,1.0,-1.5765544736640345,-1.4654604002146747,0.0
2018-10-02,-1.2134693564470354,-2.001380685740584,-0.3989414742655519,1.0,-1.5835698396870443,-1.4731149804402852,0.0
2018-10-03,-1.2155642621187677,-2.0104478758546516,-0.4004763002227856,1.0,-1.5840055312283936,-1.4718445110240455,0.0
2018-10-04,-1.2189562547966233,-2.000306983883346,-0.40184190330007674,1.0,-1.5877973906369915,-1.4656945510360706,0.0
2018-10-05,-1.1966262117395619,-1.987252881459431,-0.37447523089840473,1.0,-1.597358980230517,-1.4772918097855126,0.0
2018-10-08,-1.1928729155562323,-1.9814208482448794,-0.36929871316530877,1.0,-1.5970456102946775,-1.4737683697555775,0.0
2018-10-09,-1.1893933613124763,-1.9879435330026705,-0.3545211751239985,1.0,-1.6093094238840138,-1.4893552079359023,0.0
2018-10-10,-1.196482295764869,-2.0209056545552726,-0.3455990125742498,1.0,-1.6296382010337114,-1.5216385096042584,0.0
2018-10-11,-1.0827673706993057,-2.023658481976267,-0.17717740129860438,1.0,-1.609373833868199,-1.5703410702291216,0.0
2018-10-12,-1.137832984136486,-2.0505836575875485,-0.16739000299311582,1.0,-1.589568991319964,-1.5373391200239448,0.0
2018-10-15,-1.1120805369127518,-2.0879194630872484,-0.1285607755406413,1.0,-1.5875466070096942,-1.541014168530947,0.0
2018-10-16,-1.1085415889593435,-2.1040656471465873,-0.11726967549421859,1.0,-1.5886609474076838,-1.541514360313316,0.0
2018-10-17,-1.0690185171631412,-2.0157359291517234,-0.0723852740979287,1.0,-1.5894020346922344,-1.5724950596501501,0.0
2018-10-18,-1.0713657678780775,-2.021101992966002,-0.0699736225087925,1.0,-1.589976553341149,-1.5746629542790154,0.0
2018-10-19,-1.0477709314969192,-1.9972453787604205,-0.041609278724175434,1.0,-1.5916636462486409,-1.5707865168539326,0.0
2018-10-22,-1.0473321234119781,-2.0047912885662433,-0.050308529945553536,1.0,-1.5885299455535389,-1.5685662431941922,0.0
2018-10-23,-1.0579667928925138,-2.010413632391494,-0.06597727934750947,1.0,-1.5813428488202739,-1.5665598601806001,0.0
2018-10-24,-1.0610714805648567,-2.005532100742466,-0.05015286067841025,1.0,-1.5875673314892997,-1.574756150822536,0.0
2018-10-25,-0.9817939920173658,-1.8939149919473426,-0.02191723268678664,1.0,-1.6043694419158323,-1.500315103984315,0.0
2018-10-26,-0.9440481961083027,-1.8685686586801469,-0.0,1.0,-1.6266186552177826,-1.4854926944117441,0.0
2018-10-29,-0.8936537531938402,-1.899178233547407,-0.0,1.0,-1.6080381189144397,-1.5047993923071612,0.0
2018-10-30,-0.8898246582907635,-1.8987298080905706,-0.0,1.0,-1.607621151456579,-1.5070412812370566,0.0
2018-10-31,-0.9078575855657324,-1.8532470215549894,-0.0,1.0,-1.6184835755113285,-1.5069898767302528,0.0
2018-11-01,-0.9127706523238173,-1.8523651910081365,-0.0,1.0,-1.621293614673838,-1.509102192800993,0.0
2018-11-02,-0.924876673713883,-1.925369978858351,-0.0,1.0,-1.6465821000704721,-1.550387596899225,0.0
2018-11-05,-0.9299336064415877,-1.9193388896736825,-0.0,1.0,-1.6507275038847293,-1.5631445119367142,0.0
2018-11-06,-0.9334274620543593,-1.9209318743381576,-0.0,1.0,-1.6470172961524887,-1.5582068478644546,0.0
2018-11-07,-0.9319449346981997,-1.9236145428873985,-0.0,1.0,-1.6451817860924816,-1.5589128132721497,0.0
2018-11-08,-0.8575857938129801,-1.952011838489183,-0.0,1.0,-1.640194489465154,-1.5968571629906279,0.0
2018-11-09,-0.8578172338476714,-1.9513844853096596,-0.0,1.0,-1.6400338194884803,-1.5964912280701755,0.0
2018-11-12,-0.853648279245812,-1.9301885469965656,-0.0,1.0,-1.638045840050466,-1.5872993621644356,0.0
2018-11-13,-0.7895525583386855,-1.9860843502462,-0.0,1.0,-1.7185470634410904,-1.642046670948405,0.0
2018-11-14,-0.7932561794542078,-1.9861408772681812,-0.0,1.0,-1.7214602086012287,-1.6429489927132448,0.0
2018-11-15,-0.7954398795439879,-2.00293970029397,-0.0,1.0,-1.7446045744604575,-1.6270165627016562,0.0
2018-11-16,-0.7881815586640023,-1.9827290893519842,-0.0,1.0,-1.7365829289180703,-1.6292463602626321,0.0
2018-11-19,-0.7969274740978922,-1.9829224723115397,-0.0,1.0,-1.735334047874241,-1.6302250803858522,0.0
2018-11-20,-0.6975207785749804,-1.9672515450735242,-0.0,1.0,-1.751722668182141,-1.6873623641400866,0.0
2018-11-21,-0.7043764903913592,-1.9464160471314347,-0.0,1.0,-1.7372001683265532,-1.6256136905596859,0.0
