Date,IWF,IWM,MTUM,SPY,TGP,VLUE,VXX
2018-09-24,-0.32548576451015476,-0.70926327023888,-0.002887905326929717,-0.5734689393225978,1.0,-0.5278902595975766,0.0
2018-09-25,-0.3338799709861554,-0.7103346053171025,-0.011416317133936737,-0.573591094011164,1.0,-0.5244252420448453,0.0
2018-09-26,-0.33398777668703883,-0.712657145571424,-0.00623832293612844,-0.578675702207163,1.0,-0.5351024414959308,0.0
2018-09-27,-0.3368457692551104,-0.7053351053730775,-0.008385545218657047,-0.5788241250553762,1.0,-0.5349661413834567,0.0
2018-09-28,-0.36633663366336633,-0.7292095546188282,-0.0048688037120543735,-0.6075874914224095,1.0,-0.5596510146064111,0.0
2018-10-01,-0.3800510638297872,-0.7856,-0.005072340425531915,-0.639863829787234,1.0,-0.5936680851063829,0.0
2018-10-02,-0.3906475810336522,-0.755522675658936,-0.019062693551717018,-0.6608973917830845,1.0,-0.6147546624458056,0.0
2018-10-03,-0.39191891332827694,-0.7623250361994071,-0.020168241053575123,-0.6604150865338206,1.0,-0.6127697717713577,0.0
2018-10-04,-0.391680750525989,-0.7634256544683199,-0.020591177180698788,-0.6598489290518401,1.0,-0.6135618942503362,0.0
2018-10-05,-0.3956667704980445,-0.7718132419617207,-0.017374450558958917,-0.6624441906344096,1.0,-0.6137818848856124,0.0
2018-10-08,-0.3938315949437038,-0.768494853906196,-0.01433308005802307,-0.6643641638461006,1.0,-0.6127650756372176,0.0
2018-10-09,-0.39277449659793456,-0.7689358615687493,-0.011432321348392222,-0.6659068144924533,1.0,-0.6148240251441992,0.0
2018-10-10,-0.3934058346279993,-0.767892283790782,-0.012118073537027447,-0.6661833247022267,1.0,-0.6128085620576558,0.0
2018-10-11,-0.35144221071740733,-0.7524709204598937,-0.0,-0.6470785988032005,1.0,-0.6108384320580919,0.0
2018-10-12,-0.3549606926062294,-0.7429926692539888,-0.0,-0.629084154310545,1.0,-0.5900421269114672,0.0
2018-10-15,-0.3418370723314142,-0.7525312686122693,-0.0,-0.6256038647342995,1.0,-0.5889087419760439,0.0
2018-10-16,-0.34187016081000593,-0.7524981801336775,-0.0,-0.6255707762557078,1.0,-0.5888756534974522,0.0
2018-10-17,-0.324036709190315,-0.7180421765165321,-0.0,-0.61910960687321,1.0,-0.5931723509502733,0.0
2018-10-18,-0.3241439916677516,-0.7185913292540034,-0.0,-0.6188321833094649,1.0,-0.593217029032678,0.0
2018-10-19,-0.3082935021315075,-0.7060780260948197,-0.0,-0.621883477586875,1.0,-0.5933341945485079,0.0
2018-10-22,-0.30848453541680115,-0.7033318266933557,-0.0,-0.622618970749661,1.0,-0.5940789048879705,0.0
2018-10-23,-0.3104806171524483,-0.7032374681256255,-0.0,-0.6209289564571835,1.0,-0.5931377295761919,0.0
2018-10-24,-0.3088083569770441,-0.6992519989682744,-0.0,-0.6213889605364974,1.0,-0.594660820221821,0.0
2018-10-25,-0.28411191528025814,-0.6613403515367985,-0.0,-0.6194817808691293,1.0,-0.5681924992950466,0.0
2018-10-26,-0.2608979947689625,-0.6525719267654752,-0.0,-0.6367231286586126,1.0,-0.5635197409390957,0.0
2018-10-29,-0.24422963720296184,-0.6582396133469653,-0.0,-0.628775908541686,1.0,-0.5669362084456424,0.0
2018-10-30,-0.2499922458980801,-0.6590676467851494,-0.0,-0.6293849446357123,1.0,-0.5631649142396329,0.0
2018-10-31,-0.25906687691308783,-0.6359645054571315,-0.0,-0.6342330643415887,1.0,-0.5625637695946573,0.0
2018-11-01,-0.2607646622123237,-0.6351150705270973,-0.0,-0.6345892105914377,1.0,-0.5628247958426132,0.0
