Date,HCI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.39825238132724555,-1.1803904589467054,-0.0,-0.7325434936629143,-0.6248917578524759,0.0
2018-09-25,1.0,-0.3996931187787701,-1.179289451941614,-0.0,-0.731833025140654,-0.6235983790376519,0.0
2018-09-26,1.0,-0.398416574759729,-1.1792579171262014,-0.0,-0.7331416417204979,-0.6280132345990231,0.0
2018-09-27,1.0,-0.40893470790378006,-1.1692143618912192,-0.0,-0.7391476083264209,-0.6326578978551961,0.0
2018-09-28,1.0,-0.41013078351574545,-1.1685961515666365,-0.0,-0.7394602710498243,-0.6330159231893793,0.0
2018-10-01,1.0,-0.4100110706942907,-1.1702910011070695,-0.0,-0.739680531393326,-0.6338763245294955,0.0
2018-10-02,1.0,-0.41587490102929536,-1.152454473475851,-0.0,-0.7480997624703088,-0.6424386381631038,0.0
2018-10-03,1.0,-0.41659052083747167,-1.1380954272774224,-0.0,-0.759286480473561,-0.6588137141949069,0.0
2018-10-04,1.0,-0.4172458990348334,-1.136751797275291,-0.0,-0.7595424395281408,-0.6583389601620527,0.0
2018-10-05,1.0,-0.39311027519303104,-1.127618293407246,-0.0,-0.7687586616511581,-0.6701247277766779,0.0
2018-10-08,1.0,-0.388961321164711,-1.1227924617755125,-0.0,-0.7710086523645845,-0.6681284816878038,0.0
2018-10-09,1.0,-0.39338555265448216,-1.1252868106654006,-0.0,-0.7710261887807579,-0.6663106258406519,0.0
2018-10-10,1.0,-0.39500118642727206,-1.1242584829549949,-0.0,-0.7720082258957527,-0.663450130507,0.0
2018-10-11,1.0,-0.3146444792183504,-1.1063699858784015,-0.0,-0.7372619365673065,-0.6583718178695469,0.0
2018-10-12,1.0,-0.3182074514079477,-1.098575134403549,-0.0,-0.7132974923869319,-0.6294597541260949,0.0
2018-10-15,1.0,-0.27260004538921245,-1.158030108177623,-0.0,-0.7125728118617142,-0.6391935849913004,0.0
2018-10-16,1.0,-0.2701282002798472,-1.161744128880989,-0.0,-0.7116060961313013,-0.638278561434028,0.0
2018-10-17,1.0,-0.24328336054623717,-1.1147394982930088,-0.0,-0.7051729256345555,-0.6476547424669734,0.0
2018-10-18,1.0,-0.2423274132421788,-1.1131381437170247,-0.0,-0.7104480939288103,-0.6496247306234674,0.0
2018-10-19,1.0,-0.22042079663952244,-1.1012933416853972,-0.0,-0.7140646302369283,-0.6489553778694866,0.0
2018-10-22,1.0,-0.22063047801428887,-1.094829491051042,-0.0,-0.7162112395963761,-0.6510274729321647,0.0
2018-10-23,1.0,-0.22281948381871064,-1.0946945988733845,-0.0,-0.7142962335701925,-0.6499392511321379,0.0
2018-10-24,1.0,-0.22101462623880927,-1.098110009947316,-0.0,-0.7151751832885089,-0.6498913163614928,0.0
2018-10-25,1.0,-0.17755181853734844,-1.0444412841753474,-0.0,-0.722259750417748,-0.6110143278700181,0.0
