Date,FCPT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24954291518537328,-0.5587353986795328,-0.0,-0.39921279837480955,-0.33189436262061967,0.0
2018-09-25,1.0,-0.24697688657584568,-0.5638552987397316,-0.0,-0.40313281289861724,-0.3371855706923823,0.0
2018-09-26,1.0,-0.2539865957938526,-0.5735562231980074,-0.0,-0.4073902883701821,-0.332922476439925,0.0
2018-09-27,1.0,-0.252475890930831,-0.5938759065269944,-0.0,-0.41376621351147613,-0.3392165527280289,0.0
2018-09-28,1.0,-0.2606371829805072,-0.5959966464053656,-0.0,-0.41938272898763357,-0.3439530496751205,0.0
2018-10-01,1.0,-0.26046022353714665,-0.6017094017094018,-0.0,-0.4209598948060487,-0.34669296515450365,0.0
2018-10-02,1.0,-0.2591419977837581,-0.6159041739222204,-0.0,-0.41889610046963216,-0.3444409266001794,0.0
2018-10-03,1.0,-0.2587552742616034,-0.6124472573839663,-0.0,-0.41969936708860767,-0.34620253164556963,0.0
2018-10-04,1.0,-0.2638137226431532,-0.6067214023601467,-0.0,-0.4265424113624963,-0.3429340795691544,0.0
2018-10-05,1.0,-0.2521937890809732,-0.6005202038778834,-0.0,-0.42872155956071667,-0.34588303294624556,0.0
2018-10-08,1.0,-0.24967875593318123,-0.5974615162719954,-0.0,-0.4305194975480555,-0.3447407757060813,0.0
2018-10-09,1.0,-0.2410297239915074,-0.6062898089171974,-0.0,-0.4442144373673036,-0.36239384288747345,0.0
2018-10-10,1.0,-0.24424256912901426,-0.6058384466225728,-0.0,-0.44675538555528993,-0.359391186548729,0.0
2018-10-11,1.0,-0.19857607181550846,-0.594928545632771,-0.0,-0.42777175875767426,-0.35830366816282305,0.0
2018-10-12,1.0,-0.19976049124773868,-0.5893953677988126,-0.0,-0.4155476851733891,-0.3432619053685632,0.0
2018-10-15,1.0,-0.17289802992073808,-0.6181410403445727,-0.0,-0.41208553151362237,-0.34546473991385684,0.0
2018-10-16,1.0,-0.1690464048954615,-0.6248852626211117,-0.0,-0.4112187659357471,-0.3445690973992861,0.0
2018-10-17,1.0,-0.16640418614102825,-0.6200467384677911,-0.0,-0.4095966267018899,-0.3441119691119692,0.0
2018-10-18,1.0,-0.1657945539524487,-0.6189036781142044,-0.0,-0.41112070717333876,-0.3443405811826865,0.0
2018-10-19,1.0,-0.15507724878393023,-0.611739798875923,-0.0,-0.4114978450991758,-0.34203694835799076,0.0
2018-10-22,1.0,-0.1549821077566655,-0.6054130336172572,-0.0,-0.41464643919157296,-0.3450178922433345,0.0
2018-10-23,1.0,-0.15517588952726538,-0.6053825219231932,-0.0,-0.4144491482713436,-0.34489970769075695,0.0
2018-10-24,1.0,-0.15374933924031514,-0.6021597402270495,-0.0,-0.4149822538827498,-0.3462632466584438,0.0
2018-10-25,1.0,-0.12134470399208998,-0.5732789519218885,-0.0,-0.4472871091336052,-0.3299715733531084,0.0
2018-10-26,1.0,-0.11523360816647037,-0.5662053396152337,-0.0,-0.4471191597958383,-0.3253091872791519,0.0
2018-10-29,1.0,-0.11545550613157701,-0.5672753188665799,-0.0,-0.450271558821361,-0.32454351085006516,0.0
2018-10-30,1.0,-0.09825763363481775,-0.5705695344653375,-0.0,-0.4539517460630406,-0.3416713901964167,0.0
2018-10-31,1.0,-0.09959035494394976,-0.5626609757892413,-0.0,-0.45188510314715336,-0.338827973606103,0.0
2018-11-01,1.0,-0.06288759931259497,-0.6087519613459191,-0.0,-0.4657169186321636,-0.35321660730741455,0.0
2018-11-02,1.0,-0.06748223174265125,-0.5869592134914935,-0.0,-0.47244991456378,-0.3495208142443228,0.0
2018-11-05,1.0,-0.0683332920393449,-0.5851192983325487,-0.0,-0.4725849210871881,-0.3515770174178043,0.0
2018-11-06,1.0,-0.06594852192906252,-0.5838069944649904,-0.0,-0.47606046315371436,-0.35627590657499564,0.0
2018-11-07,1.0,-0.06585771359090796,-0.58371175463411,-0.0,-0.47574381498300206,-0.35613786942604037,0.0
2018-11-08,1.0,-0.06068399317490541,-0.5830510151091767,-0.0,-0.47350330126857737,-0.3555973194193724,0.0
2018-11-09,1.0,-0.06048167746402255,-0.5829088571287275,-0.0,-0.47378962464764357,-0.35547203402403443,0.0
2018-11-12,1.0,-0.05991725360784121,-0.5728463773826529,-0.0,-0.4769245924247648,-0.3530020194059991,0.0
2018-11-13,1.0,-0.03953119277255524,-0.5712367232328165,-0.0,-0.48094249786350873,-0.34999389573922596,0.0
2018-11-14,1.0,-0.03974706413730804,-0.5710100344246686,-0.0,-0.4808955296760175,-0.34983764252056937,0.0
2018-11-15,1.0,-0.038980070339976546,-0.5714878858929269,-0.0,-0.48116940211019926,-0.35067409144196954,0.0
2018-11-16,1.0,-0.035246481449862185,-0.5636509988535746,-0.0,-0.4819377027587385,-0.35834329341171306,0.0
2018-11-19,1.0,-0.032293551068302936,-0.5663227888329341,-0.0,-0.4855033491419352,-0.36050946071480955,0.0
2018-11-20,1.0,-0.006390319758965886,-0.5613762270385849,-0.0,-0.4889930994265721,-0.3730197298085334,0.0
2018-11-21,1.0,-0.012367704139444055,-0.5584271559102196,-0.0,-0.4898864485643338,-0.3501771981002435,0.0
2018-11-23,1.0,-0.013882528741172784,-0.5466245691836784,-0.0,-0.49687884119447595,-0.35277530066761464,0.0
2018-11-26,1.0,-0.012951618349331917,-0.5530123968935411,-0.0,-0.49515218754522217,-0.3507307896387053,0.0
2018-11-27,1.0,-0.0034643699177212147,-0.5601693691959775,-0.0,-0.4939373526439879,-0.3482413511042679,0.0
2018-11-28,1.0,-0.00500637831853082,-0.5553950947120129,-0.0,-0.496522011216213,-0.3499891688930609,0.0
2018-11-29,1.0,-0.0,-0.5455542573738048,-0.0,-0.4896635589785164,-0.34919764419752497,0.0
2018-11-30,1.0,-0.0,-0.5486006548600655,-0.0,-0.4946583494658349,-0.34674123467412343,0.0
2018-12-03,1.0,-0.0,-0.5485096016050444,-0.0,-0.4939094296359989,-0.34603993503391617,0.0
2018-12-04,1.0,-0.0,-0.5487767110560545,-0.0,-0.490030254663268,-0.3434499845153298,0.0
2018-12-06,1.0,-0.0,-0.5122574648541884,-0.0,-0.4880910886487742,-0.32334146624840243,0.0
2018-12-07,1.0,-0.0,-0.523309968480971,-0.0,-0.5049160276614761,-0.32396387072493765,0.0
2018-12-10,1.0,-0.0,-0.5216692671339744,-0.0,-0.4988006800027945,-0.30830674646608136,0.0
2018-12-11,1.0,-0.0,-0.5272331154684096,-0.0,-0.49274954904303414,-0.3226509241689507,0.0
2018-12-12,1.0,-0.0,-0.5273306623556149,-0.0,-0.4934748482931515,-0.322180829877463,0.0
2018-12-13,1.0,-0.0,-0.5234006615525372,-0.0,-0.5014896661740211,-0.32104065498393036,0.0
2018-12-14,1.0,-0.0,-0.5151031894934334,-0.0,-0.5080909943714822,-0.3220215759849906,0.0
2018-12-17,1.0,-0.0,-0.512228736947838,-0.0,-0.4972786096381602,-0.32645004555116913,0.0
2018-12-18,1.0,-0.0,-0.5156952773613194,-0.0,-0.5002576836581709,-0.3266257496251874,0.0
2018-12-19,1.0,-0.0,-0.5191786950481527,-0.0,-0.5043678918740728,-0.3311121053003367,0.0
2018-12-20,1.0,-0.0,-0.5102882587297867,-0.0,-0.5061401453011483,-0.3271385048043121,0.0
2018-12-21,1.0,-0.0,-0.5093709884467266,-0.0,-0.5056132570895087,-0.31901038627611156,0.0
2018-12-24,1.0,-0.0,-0.49857272157627236,-0.0,-0.4994778249669289,-0.3227041704379308,0.0
2018-12-26,1.0,-0.0,-0.4990783732704916,-0.0,-0.5073846799972,-0.3267691733358221,0.0
2018-12-27,1.0,-0.0,-0.47735737645348836,-0.0,-0.4688181322674419,-0.3249000726744186,0.0
2018-12-28,1.0,-0.0,-0.4816244946168174,-0.0,-0.46758733475673464,-0.32217326125471313,0.0
2018-12-31,1.0,-0.0,-0.4823606914881534,-0.0,-0.4673224143022648,-0.3219599736489403,0.0
2019-01-02,1.0,-0.0,-0.4818177691015572,-0.0,-0.4661551731965315,-0.32194579379852,0.0
2019-01-03,1.0,-0.0,-0.4891204553800955,-0.0,-0.5027543150936468,-0.30341076019096586,0.0
2019-01-04,1.0,-0.0,-0.4946285714285715,-0.0,-0.48297142857142855,-0.30809142857142857,0.0
2019-01-07,1.0,-0.0,-0.473544616767813,-0.0,-0.48006293549112156,-0.29408855922679256,0.0
2019-01-08,1.0,-0.0,-0.46447719676066135,-0.0,-0.4863718958207147,-0.2924602373421271,0.0
2019-01-09,1.0,-0.0,-0.46846907587198844,-0.0,-0.4874370729953254,-0.2914868752247393,0.0
2019-01-10,1.0,-0.0,-0.4664974505267414,-0.0,-0.48920685549989895,-0.29055010220355354,0.0
2019-01-11,1.0,-0.0,-0.45918160754054843,-0.0,-0.49204778080219563,-0.298315074348188,0.0
2019-01-14,1.0,-0.0,-0.4558223019968589,-0.0,-0.48463091765761723,-0.3031859995512677,0.0
2019-01-15,1.0,-0.0,-0.4566277789017016,-0.0,-0.48434374086811877,-0.30687616607098706,0.0
2019-01-16,1.0,-0.0,-0.4602359722597496,-0.0,-0.48667026929658647,-0.30473745834459154,0.0
2019-01-17,1.0,-0.0,-0.46307733619763697,-0.0,-0.47941281775868244,-0.29522466881489434,0.0
2019-01-18,1.0,-0.0,-0.458925554679581,-0.0,-0.48111273792093706,-0.3124901452866313,0.0
