Date,IWF,IWM,MIME,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6504301786896095,-1.2960953011250829,1.0,-0.38160158835208474,-0.6022942863445842,-0.48166776968894776,0.0
2018-09-25,-0.6519821845923183,-1.2939101292058033,1.0,-0.3844864841028355,-0.6004762534726816,-0.47894342285134717,0.0
2018-09-26,-0.6545542849573932,-1.2976290343944545,1.0,-0.388582277363239,-0.60068877213122,-0.4737957525718575,0.0
2018-09-27,-0.6540468819106591,-1.303184431667404,1.0,-0.3875718708536046,-0.6023883237505528,-0.4756302521008403,0.0
2018-09-28,-0.6515526851278421,-1.3051844643015127,1.0,-0.3881712819605414,-0.6025833849420508,-0.47615677253826416,0.0
2018-10-01,-0.6519950455631248,-1.3042555073874191,1.0,-0.3882155180040697,-0.6028930372467486,-0.4762452446253207,0.0
2018-10-02,-0.6531447380126324,-1.3350680544435547,1.0,-0.38039320345165023,-0.6034160661862824,-0.47598078462770216,0.0
2018-10-03,-0.6845547309833023,-1.4330705009276439,1.0,-0.3871985157699443,-0.6380797773654916,-0.4952690166975881,0.0
2018-10-04,-0.6890939441713809,-1.4246962811833443,1.0,-0.38797180747472876,-0.6443012148752666,-0.49081888157284614,0.0
2018-10-05,-0.6871989625787329,-1.4301593182660246,1.0,-0.3831511670989255,-0.6432011856243053,-0.48763430900333454,0.0
2018-10-08,-0.6850969324017953,-1.4269652523943923,1.0,-0.37671771618933053,-0.6502567898949706,-0.4878082635450886,0.0
2018-10-09,-0.6925827876085644,-1.432028238354001,1.0,-0.387812920904742,-0.6490176954159119,-0.4830709209976313,0.0
2018-10-10,-0.696163249952981,-1.4551908971224374,1.0,-0.3800545420349821,-0.6626857250329133,-0.5078521722776002,0.0
2018-10-11,-0.6315212926194714,-1.4706285088319868,1.0,-0.2901547309324935,-0.6437080651786936,-0.5283216942808892,0.0
2018-10-12,-0.6486839733189111,-1.4699387056066342,1.0,-0.2883089958536146,-0.6111862267892555,-0.4888227870921219,0.0
2018-10-15,-0.7116060961313013,-1.4611019929660025,1.0,-0.33148886283704576,-0.6606330597889801,-0.5245017584994138,0.0
2018-10-16,-0.7084194700244315,-1.4812065401240369,1.0,-0.3179853411012968,-0.6638789701183988,-0.5268276639729373,0.0
2018-10-17,-0.6863965334439681,-1.4298621675194763,1.0,-0.29903655557092146,-0.6577697874890518,-0.5366708154704282,0.0
2018-10-18,-0.6849239280774551,-1.4276625172890731,1.0,-0.3003688335638543,-0.660442600276625,-0.5370216689718764,0.0
