Date,DT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-03-30,1.0,-0.6862387181827401,-0.5509921238549167,-0.5258425447047291,-0.6172463915086368,-0.0,0.0
2020-03-31,1.0,-0.6719065571563215,-0.5673219334859296,-0.520970782280867,-0.6058974013733675,-0.0,0.0
2020-04-01,1.0,-0.6717362045760431,-0.5695827725437416,-0.517664872139973,-0.6057200538358009,-0.0,0.0
2020-04-02,1.0,-0.6826775847147326,-0.5273616936289194,-0.5092537114706077,-0.6094134877837694,-0.0,0.0
2020-04-03,1.0,-0.6832424840317024,-0.5522522823796944,-0.5199478313212721,-0.5887034745677691,-0.0,0.0
2020-04-06,1.0,-0.6830882352941177,-0.5497994652406417,-0.5198529411764706,-0.5895053475935829,-0.0,0.0
2020-04-07,1.0,-0.6628120290899562,-0.5240778352879514,-0.5056017820874009,-0.5834043110790802,-0.0,0.0
2020-04-08,1.0,-0.662492624401757,-0.5279944928866452,-0.5006556087327083,-0.5868681570838523,-0.0,0.0
2020-04-09,1.0,-0.6629602982536464,-0.5204722349401532,-0.5022892275492185,-0.5845706063182681,-0.0,0.0
2020-04-13,1.0,-0.6767406148920182,-0.4879929427908648,-0.5134773091122945,-0.5890482569346881,-0.0,0.0
2020-04-14,1.0,-0.6758169934640523,-0.49094771241830065,-0.5116339869281046,-0.5896078431372549,-0.0,0.0
2020-04-15,1.0,-0.6690455241633265,-0.4960406686870662,-0.5044807247368593,-0.589174569035748,-0.0,0.0
2020-04-16,1.0,-0.6772073654759582,-0.4792113995705641,-0.5098249723469321,-0.5870583642397034,-0.0,0.0
2020-04-17,1.0,-0.6798736814689412,-0.4747362937882537,-0.5144224508399532,-0.5865998176845943,-0.0,0.0
2020-04-20,1.0,-0.6994896134716037,-0.4383147491954098,-0.5323949156399337,-0.5806378206170151,-0.0,0.0
2020-04-21,1.0,-0.7018880208333335,-0.4441080729166667,-0.540234375,-0.5690104166666667,-0.0,0.0
2020-04-22,1.0,-0.6951334176312292,-0.4505722530233765,-0.5298446973381319,-0.5666763933469506,-0.0,0.0
2020-04-23,1.0,-0.7001072089925604,-0.4468340859621195,-0.5329586433189306,-0.5688574120398948,-0.0,0.0
2020-04-24,1.0,-0.6994704181422399,-0.4485850742389291,-0.5323434809448,-0.568569479190357,-0.0,0.0
2020-04-27,1.0,-0.6997498456840259,-0.44836100191676687,-0.5321789415548553,-0.5685000487313603,-0.0,0.0
2020-04-28,1.0,-0.708860759493671,-0.42749107432651734,-0.535800064913989,-0.5735475494969167,-0.0,0.0
2020-04-29,1.0,-0.7100889437122638,-0.42559890930338246,-0.5367460884243329,-0.5737194053106538,-0.0,0.0
