Date,IWF,IWM,MTUM,SPY,UPWK,VLUE,VXX
2019-06-03,-0.0,-0.5490231011342717,-0.560247045549023,-2.011461488211889,1.0,-1.8178039075954626,0.0
2019-06-04,-0.0,-0.5398336026815108,-0.6042377446579278,-2.076734302986772,1.0,-1.764709403244149,0.0
2019-06-05,-0.0,-0.5188790560471976,-0.6467846607669616,-2.0939823008849556,1.0,-1.64,0.0
2019-06-06,-0.0,-0.5449172576832152,-0.5999408983451537,-2.0824468085106385,1.0,-1.6828605200945628,0.0
2019-06-07,-0.0,-0.5576809540677766,-0.5955248553548235,-2.074093753689928,1.0,-1.6766442319045933,0.0
2019-06-10,-0.0,-0.5642823473957105,-0.5818995993400895,-2.0621022861183125,1.0,-1.6837732736271507,0.0
2019-06-11,-0.0,-0.5668578863327223,-0.5771482642379798,-2.070435862558401,1.0,-1.6995091371458988,0.0
2019-06-12,-0.0,-0.5654797113450847,-0.5754170117118184,-2.071158168697504,1.0,-1.7030640009464098,0.0
2019-06-13,-0.0,-0.5556017336578994,-0.5661105503770113,-2.0862079202042394,1.0,-1.7292050109837915,0.0
2019-06-14,-0.0,-0.5830526822227567,-0.5519004089487611,-2.105605003608371,1.0,-1.773394274717344,0.0
2019-06-17,-0.0,-0.5879167168130942,-0.5518112889637743,-2.102599590805151,1.0,-1.775243711637983,0.0
2019-06-18,-0.0,-0.5966771008909223,-0.5505056585600772,-2.101553094148808,1.0,-1.7710089092222492,0.0
2019-06-19,-0.0,-0.5980232628216718,-0.5805460133791358,-2.115530645452902,1.0,-1.732537817151811,0.0
2019-06-20,-0.0,-0.5983838871133088,-0.5836700235180606,-2.1152987999758786,1.0,-1.7329192546583851,0.0
2019-06-21,-0.0,-0.6008555247620195,-0.5829015544041452,-2.109350524159537,1.0,-1.7316544161947225,0.0
2019-06-24,-0.0,-0.6072268806177233,-0.5850274476684563,-2.110514568377873,1.0,-1.7296857091150388,0.0
2019-06-25,-0.0,-0.5925680159256801,-0.5913012004584666,-2.116305724799421,1.0,-1.732279664595524,0.0
2019-06-26,-0.0,-0.5903200530408053,-0.584714604303538,-2.1131939003073956,1.0,-1.739135675968899,0.0
2019-06-27,-0.0,-0.5804987289674373,-0.5712383488681758,-2.1194770608885123,1.0,-1.7813218738651495,0.0
2019-06-28,-0.0,-0.5735285221704676,-0.5732260601294537,-2.1218317101203796,1.0,-1.7806545278567538,0.0
2019-07-01,-0.0,-0.5570798332023932,-0.5852420378316311,-2.138816703934248,1.0,-1.7622529763703392,0.0
2019-07-02,-0.0,-0.5825342881417648,-0.5700327709673504,-2.1365456972933607,1.0,-1.779645588056803,0.0
2019-07-03,-0.0,-0.5934065934065934,-0.562200230708518,-2.132535972314978,1.0,-1.7831339930787447,0.0
2019-07-05,-0.0,-0.5940095798217426,-0.5550233432365246,-2.1279936942945494,1.0,-1.7861517007215184,0.0
2019-07-08,-0.0,-0.60402113831015,-0.5476523112433943,-2.130109943509688,1.0,-1.7925044038146145,0.0
2019-07-09,-0.0,-0.587083434687424,-0.5510216492337631,-2.1369496472877643,1.0,-1.8062515203113598,0.0
2019-07-10,-0.0,-0.58838199513382,-0.5531021897810219,-2.1366180048661803,1.0,-1.8046228710462289,0.0
2019-07-11,-0.0,-0.5944992089570402,-0.5506875988803699,-2.1335645612754046,1.0,-1.8061336254107336,0.0
2019-07-12,-0.0,-0.594828110739276,-0.5513842409491938,-2.132522056586553,1.0,-1.8059020383328264,0.0
2019-07-15,-0.0,-0.5945748692373191,-0.5521834326724242,-2.132465636783846,1.0,-1.80276122126262,0.0
2019-07-16,-0.0,-0.5934801119085269,-0.5536431091108137,-2.1318574382678506,1.0,-1.8030653205206177,0.0
2019-07-17,-0.0,-0.5978716935238674,-0.551109759805412,-2.129157798723016,1.0,-1.8027363940407417,0.0
2019-07-18,-0.0,-0.5992331568376849,-0.5640557482806889,-2.129876453046071,1.0,-1.7928914856064755,0.0
2019-07-19,-0.0,-0.601544918192324,-0.5613405510613709,-2.132473693814245,1.0,-1.7869959248220912,0.0
2019-07-22,-0.0,-0.5970430761742516,-0.5524458505719153,-2.1295935750790944,1.0,-1.805122900949136,0.0
2019-07-23,-0.0,-0.6093233818671234,-0.5420898079040744,-2.143766058974673,1.0,-1.8225865655206168,0.0
2019-07-24,-0.0,-0.6095639428362037,-0.5522169292781238,-2.1358861609869306,1.0,-1.8095761573225846,0.0
2019-07-25,-0.0,-0.5907816119985367,-0.5616388245335934,-2.1469333008169738,1.0,-1.7974637239361055,0.0
2019-07-26,-0.0,-0.5728474803485467,-0.5655962464200841,-2.15483517153129,1.0,-1.8001340564255683,0.0
2019-07-29,-0.0,-0.5590599123234291,-0.5660009741841208,-2.1520944958597177,1.0,-1.8114953726254264,0.0
2019-07-30,-0.0,-0.5697624717591745,-0.5640837760273555,-2.161934420223484,1.0,-1.8102827135617026,0.0
